school_id,school_name,scenario,nearest_eligible_park_name_straight,nearest_eligible_park_class,nearest_eligible_park_area_m2,nearest_eligible_park_dist_m_straight
B000003148,인천가림초등학교,baseline_all_classes,가좌공원,mid_activity_park,8939.0,217.5
B000003148,인천가림초등학교,exclude_playground_like,가좌공원,mid_activity_park,8939.0,217.5
B000003148,인천가림초등학교,exclude_playground_and_small_child,가좌공원,mid_activity_park,8939.0,217.5
B000003189,해명초등학교,baseline_all_classes,남산근린공원,neighborhood_park_scale,103240.0,13183.5
B000003189,해명초등학교,exclude_playground_like,남산근린공원,neighborhood_park_scale,103240.0,13183.5
B000003189,해명초등학교,exclude_playground_and_small_child,남산근린공원,neighborhood_park_scale,103240.0,13183.5
B000003113,인천화전초등학교,baseline_all_classes,하마리공원,playground_like,291.0,251.8
B000003113,인천화전초등학교,exclude_playground_like,된밭공원,neighborhood_park_scale,11655.0,575.0
B000003113,인천화전초등학교,exclude_playground_and_small_child,된밭공원,neighborhood_park_scale,11655.0,575.0
B000003131,인천효성서초등학교,baseline_all_classes,새벌공원,neighborhood_park_scale,131302.0,248.8
B000003131,인천효성서초등학교,exclude_playground_like,새벌공원,neighborhood_park_scale,131302.0,248.8
B000003131,인천효성서초등학교,exclude_playground_and_small_child,새벌공원,neighborhood_park_scale,131302.0,248.8
B000026155,인천한들초등학교,baseline_all_classes,당하어린이공원,small_child_park,1800.0,755.1
B000026155,인천한들초등학교,exclude_playground_like,당하어린이공원,small_child_park,1800.0,755.1
B000026155,인천한들초등학교,exclude_playground_and_small_child,장모루공원,mid_activity_park,5704.0,1355.9
B000025248,인천은송초등학교,baseline_all_classes,랜드마크시티 3호 근린공원,neighborhood_park_scale,81848.7,1002.9
B000025248,인천은송초등학교,exclude_playground_like,랜드마크시티 3호 근린공원,neighborhood_park_scale,81848.7,1002.9
B000025248,인천은송초등학교,exclude_playground_and_small_child,랜드마크시티 3호 근린공원,neighborhood_park_scale,81848.7,1002.9
B000003095,인천구월초등학교,baseline_all_classes,만월공원,small_child_park,1510.0,213.8
B000003095,인천구월초등학교,exclude_playground_like,만월공원,small_child_park,1510.0,213.8
B000003095,인천구월초등학교,exclude_playground_and_small_child,전재울공원,neighborhood_park_scale,122963.0,526.8
B000003140,인천초은초등학교,baseline_all_classes,거울어린이공원,mid_activity_park,8963.9,88.4
B000003140,인천초은초등학교,exclude_playground_like,거울어린이공원,mid_activity_park,8963.9,88.4
B000003140,인천초은초등학교,exclude_playground_and_small_child,거울어린이공원,mid_activity_park,8963.9,88.4
B000025189,인천송명초등학교,baseline_all_classes,첨단산업클러스터2호어린이공원,mid_activity_park,9065.0,103.4
B000025189,인천송명초등학교,exclude_playground_like,첨단산업클러스터2호어린이공원,mid_activity_park,9065.0,103.4
B000025189,인천송명초등학교,exclude_playground_and_small_child,첨단산업클러스터2호어린이공원,mid_activity_park,9065.0,103.4
B000025677,인천주안초등학교,baseline_all_classes,승기어린이공원,mid_activity_park,8785.3,121.8
B000025677,인천주안초등학교,exclude_playground_like,승기어린이공원,mid_activity_park,8785.3,121.8
B000025677,인천주안초등학교,exclude_playground_and_small_child,승기어린이공원,mid_activity_park,8785.3,121.8
B000003164,인천가정초등학교,baseline_all_classes,장고개공원,mid_activity_park,4278.0,164.5
B000003164,인천가정초등학교,exclude_playground_like,장고개공원,mid_activity_park,4278.0,164.5
B000003164,인천가정초등학교,exclude_playground_and_small_child,장고개공원,mid_activity_park,4278.0,164.5
B000003187,양사초등학교,baseline_all_classes,강화읍소공원,playground_like,311.0,8349.4
B000003187,양사초등학교,exclude_playground_like,남산근린공원,neighborhood_park_scale,103240.0,8540.7
B000003187,양사초등학교,exclude_playground_and_small_child,남산근린공원,neighborhood_park_scale,103240.0,8540.7
B000003133,인천해원초등학교,baseline_all_classes,흰여울공원,small_child_park,2965.5,67.4
B000003133,인천해원초등학교,exclude_playground_like,흰여울공원,small_child_park,2965.5,67.4
B000003133,인천해원초등학교,exclude_playground_and_small_child,물고기자리공원,mid_activity_park,3806.5,152.7
B000002968,인천서림초등학교,baseline_all_classes,대헌소공원,playground_like,1384.2,583.5
B000002968,인천서림초등학교,exclude_playground_like,송현공원,neighborhood_park_scale,73323.7,655.4
B000002968,인천서림초등학교,exclude_playground_and_small_child,송현공원,neighborhood_park_scale,73323.7,655.4
B000026333,인천가원초등학교,baseline_all_classes,윗말공원,playground_like,,482.5
B000026333,인천가원초등학교,exclude_playground_like,용머리공원,neighborhood_park_scale,15840.5,788.9
B000026333,인천가원초등학교,exclude_playground_and_small_child,용머리공원,neighborhood_park_scale,15840.5,788.9
B000003175,조산초등학교,baseline_all_classes,남산근린공원,neighborhood_park_scale,103240.0,10513.8
B000003175,조산초등학교,exclude_playground_like,남산근린공원,neighborhood_park_scale,103240.0,10513.8
B000003175,조산초등학교,exclude_playground_and_small_child,남산근린공원,neighborhood_park_scale,103240.0,10513.8
B000003074,인천간석초등학교,baseline_all_classes,용광공원,playground_like,597.0,191.5
B000003074,인천간석초등학교,exclude_playground_like,구월공원,mid_activity_park,3194.0,258.0
B000003074,인천간석초등학교,exclude_playground_and_small_child,구월공원,mid_activity_park,3194.0,258.0
B000002993,연평초등학교,baseline_all_classes,인스파이어호텔 패밀리파크 어린이놀이터,playground_like,,63552.9
B000002993,연평초등학교,exclude_playground_like,남산근린공원,neighborhood_park_scale,103240.0,69258.1
B000002993,연평초등학교,exclude_playground_and_small_child,남산근린공원,neighborhood_park_scale,103240.0,69258.1
B000025236,인천첨단초등학교,baseline_all_classes,첨단산업클러스터5호 근린공원,neighborhood_park_scale,10424.4,96.5
B000025236,인천첨단초등학교,exclude_playground_like,첨단산업클러스터5호 근린공원,neighborhood_park_scale,10424.4,96.5
B000025236,인천첨단초등학교,exclude_playground_and_small_child,첨단산업클러스터5호 근린공원,neighborhood_park_scale,10424.4,96.5
B000026470,인천이음초등학교,baseline_all_classes,도담공원,neighborhood_park_scale,28592.8,172.6
B000026470,인천이음초등학교,exclude_playground_like,도담공원,neighborhood_park_scale,28592.8,172.6
B000026470,인천이음초등학교,exclude_playground_and_small_child,도담공원,neighborhood_park_scale,28592.8,172.6
B000003124,인천안산초등학교,baseline_all_classes,임학공원,mid_activity_park,8339.9,498.7
B000003124,인천안산초등학교,exclude_playground_like,임학공원,mid_activity_park,8339.9,498.7
B000003124,인천안산초등학교,exclude_playground_and_small_child,임학공원,mid_activity_park,8339.9,498.7
B000003185,하점초등학교,baseline_all_classes,남산근린공원,neighborhood_park_scale,103240.0,6813.5
B000003185,하점초등학교,exclude_playground_like,남산근린공원,neighborhood_park_scale,103240.0,6813.5
B000003185,하점초등학교,exclude_playground_and_small_child,남산근린공원,neighborhood_park_scale,103240.0,6813.5
B000003065,인천신정초등학교,baseline_all_classes,송도  11호 어린이공원,small_child_park,2000.1,332.5
B000003065,인천신정초등학교,exclude_playground_like,송도  11호 어린이공원,small_child_park,2000.1,332.5
B000003065,인천신정초등학교,exclude_playground_and_small_child,센트럴파크,neighborhood_park_scale,370750.0,776.9
B000002962,인천영종초등학교금산분교장,baseline_all_classes,금산어린이집 놀이터,playground_like,,852.2
B000002962,인천영종초등학교금산분교장,exclude_playground_like,미단시티 2호,neighborhood_park_scale,66408.0,1037.4
B000002962,인천영종초등학교금산분교장,exclude_playground_and_small_child,미단시티 2호,neighborhood_park_scale,66408.0,1037.4
B000003158,인천원당초등학교,baseline_all_classes,원당지구 1호공원,neighborhood_park_scale,18321.0,288.1
B000003158,인천원당초등학교,exclude_playground_like,원당지구 1호공원,neighborhood_park_scale,18321.0,288.1
B000003158,인천원당초등학교,exclude_playground_and_small_child,원당지구 1호공원,neighborhood_park_scale,18321.0,288.1
B000025512,인천용학초등학교,baseline_all_classes,도담어린이공원,mid_activity_park,4577.9,57.8
B000025512,인천용학초등학교,exclude_playground_like,도담어린이공원,mid_activity_park,4577.9,57.8
B000025512,인천용학초등학교,exclude_playground_and_small_child,도담어린이공원,mid_activity_park,4577.9,57.8
B000003087,인천원동초등학교,baseline_all_classes,물방울공원,small_child_park,1689.0,167.4
B000003087,인천원동초등학교,exclude_playground_like,물방울공원,small_child_park,1689.0,167.4
B000003087,인천원동초등학교,exclude_playground_and_small_child,하늬공원,neighborhood_park_scale,10633.0,167.5
B000025222,인천현송초등학교,baseline_all_classes,랜드마크시티 17 근린공원,neighborhood_park_scale,60158.0,492.1
B000025222,인천현송초등학교,exclude_playground_like,랜드마크시티 17 근린공원,neighborhood_park_scale,60158.0,492.1
B000025222,인천현송초등학교,exclude_playground_and_small_child,랜드마크시티 17 근린공원,neighborhood_park_scale,60158.0,492.1
B000003016,인천부일초등학교,baseline_all_classes,동소정놀이공원,small_child_park,1550.0,56.4
B000003016,인천부일초등학교,exclude_playground_like,동소정놀이공원,small_child_park,1550.0,56.4
B000003016,인천부일초등학교,exclude_playground_and_small_child,청운공원,neighborhood_park_scale,15587.0,225.6
B000003170,인천서곶초등학교,baseline_all_classes,대평공원,mid_activity_park,3103.0,183.6
B000003170,인천서곶초등학교,exclude_playground_like,대평공원,mid_activity_park,3103.0,183.6
B000003170,인천서곶초등학교,exclude_playground_and_small_child,대평공원,mid_activity_park,3103.0,183.6
B000026504,인천송담초등학교,baseline_all_classes,랜드마크시티 1호 수변공원,neighborhood_park_scale,77873.0,486.2
B000026504,인천송담초등학교,exclude_playground_like,랜드마크시티 1호 수변공원,neighborhood_park_scale,77873.0,486.2
B000026504,인천송담초등학교,exclude_playground_and_small_child,랜드마크시티 1호 수변공원,neighborhood_park_scale,77873.0,486.2
B000003176,화도초등학교,baseline_all_classes,남산근린공원,neighborhood_park_scale,103240.0,13372.9
B000003176,화도초등학교,exclude_playground_like,남산근린공원,neighborhood_park_scale,103240.0,13372.9
B000003176,화도초등학교,exclude_playground_and_small_child,남산근린공원,neighborhood_park_scale,103240.0,13372.9
B000003139,인천청라초등학교,baseline_all_classes,뜰어린이공원,mid_activity_park,9604.6,75.2
B000003139,인천청라초등학교,exclude_playground_like,뜰어린이공원,mid_activity_park,9604.6,75.2
B000003139,인천청라초등학교,exclude_playground_and_small_child,뜰어린이공원,mid_activity_park,9604.6,75.2
B000025210,인천연송초등학교,baseline_all_classes,송도  12호 어린이공원,small_child_park,1500.1,249.6
B000025210,인천연송초등학교,exclude_playground_like,송도  12호 어린이공원,small_child_park,1500.1,249.6
B000025210,인천연송초등학교,exclude_playground_and_small_child,송도  17호 어린이공원,mid_activity_park,8838.4,874.5
B000003179,강화초등학교,baseline_all_classes,강화읍소공원,playground_like,311.0,258.9
B000003179,강화초등학교,exclude_playground_like,관청근린공원,neighborhood_park_scale,83454.0,569.9
B000003179,강화초등학교,exclude_playground_and_small_child,관청근린공원,neighborhood_park_scale,83454.0,569.9
B000003101,인천인동초등학교,baseline_all_classes,쇄판공원,playground_like,1499.0,58.7
B000003101,인천인동초등학교,exclude_playground_like,새말소공원,mid_activity_park,4191.0,425.8
B000003101,인천인동초등학교,exclude_playground_and_small_child,새말소공원,mid_activity_park,4191.0,425.8
B000002982,인천석암초등학교,baseline_all_classes,두리어린이공원,playground_like,1052.0,581.1
B000002982,인천석암초등학교,exclude_playground_like,돌샘어린이공원,mid_activity_park,5853.5,670.2
B000002982,인천석암초등학교,exclude_playground_and_small_child,돌샘어린이공원,mid_activity_park,5853.5,670.2
B000002956,인천운남초등학교,baseline_all_classes,운남제1호공원,neighborhood_park_scale,11065.0,78.8
B000002956,인천운남초등학교,exclude_playground_like,운남제1호공원,neighborhood_park_scale,11065.0,78.8
B000002956,인천운남초등학교,exclude_playground_and_small_child,운남제1호공원,neighborhood_park_scale,11065.0,78.8
B000003153,인천완정초등학교,baseline_all_classes,마전근린공원,neighborhood_park_scale,113000.0,343.8
B000003153,인천완정초등학교,exclude_playground_like,마전근린공원,neighborhood_park_scale,113000.0,343.8
B000003153,인천완정초등학교,exclude_playground_and_small_child,마전근린공원,neighborhood_park_scale,113000.0,343.8
B000003160,인천창신초등학교,baseline_all_classes,원당지구 4호 어린이공원,small_child_park,2950.0,46.7
B000003160,인천창신초등학교,exclude_playground_like,원당지구 4호 어린이공원,small_child_park,2950.0,46.7
B000003160,인천창신초등학교,exclude_playground_and_small_child,원당지구 3호공원,neighborhood_park_scale,11115.0,370.5
B000026332,인천백석초등학교,baseline_all_classes,당하지구7호 어린이공원,small_child_park,2566.0,125.3
B000026332,인천백석초등학교,exclude_playground_like,당하지구7호 어린이공원,small_child_park,2566.0,125.3
B000026332,인천백석초등학교,exclude_playground_and_small_child,당하지구 1호공원,neighborhood_park_scale,28761.0,311.3
B000003186,명신초등학교,baseline_all_classes,남산근린공원,neighborhood_park_scale,103240.0,7924.9
B000003186,명신초등학교,exclude_playground_like,남산근린공원,neighborhood_park_scale,103240.0,7924.9
B000003186,명신초등학교,exclude_playground_and_small_child,남산근린공원,neighborhood_park_scale,103240.0,7924.9
B000003122,인천계양초등학교,baseline_all_classes,중앙공원,small_child_park,2384.5,190.2
B000003122,인천계양초등학교,exclude_playground_like,중앙공원,small_child_park,2384.5,190.2
B000003122,인천계양초등학교,exclude_playground_and_small_child,동산공원,mid_activity_park,4845.9,266.9
B000003194,서도초등학교,baseline_all_classes,남산근린공원,neighborhood_park_scale,103240.0,22640.5
B000003194,서도초등학교,exclude_playground_like,남산근린공원,neighborhood_park_scale,103240.0,22640.5
B000003194,서도초등학교,exclude_playground_and_small_child,남산근린공원,neighborhood_park_scale,103240.0,22640.5
B000003112,인천성지초등학교,baseline_all_classes,효성공원,neighborhood_park_scale,10877.0,389.4
