school_id,school_name,gu,case_type,case_label,is_separate_bundle_tag,iso_green_ratio,iso_official_park_count,iso_playground_like_count,iso_small_child_park_count,iso_functional_park_count,nearest_official_park_dist_m,nearest_official_park_name,nearest_official_park_function_class,nearest_functional_park_dist_m,nearest_functional_park_name,nearest_functional_park_function_class,access_condition_type,access_condition_label,baseline_all_classes,exclude_playground_and_small_child,exclude_playground_like,baseline_all_classes_count,exclude_playground_like_count,exclude_playground_and_small_child_count,baseline_all_classes_case_type,baseline_all_classes_case_label_en,baseline_all_classes_priority_score,exclude_playground_like_case_type,exclude_playground_like_case_label_en,exclude_playground_like_priority_score,exclude_playground_and_small_child_case_type,exclude_playground_and_small_child_case_label_en,exclude_playground_and_small_child_priority_score,stored_current_case_type_norm,exclude_playground_like_changed_vs_stored_current,exclude_playground_like_changed_vs_same_basis_baseline,exclude_playground_and_small_child_changed_vs_stored_current,exclude_playground_and_small_child_changed_vs_same_basis_baseline
B000002965,인천창영초등학교,동구,2.0,접근 가능하나 녹지 부족,0,0.5480790386337815,1,1,0,0,43.4,창영공원,playground_like,788.6,솔마루공원,mid_activity_park,nominal_access_only,명목 접근성 착시형,103.7,621.7,621.7,1,0,0,2,case2_access_low_green,3.0,,,,,,,2,True,True,True,True
B000002966,인천송림초등학교,동구,3.0,"접근 가능, 중간 수준",0,1.9298303990683008,4,3,0,1,281.0,솔마루공원,mid_activity_park,354.2,솔마루공원,mid_activity_park,near_park_low_green_imbalance,근접 공원-녹지환경 불균형형,309.8,316.0,316.0,4,1,1,3,case3_access_mid_green,2.0,3,case3_access_mid_green,2.0,3,case3_access_mid_green,2.0,3,False,False,False,False
B000002967,인천서흥초등학교,동구,4.0,접근 양호,0,5.238971738865093,0,0,0,0,208.0,송현공원,neighborhood_park_scale,505.5,송현공원,neighborhood_park_scale,nominal_access_only,명목 접근성 착시형,467.7,467.7,467.7,0,0,0,4,case4_good_access,1.0,3,case3_access_mid_green,2.0,3,case3_access_mid_green,2.0,4,True,True,True,True
B000002968,인천서림초등학교,동구,1.0,공원 접근 결핍,0,0.0,0,0,0,0,728.0,송현공원,neighborhood_park_scale,728.0,송현공원,neighborhood_park_scale,no_official_park,공원 접근 결핍형,583.5,655.4,655.4,0,0,0,1,case1_access_deficit,4.0,1,case1_access_deficit,4.0,1,case1_access_deficit,4.0,1,False,False,False,False
B000002969,인천동명초등학교,동구,2.0,접근 가능하나 녹지 부족,0,0.1523607048822965,0,0,0,0,432.0,창영공원,playground_like,653.2,송현공원,neighborhood_park_scale,nominal_access_only,명목 접근성 착시형,452.0,476.6,476.6,0,0,0,2,case2_access_low_green,3.0,2,case2_access_low_green,3.0,2,case2_access_low_green,3.0,2,False,False,False,False
B000002970,영화초등학교,동구,2.0,접근 가능하나 녹지 부족,0,0.4756300242898112,1,1,0,0,305.1,창영공원,playground_like,1027.3,송현공원,neighborhood_park_scale,nominal_access_only,명목 접근성 착시형,133.2,678.6,678.6,1,0,0,2,case2_access_low_green,3.0,,,,,,,2,True,True,True,True
B000002971,인천숭의초등학교,미추홀구,2.0,접근 가능하나 녹지 부족,0,0.0,0,0,0,0,54.0,주인공원,neighborhood_park_scale,1115.2,주인공원,neighborhood_park_scale,nominal_access_only,명목 접근성 착시형,848.2,848.2,848.2,0,0,0,1,case1_access_deficit,4.0,1,case1_access_deficit,4.0,1,case1_access_deficit,4.0,2,True,False,True,False
B000002972,인천용정초등학교,미추홀구,3.0,"접근 가능, 중간 수준",0,2.600076070231589,0,0,0,0,50.0,주인공원,neighborhood_park_scale,887.7,주인공원,neighborhood_park_scale,nominal_access_only,명목 접근성 착시형,622.7,622.7,622.7,0,0,0,,,,,,,,,,3,True,False,True,False
B000002973,인천용일초등학교,미추홀구,2.0,접근 가능하나 녹지 부족,0,0.8928494114540239,1,0,0,1,331.7,용남공원,mid_activity_park,331.7,용남공원,mid_activity_park,near_park_low_green_imbalance,근접 공원-녹지환경 불균형형,312.1,312.1,312.1,1,1,1,2,case2_access_low_green,3.0,2,case2_access_low_green,3.0,2,case2_access_low_green,3.0,2,False,False,False,False
B000002974,인천용현초등학교,미추홀구,3.0,"접근 가능, 중간 수준",0,2.869651381442168,3,3,0,0,299.0,용정공원,neighborhood_park_scale,299.0,용정공원,neighborhood_park_scale,near_park_low_green_imbalance,근접 공원-녹지환경 불균형형,260.2,260.2,260.2,3,0,0,3,case3_access_mid_green,2.0,3,case3_access_mid_green,2.0,3,case3_access_mid_green,2.0,3,False,False,False,False
B000002975,인천용현남초등학교,미추홀구,2.0,접근 가능하나 녹지 부족,0,0.0,0,0,0,0,497.0,햇님공원,playground_like,1332.4,용정공원,neighborhood_park_scale,nominal_access_only,명목 접근성 착시형,127.8,127.8,127.8,0,0,0,2,case2_access_low_green,3.0,2,case2_access_low_green,3.0,2,case2_access_low_green,3.0,2,False,False,False,False
B000002976,인천학산초등학교,미추홀구,3.0,"접근 가능, 중간 수준",0,2.845479808318261,2,0,2,0,74.1,모리포공원,mid_activity_park,74.1,모리포공원,mid_activity_park,near_park_low_green_imbalance,근접 공원-녹지환경 불균형형,104.1,104.1,104.1,2,2,0,3,case3_access_mid_green,2.0,3,case3_access_mid_green,2.0,3,case3_access_mid_green,2.0,3,False,False,False,False
B000002977,인천백학초등학교,미추홀구,4.0,접근 양호,0,28.69041298381313,5,1,3,1,56.9,묵동공원,small_child_park,338.6,문학공원,neighborhood_park_scale,functional_access_available,활동규모 공원 접근 가능형,84.0,262.0,84.0,5,4,1,4,case4_good_access,1.0,4,case4_good_access,1.0,4,case4_good_access,1.0,4,False,False,False,False
B000002978,인천도화초등학교,미추홀구,4.0,접근 양호,0,26.60052385385585,0,0,0,0,605.3,수봉공원,neighborhood_park_scale,605.3,수봉공원,neighborhood_park_scale,no_official_park,공원 접근 결핍형,459.1,459.1,459.1,0,0,0,4,case4_good_access,1.0,4,case4_good_access,1.0,4,case4_good_access,1.0,4,False,False,False,False
