관리번호,공원명,공원구분,위도,경도,공원면적,gu,시설유형,park_function_class,park_function_label,park_function_basis,review_reason
28110-00034,월촌공원,근린공원,37.50057434,126.5693242,45073.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 시설유형 상이
28110-00029,큰말공원,근린공원,37.4768762,126.5131651,10746.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 시설유형 상이
28110-00018,큰말공원,어린이공원,37.48181912,126.5101199,2068.0,중구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만",같은 공원명 내 시설유형 상이
28110-00065,영종하늘도시 11호,소공원,37.48247928,126.5421773,670.0,중구,소공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 시설유형 상이
28110-00064,영종하늘도시 8호,소공원,37.47564583,126.5228568,989.0,중구,소공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 시설유형 상이
28110-00060,영종하늘도시 1호,소공원,37.49567456,126.4999821,1230.0,중구,소공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 시설유형 상이
28260-00088,가좌공원,근린공원,37.48863024,126.6812545,8939.0,서구,근린공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상",같은 공원명 내 시설유형 상이
28260-00115,황소자리공원,어린이공원,37.53876426,126.627701,6083.7,서구,어린이공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상",같은 공원명 내 시설유형 상이
28260-00106,연일공원,근린공원,37.5406974,126.6554122,30552.7,서구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 시설유형 상이
28260-00003,석남체육공원,어린이공원,37.5109009,126.6748921,10880.0,서구,어린이공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 시설유형 상이
28260-00002,신촌공원,어린이공원,37.50775539,126.6702832,6612.0,서구,어린이공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상",같은 공원명 내 시설유형 상이
28260-00019,월촌공원,어린이공원,37.5507274,126.6812468,2002.0,서구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만",같은 공원명 내 시설유형 상이
28260-00009,가좌공원,어린이공원,37.48792501,126.6842021,7280.0,서구,어린이공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상",같은 공원명 내 시설유형 상이
PLAYGROUND-0008,신촌공원,놀이터,37.5079641,126.6697133,,서구,놀이터,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 시설유형 상이
PLAYGROUND-0009,석남체육공원,놀이터,37.5103556,126.675024,,서구,놀이터,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 시설유형 상이
PLAYGROUND-0011,황소자리공원,놀이터,37.5384197,126.6266635,,서구,놀이터,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 시설유형 상이
PLAYGROUND-0092,물방울어린이공원,놀이터,37.4031099,126.7261793,,남동구,놀이터,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 시설유형 상이
PLAYGROUND-0172,산밑말근린공원,놀이터,37.4678699658989,126.73566243556,,남동구,놀이터,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 시설유형 상이
