metric,n,mean_m,q1_m,median_m,q3_m,min_m,max_m
straight_baseline_all_classes,272,3238.8,123.3,196.9,389.6,2.1,160751.8
straight_exclude_playground_like,272,3442.9,141.6,249.2,491.1,37.8,161863.4
straight_exclude_playground_and_small_child,272,3532.9,181.5,356.7,600.7,37.8,161863.4
stored_walk_current_nearest_official,272,1164.5,123.5,240.7,385.1,0.0,19637.4
stored_walk_exclude_playground_and_small_child_functional,259,729.2,297.8,505.5,830.2,0.0,4242.4
