school_id,school_name,grid_id,candidate_id,cx,cy,predicted_beneficiaries_used,demand_score,access_gap_score,proximity_score,pareto_candidate,top1_count,top3_count,top5_count,top5_stability_score,mean_rank,rank_std,best_rank,worst_rank,robust_rank,recommendation_type,robust_recommendation_reason,shap_diagnostic_tag,shap_positive_drivers,shap_negative_drivers,shap_explanation_text,shap_waterfall_image_path
B000025210,인천연송초등학교,CG_00189,,126.63742830000035,37.3971289,1030.6026496297811,0.5575127557280045,0.1879004743280353,0.34649681528662424,False,0,0,893,0.893,5.061,0.577303213225078,4,7,5,stable,다양한 정책 가중치 조합에서도 상위권에 안정적으로 포함되는 후보입니다.,access_gap_driven,"[{'feature': 'avg_park_dist_m', 'value': 219.8, 'shap_value': 166.462}, {'feature': 'worst_case_type', 'value': 2.0, 'shap_value': 159.1917}, {'feature': 'demand_score', 'value': 0.5575, 'shap_value': 101.4848}]","[{'feature': 'proximity_score', 'value': 0.3465, 'shap_value': -3.4156}, {'feature': 'nearest_park_dist', 'value': 333.2, 'shap_value': -1.2102}, {'feature': 'primary', 'value': 0.0, 'shap_value': -0.5684}]",이 후보지는 기존 활동가능공원 접근성 부족과 후보지 보완성이 함께 작용하여 접근성 보완형 후보로 해석됩니다.,
B000025210,인천연송초등학교,CG_00171,,126.63517830000035,37.3993789,540.5849562405243,0.04298148603799813,0.0,0.4939490445859872,False,0,0,107,0.107,7.783,1.7927384081343267,5,10,6,scenario_sensitive,특정 조건에서는 우수하지만 가중치 변화에 따른 순위 변동성이 있어 현장 검토가 필요합니다.,development_dependent,"[{'feature': 'avg_park_dist_m', 'value': 219.8, 'shap_value': 106.0995}, {'feature': 'worst_case_type', 'value': 2.0, 'shap_value': 99.6751}, {'feature': 'redev_flag_numeric', 'value': 0.0, 'shap_value': 62.1877}]","[{'feature': 'demand_score', 'value': 0.043, 'shap_value': -165.2135}, {'feature': 'nearest_park_dist', 'value': 107.4, 'shap_value': -5.0312}, {'feature': 'primary', 'value': 0.0, 'shap_value': -0.265}]","이 후보지는 예상 수혜 아동 수가 높게 예측되었지만, 재개발/대단지 또는 미래 추세 변수의 기여가 커 현장 확인이 필요한 미래 개발 의존형 후보입니다.",
B000025210,인천연송초등학교,CG_00209,,126.63967830000036,37.3971289,837.2123637643127,0.35444794669257157,0.1383040692352501,0.0652866242038217,False,0,0,18,0.018,7.239,1.3688970012385884,5,9,7,scenario_sensitive,특정 조건에서는 우수하지만 가중치 변화에 따른 순위 변동성이 있어 현장 검토가 필요합니다.,development_dependent,"[{'feature': 'avg_park_dist_m', 'value': 219.8, 'shap_value': 130.6693}, {'feature': 'worst_case_type', 'value': 2.0, 'shap_value': 122.0705}, {'feature': 'redev_flag_numeric', 'value': 0.0, 'shap_value': 69.2118}]","[{'feature': 'w_hat', 'value': 0.0407, 'shap_value': -9.3995}, {'feature': 'primary', 'value': 0.0, 'shap_value': -0.4669}, {'feature': 'trunk', 'value': 0.0, 'shap_value': -0.0028}]","이 후보지는 예상 수혜 아동 수가 높게 예측되었지만, 재개발/대단지 또는 미래 추세 변수의 기여가 커 현장 확인이 필요한 미래 개발 의존형 후보입니다.",
B000025210,인천연송초등학교,CG_00236,,126.64192830000036,37.4038789,678.6812784485788,0.18798620109996314,0.1396355163518349,0.15238853503184724,False,0,0,11,0.011,7.991,0.7569141298720747,5,10,8,scenario_sensitive,특정 조건에서는 우수하지만 가중치 변화에 따른 순위 변동성이 있어 현장 검토가 필요합니다.,development_dependent,"[{'feature': 'avg_park_dist_m', 'value': 219.8, 'shap_value': 114.5878}, {'feature': 'worst_case_type', 'value': 2.0, 'shap_value': 100.6534}, {'feature': 'redev_flag_numeric', 'value': 0.0, 'shap_value': 58.6274}]","[{'feature': 'demand_score', 'value': 0.188, 'shap_value': -64.6647}, {'feature': 'primary', 'value': 0.0, 'shap_value': -0.2292}, {'feature': 'trunk', 'value': 0.0, 'shap_value': -0.0078}]","이 후보지는 예상 수혜 아동 수가 높게 예측되었지만, 재개발/대단지 또는 미래 추세 변수의 기여가 커 현장 확인이 필요한 미래 개발 의존형 후보입니다.",
B000025210,인천연송초등학교,CG_00170,,126.63517830000035,37.3971289,499.65121734556544,0.0,0.11067654156611469,0.41289808917197457,False,0,0,0,0.0,7.906,1.4536725903723988,6,10,9,scenario_sensitive,특정 조건에서는 우수하지만 가중치 변화에 따른 순위 변동성이 있어 현장 검토가 필요합니다.,development_dependent,"[{'feature': 'worst_case_type', 'value': 2.0, 'shap_value': 101.6308}, {'feature': 'avg_park_dist_m', 'value': 219.8, 'shap_value': 92.2592}, {'feature': 'redev_flag_numeric', 'value': 0.0, 'shap_value': 58.8449}]","[{'feature': 'demand_score', 'value': 0.0, 'shap_value': -177.3122}, {'feature': 'w_hat', 'value': 0.0039, 'shap_value': -1.275}, {'feature': 'primary', 'value': 0.0, 'shap_value': -0.2489}]","이 후보지는 예상 수혜 아동 수가 높게 예측되었지만, 재개발/대단지 또는 미래 추세 변수의 기여가 커 현장 확인이 필요한 미래 개발 의존형 후보입니다.",
B000025210,인천연송초등학교,CG_00235,,126.64192830000036,37.4016289,820.3141033706979,0.336704335608365,0.06831988016975951,0.0,False,0,0,0,0.0,8.861,1.3242654567721686,7,10,10,scenario_sensitive,특정 조건에서는 우수하지만 가중치 변화에 따른 순위 변동성이 있어 현장 검토가 필요합니다.,development_dependent,"[{'feature': 'avg_park_dist_m', 'value': 219.8, 'shap_value': 119.9328}, {'feature': 'worst_case_type', 'value': 2.0, 'shap_value': 101.1642}, {'feature': 'redev_flag_numeric', 'value': 0.0, 'shap_value': 55.8321}]","[{'feature': 'w_hat', 'value': 0.068, 'shap_value': -8.6782}, {'feature': 'route_length_m', 'value': 628.0, 'shap_value': -7.3333}, {'feature': 'primary', 'value': 0.0, 'shap_value': -0.4315}]","이 후보지는 예상 수혜 아동 수가 높게 예측되었지만, 재개발/대단지 또는 미래 추세 변수의 기여가 커 현장 확인이 필요한 미래 개발 의존형 후보입니다.",
B000025222,인천현송초등학교,CG_00084,,126.62167830000033,37.3948789,843.1788748190285,1.0,0.07842224979321753,1.0,True,542,891,1000,1.0,1.915,1.0998977225178712,1,4,1,demand_strong,미래 수혜 아동 수가 상대적으로 높아 수혜 극대화 관점에서 검토할 후보입니다.,stable_demand,"[{'feature': 'demand_score', 'value': 1.0, 'shap_value': 242.7894}, {'feature': 'route_length_m', 'value': 36.1, 'shap_value': 125.6661}, {'feature': 'worst_case_type', 'value': 2.0, 'shap_value': 110.6451}]","[{'feature': 'nearest_pg_dist', 'value': 8603.0, 'shap_value': -40.4923}, {'feature': 'access_gap_score', 'value': 0.0784, 'shap_value': -7.083}, {'feature': 'tertiary', 'value': 0.0, 'shap_value': -0.7563}]",이 후보지는 현재 아동 규모와 후보지 주변 수요 변수가 예측값을 높여 안정 수요형 후보로 해석됩니다.,
B000025222,인천현송초등학교,CG_00076,,126.61717830000032,37.3948789,665.4521165269447,0.5771912371152879,0.8026778329197685,0.6913326481671804,True,314,958,1000,1.0,1.986,0.8353466346373822,1,4,2,stable,다양한 정책 가중치 조합에서도 상위권에 안정적으로 포함되는 후보입니다.,development_dependent,"[{'feature': 'worst_case_type', 'value': 2.0, 'shap_value': 120.6891}, {'feature': 'redev_flag_numeric', 'value': 0.0, 'shap_value': 76.9688}, {'feature': 'w_hat', 'value': 1.0, 'shap_value': 76.5277}]","[{'feature': 'nearest_pg_dist', 'value': 5313.8, 'shap_value': -31.4138}, {'feature': 'primary', 'value': 0.0, 'shap_value': -0.5473}, {'feature': 'trunk', 'value': 0.0, 'shap_value': -0.0061}]","이 후보지는 예상 수혜 아동 수가 높게 예측되었지만, 재개발/대단지 또는 미래 추세 변수의 기여가 커 현장 확인이 필요한 미래 개발 의존형 후보입니다.",
B000025222,인천현송초등학교,CG_00075,,126.61717830000032,37.3926289,495.68830122702286,0.17332617245470205,1.0,0.4840698869475848,True,144,482,1000,1.0,3.314,1.4364553595569893,1,5,3,access_gap_reduction,기존 활동가능공원과의 거리가 멀어 접근성 보완 효과가 큰 후보입니다.,development_dependent,"[{'feature': 'worst_case_type', 'value': 2.0, 'shap_value': 93.9926}, {'feature': 'redev_flag_numeric', 'value': 0.0, 'shap_value': 50.8095}, {'feature': 'avg_park_dist_m', 'value': 122.0, 'shap_value': 42.6906}]","[{'feature': 'demand_score', 'value': 0.1733, 'shap_value': -91.3678}, {'feature': 'nearest_pg_dist', 'value': 5582.4, 'shap_value': -8.4754}, {'feature': 'w_hat', 'value': 0.0234, 'shap_value': -6.5392}]","이 후보지는 예상 수혜 아동 수가 높게 예측되었지만, 재개발/대단지 또는 미래 추세 변수의 기여가 커 현장 확인이 필요한 미래 개발 의존형 후보입니다.",
B000025222,인천현송초등학교,CG_00079,,126.61942830000032,37.3948789,680.279993549581,0.6124664899831999,0.03660049627791563,0.8672490578965399,False,0,420,949,0.949,3.686,1.1266783036874368,2,6,4,proximity_first,학교와의 거리가 가까워 일상 이용 접근성을 우선할 때 유리한 후보입니다.,development_dependent,"[{'feature': 'worst_case_type', 'value': 2.0, 'shap_value': 137.521}, {'feature': 'nearest_pg_dist', 'value': 133.0, 'shap_value': 114.7266}, {'feature': 'redev_flag_numeric', 'value': 0.0, 'shap_value': 94.5417}]","[{'feature': 'w_hat', 'value': 0.0864, 'shap_value': -21.2119}, {'feature': 'nearest_park_dist', 'value': 133.0, 'shap_value': -19.3124}, {'feature': 'tertiary', 'value': 2.0, 'shap_value': -1.0091}]","이 후보지는 예상 수혜 아동 수가 높게 예측되었지만, 재개발/대단지 또는 미래 추세 변수의 기여가 커 현장 확인이 필요한 미래 개발 의존형 후보입니다.",
