학교ID,학교명,method,offset_m,reach_nodes,reach_edge_len_m,n_parts,v3_area_m2,v3_ratio,v2_osmnx_area_m2,valhalla_area_m2,v3_vs_v2,v3_vs_valhalla
B000012291,가좌고등학교,exact_edge_trim_v3,53.4,101,8785.4,1,373875,0.476,,,,
B000008815,청량중학교,exact_edge_trim_v3,15.6,77,6414.3,1,307361,0.3913,,,,
B000008764,송도중학교,exact_edge_trim_v3,32.9,62,6601.8,1,348854,0.4442,,,,
B000008798,산곡여자중학교,exact_edge_trim_v3,18.6,114,9845.4,1,407616,0.519,,,,
B000008802,삼산중학교,exact_edge_trim_v3,60.1,60,5994.3,1,292836,0.3728,,,,
B000008821,인송중학교,exact_edge_trim_v3,34.3,41,4990.8,1,236937,0.3017,,,,
B000012231,인성여자고등학교,exact_edge_trim_v3,47.3,75,8947.0,1,361226,0.4599,,,,
B000008809,인천중학교,exact_edge_trim_v3,41.6,1,547.1,1,37350,0.0476,,,,
B000008814,청학중학교,exact_edge_trim_v3,25.4,91,9083.7,1,368881,0.4697,,,,
B000008777,남인천여자중학교,exact_edge_trim_v3,27.0,168,14325.6,1,493303,0.6281,,,,
B000008803,부흥중학교,exact_edge_trim_v3,37.0,156,10821.9,1,387363,0.4932,,,,
B000008778,인화여자중학교,exact_edge_trim_v3,10.8,64,3950.1,1,172402,0.2195,,,,
B000011834,인천외국어고등학교,exact_edge_trim_v3,3.3,18,2692.8,1,169635,0.216,,,,
B000012230,광성고등학교,exact_edge_trim_v3,66.0,81,7518.2,1,303797,0.3868,,,,
B000008832,만수여자중학교,exact_edge_trim_v3,9.3,101,7597.9,1,339250,0.4319,,,,
B000008884,동광중학교,exact_edge_trim_v3,96.7,9,1158.0,1,69599,0.0886,,,,
B000008790,부평중학교,exact_edge_trim_v3,36.0,97,9819.9,1,424351,0.5403,,,,
B000008838,인천동방중학교,exact_edge_trim_v3,61.2,42,5084.1,1,249124,0.3172,,,,
B000008834,인천서창중학교,exact_edge_trim_v3,39.9,17,3190.1,1,190405,0.2424,,,,
B000008843,만성중학교,exact_edge_trim_v3,8.7,61,4883.6,1,206060,0.2624,,,,
B000011430,인천바이오과학고등학교,exact_edge_trim_v3,55.5,86,7899.0,1,318184,0.4051,,,,
B000008812,선학중학교,exact_edge_trim_v3,29.6,27,2928.0,1,116426,0.1482,,,,
B000008825,상인천중학교,exact_edge_trim_v3,6.6,118,12002.7,1,524075,0.6673,,,,
B000011428,정석항공과학고등학교,exact_edge_trim_v3,41.0,77,4817.8,1,208877,0.266,,,,
B000011426,인천비즈니스고등학교,exact_edge_trim_v3,45.2,113,7049.2,1,206528,0.263,,,,
B000012249,인천대건고등학교,exact_edge_trim_v3,24.4,28,2882.8,1,137325,0.1748,,,,
B000008791,산곡중학교,exact_edge_trim_v3,38.0,24,3497.7,1,215060,0.2738,,,,
B000012238,인화여자고등학교,exact_edge_trim_v3,10.8,64,3950.1,1,172402,0.2195,,,,
B000012228,제물포고등학교,exact_edge_trim_v3,32.4,62,5523.6,1,230638,0.2937,,,,
B000012243,인천여자고등학교,exact_edge_trim_v3,17.0,30,3965.2,1,214035,0.2725,,,,
B000008836,석정중학교,exact_edge_trim_v3,47.9,74,8420.1,1,409586,0.5215,,,,
B000008786,덕적중학교,exact_edge_trim_v3,22.1,27,2436.8,1,132295,0.1684,,,,
B000012271,부개고등학교,exact_edge_trim_v3,43.6,74,7035.2,1,361312,0.46,,,,
B000008816,신송중학교,exact_edge_trim_v3,56.4,101,6426.1,1,251874,0.3207,,,,
B000012235,선인고등학교,exact_edge_trim_v3,10.8,64,3950.1,1,172402,0.2195,,,,
B000008768,동산중학교,exact_edge_trim_v3,18.7,32,3119.4,1,113022,0.1439,,,,
B000022827,인천대중예술고등학교,exact_edge_trim_v3,10.8,64,3950.1,1,172402,0.2195,,,,
B000012294,대인고등학교,exact_edge_trim_v3,26.2,29,4731.9,1,214985,0.2737,,,,
B000008818,연성중학교,exact_edge_trim_v3,32.5,70,4811.6,1,224795,0.2862,,,,
