학교ID,학교명,학교급,원자료_지역명,학교명_학교급_대조,원자료_기준일,앱_분석,확장_환경_분석,확장_KNN_비교기관수,확장_학교수요_모형,확장_지역전망_연결,확장_공원경로_상태,확장_후보격자수,학원_환경_연결,연결_공시행수,연결_공시항목수,연결_공시항목코드,연결_공시연도,과학전람회_확인기록수,학생발명대회_확인기록수,수능_학교점수,학업성취_학교수치,진로_연결_조사연도,진로_최근_상태,확장_직선권_연령인구_상태,확장_보행권_연령인구_상태,55_최신공시_상태,55_최신공시_연도,56_최신공시_상태,56_최신공시_연도,59_최신공시_상태,59_최신공시_연도,90_최신공시_상태,90_최신공시_연도
B000011417,인천여자상업고등학교,고등학교,중구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,중구,available,77,geocoded_observations_only,194,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011418,인천반도체고등학교,고등학교,중구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,중구,available,101,geocoded_observations_only,224,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011419,영종국제물류고등학교,고등학교,중구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,중구,available,38,geocoded_observations_only,169,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,missing_age_observations,estimated,available,2026,available,2026,available,2026,available,2026
B000011420,인천중앙여자고등학교,고등학교,중구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,중구,available,100,geocoded_observations_only,193,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011421,인천재능고등학교,고등학교,동구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,동구,available,80,geocoded_observations_only,235,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011422,영화국제관광고등학교,고등학교,동구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,동구,available,109,geocoded_observations_only,206,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011424,인천기계공업고등학교,고등학교,미추홀구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,미추홀구,available,100,geocoded_observations_only,233,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011425,인천소방고등학교,고등학교,미추홀구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,미추홀구,available,90,geocoded_observations_only,186,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011426,인천비즈니스고등학교,고등학교,미추홀구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,미추홀구,available,69,geocoded_observations_only,188,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011427,문학정보고등학교,고등학교,미추홀구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,미추홀구,available,70,geocoded_observations_only,202,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,exempt_or_unconfirmed,2026,available,2026,available,2026,available,2026
B000011428,정석항공과학고등학교,고등학교,미추홀구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,미추홀구,available,97,geocoded_observations_only,185,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011429,인천해양과학고등학교,고등학교,연수구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,연수구,available,49,geocoded_observations_only,202,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011430,인천바이오과학고등학교,고등학교,연수구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,연수구,available,100,geocoded_observations_only,217,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011431,인천뷰티예술고등학교,고등학교,연수구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,연수구,available,62,geocoded_observations_only,202,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011432,인천생활과학고등학교,고등학교,연수구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,연수구,available,92,geocoded_observations_only,205,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011433,인천금융고등학교,고등학교,남동구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,남동구,available,52,geocoded_observations_only,208,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011434,부평공업고등학교,고등학교,부평구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,부평구,available,96,geocoded_observations_only,204,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011435,인천미래생활고등학교,고등학교,부평구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,부평구,available,65,geocoded_observations_only,225,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011437,인평자동차고등학교,고등학교,부평구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,부평구,available,97,geocoded_observations_only,184,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011438,계산공업고등학교,고등학교,계양구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,계양구,available,89,geocoded_observations_only,214,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011439,인천디자인고등학교,고등학교,서구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,서구,available,70,geocoded_observations_only,217,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,exempt_or_unconfirmed,2026,available,2026,available,2026,available,2026
B000011440,인천보건고등학교,고등학교,서구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,서구,available,80,geocoded_observations_only,187,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011441,한국주얼리고등학교,고등학교,서구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,서구,available,36,geocoded_observations_only,173,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011442,강남영상미디어고등학교,고등학교,강화군,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,강화군,available,16,geocoded_observations_only,152,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011443,산마을고등학교,고등학교,강화군,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,강화군,available,5,geocoded_observations_only,132,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,3,미확보,미확보,2025|2026,progression_pending_publication,missing_age_observations,estimated,available,2026,available,2026,available,2026,available,2026
B000011827,인천해사고등학교,고등학교,중구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,중구,available,12,geocoded_observations_only,191,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011828,인천과학고등학교,고등학교,중구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,중구,available,38,geocoded_observations_only,173,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,15,5,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011829,인천국제고등학교,고등학교,중구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,중구,no_valid_route_within_search_scope,39,geocoded_observations_only,183,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,exempt_or_unconfirmed,2026,available,2026,available,2026,available,2026
B000011832,인천예술고등학교,고등학교,남동구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,남동구,available,108,geocoded_observations_only,201,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011833,미추홀외국어고등학교,고등학교,남동구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,남동구,available,47,geocoded_observations_only,197,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011834,인천외국어고등학교,고등학교,부평구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,부평구,available,80,geocoded_observations_only,204,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000012228,제물포고등학교,고등학교,중구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,중구,available,67,geocoded_observations_only,182,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000012229,인일여자고등학교,고등학교,중구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,중구,available,74,geocoded_observations_only,199,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000012230,광성고등학교,고등학교,중구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,중구,available,101,geocoded_observations_only,184,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000012231,인성여자고등학교,고등학교,중구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,중구,available,68,geocoded_observations_only,183,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000012232,동산고등학교,고등학교,동구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,동구,available,91,geocoded_observations_only,190,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000012234,학익고등학교,고등학교,미추홀구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,미추홀구,available,80,geocoded_observations_only,180,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000012235,선인고등학교,고등학교,미추홀구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,미추홀구,available,90,geocoded_observations_only,188,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000012236,인천고등학교,고등학교,미추홀구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,미추홀구,available,99,geocoded_observations_only,198,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000012237,학익여자고등학교,고등학교,미추홀구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,미추홀구,available,97,geocoded_observations_only,200,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000012238,인화여자고등학교,고등학교,미추홀구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,미추홀구,available,90,geocoded_observations_only,187,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000012239,인항고등학교,고등학교,미추홀구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,미추홀구,available,64,geocoded_observations_only,180,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000012240,인하대학교사범대학부속고등학교,고등학교,미추홀구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,미추홀구,available,89,geocoded_observations_only,184,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000012241,인명여자고등학교,고등학교,미추홀구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,미추홀구,available,77,geocoded_observations_only,204,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000012242,연수고등학교,고등학교,연수구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,연수구,available,88,geocoded_observations_only,213,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,exempt_or_unconfirmed,2026,available,2026,available,2026,available,2026
B000012243,인천여자고등학교,고등학교,연수구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,연수구,available,71,geocoded_observations_only,208,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000012244,연수여자고등학교,고등학교,연수구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,연수구,available,95,geocoded_observations_only,215,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000012245,옥련여자고등학교,고등학교,연수구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,연수구,available,65,geocoded_observations_only,202,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000012246,인천해송고등학교,고등학교,연수구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,연수구,available,59,geocoded_observations_only,194,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000012247,신송고등학교,고등학교,연수구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,연수구,available,66,geocoded_observations_only,198,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,2,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,exempt_or_unconfirmed,2026,available,2026,available,2026,available,2026
B000012248,송도고등학교,고등학교,연수구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,연수구,available,50,geocoded_observations_only,206,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000012249,인천대건고등학교,고등학교,연수구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,연수구,available,68,geocoded_observations_only,200,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000012250,인천남고등학교,고등학교,남동구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,남동구,available,92,geocoded_observations_only,188,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,1,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000012251,인천만수고등학교,고등학교,남동구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,남동구,no_valid_route_within_search_scope,64,geocoded_observations_only,191,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,1,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000012253,인천송천고등학교,고등학교,남동구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,남동구,available,73,geocoded_observations_only,191,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000012254,인천남동고등학교,고등학교,남동구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,남동구,available,83,geocoded_observations_only,198,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000012255,석정여자고등학교,고등학교,남동구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,남동구,available,84,geocoded_observations_only,198,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000012256,인천고잔고등학교,고등학교,남동구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,남동구,available,45,geocoded_observations_only,190,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000012257,인천논현고등학교,고등학교,남동구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,남동구,available,84,geocoded_observations_only,190,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000012258,인제고등학교,고등학교,남동구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,남동구,available,101,geocoded_observations_only,196,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
