학교ID,학교명,current_students_2025,forecast_2029,forecast_2031,predicted_2029,predicted_2031,selected_model,model_version,validation_scheme
B000003131,인천효성서초등학교,341,194,117,194,117,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000026155,인천한들초등학교,766,973,985,973,985,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000025248,인천은송초등학교,1502,1556,1513,1556,1513,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003095,인천구월초등학교,299,149,80,149,80,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003140,인천초은초등학교,836,682,600,682,600,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000025189,인천송명초등학교,1173,918,785,918,785,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000025677,인천주안초등학교,869,935,953,935,953,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003164,인천가정초등학교,664,562,504,562,504,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003187,양사초등학교,33,14,7,14,7,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003133,인천해원초등학교,1833,1427,1190,1427,1190,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002968,인천서림초등학교,488,343,292,343,292,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000026333,인천가원초등학교,1558,1383,1281,1383,1281,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003175,조산초등학교,42,29,24,29,24,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003074,인천간석초등학교,510,472,454,472,454,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002993,연평초등학교,26,5,2,5,2,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
