source_record_id,source_row,facility_type,facility_name,address,latitude,longitude,coordinate_status,match_reason,matched_address_key,coordinate_matching_record_count,coordinate_unique_point_count,coordinate_max_pairwise_distance_m,coordinate_source_record_ids,coordinate_source,coordinate_source_url,coordinate_source_as_of,source_url,source_as_of,retrieved_at,construction_status,construction_type,permit_date,start_date,approval_date,main_use,site_area_sqm,coordinate_limitations
15038929:385,385,건축행정기록,제2종근린생활시설,인천광역시 계양구 선주지동 200-13,37.5784251,126.7476517,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 계양구 선주지동 200-13,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15038929/fileData.do,2026-01-19,2026-09-06,administrative_record_only_not_confirmed_active,신축,2021-06-18,2022-04-19,2023-02-13,제2종근린생활시설,,"주소 기반 추정 위치, 공사현장 좌표 아님"
15038929:386,386,건축행정기록,제2종근린생활시설,인천광역시 계양구 선주지동 200-6,37.5783458,126.7473704,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 계양구 선주지동 200-6,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15038929/fileData.do,2026-01-19,2026-09-06,administrative_record_only_not_confirmed_active,신축,2021-06-18,2022-06-14,2022-11-09,제2종근린생활시설,,"주소 기반 추정 위치, 공사현장 좌표 아님"
15038929:387,387,건축행정기록,제2종근린생활시설,인천광역시 계양구 선주지동 200-12,37.5781762,126.7470660,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 계양구 선주지동 200-12,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15038929/fileData.do,2026-01-19,2026-09-06,administrative_record_only_not_confirmed_active,신축,2021-06-18,2021-09-16,2022-11-04,제2종근린생활시설,,"주소 기반 추정 위치, 공사현장 좌표 아님"
15038929:388,388,건축행정기록,공동주택,인천광역시 계양구 귤현동 491,37.5692861,126.7480248,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 계양구 귤현동 491,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15038929/fileData.do,2026-01-19,2026-09-06,administrative_record_only_not_confirmed_active,신축,2021-06-18,2021-06-28,2022-01-06,공동주택,,"주소 기반 추정 위치, 공사현장 좌표 아님"
15038929:389,389,건축행정기록,제1종근린생활시설,인천광역시 계양구 선주지동 200-9,37.5785634,126.7471466,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 계양구 선주지동 200-9,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15038929/fileData.do,2026-01-19,2026-09-06,administrative_record_only_not_confirmed_active,신축,2021-06-18,2021-10-22,2022-11-14,제1종근린생활시설,,"주소 기반 추정 위치, 공사현장 좌표 아님"
15038929:392,392,건축행정기록,제1종근린생활시설,인천광역시 계양구 효성동 151-4,37.5299924,126.7096081,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 계양구 효성동 151-4,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15038929/fileData.do,2026-01-19,2026-09-06,administrative_record_only_not_confirmed_active,신축,2021-06-03,2021-06-17,2021-10-07,제1종근린생활시설,,"주소 기반 추정 위치, 공사현장 좌표 아님"
15038929:393,393,건축행정기록,종교시설,인천광역시 계양구 작전동 682-1,37.5251249,126.7370593,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 계양구 작전동 682-1,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15038929/fileData.do,2026-01-19,2026-09-06,administrative_record_only_not_confirmed_active,대수선,2021-06-02,2022-05-17,,종교시설,,"주소 기반 추정 위치, 공사현장 좌표 아님"
15038929:395,395,건축행정기록,제1종근린생활시설,인천광역시 계양구 용종동 209-3,37.5392356,126.7372321,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 계양구 용종동 209-3,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15038929/fileData.do,2026-01-19,2026-09-06,administrative_record_only_not_confirmed_active,용도변경,2021-05-31,,2021-08-31,제1종근린생활시설,,"주소 기반 추정 위치, 공사현장 좌표 아님"
15038929:398,398,건축행정기록,제2종근린생활시설,인천광역시 계양구 서운동 55-239,37.5257139,126.7426008,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 계양구 서운동 55-239,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15038929/fileData.do,2026-01-19,2026-09-06,administrative_record_only_not_confirmed_active,신축,2021-05-28,2021-08-12,2021-11-24,제2종근린생활시설,,"주소 기반 추정 위치, 공사현장 좌표 아님"
15038929:399,399,건축행정기록,단독주택,인천광역시 계양구 다남동 78-4,37.5689961,126.7249841,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 계양구 다남동 78-4,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15038929/fileData.do,2026-01-19,2026-09-06,administrative_record_only_not_confirmed_active,신축,2021-05-27,2021-06-11,2021-10-26,단독주택,,"주소 기반 추정 위치, 공사현장 좌표 아님"
