source_record_id,source_row,facility_type,facility_name,address,latitude,longitude,coordinate_status,match_reason,matched_address_key,coordinate_matching_record_count,coordinate_unique_point_count,coordinate_max_pairwise_distance_m,coordinate_source_record_ids,coordinate_source,coordinate_source_url,coordinate_source_as_of,source_url,source_as_of,retrieved_at,construction_status,construction_type,permit_date,start_date,approval_date,main_use,site_area_sqm,coordinate_limitations
15029299:27,27,건축행정기록,제2종근린생활시설,인천광역시 연수구 동춘동 1146-3 외1필지,,,unmatched,multiple_parcels_or_development_block_or_unparsed_address,,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2024-11-27,2024-12-04,,제2종근린생활시설,771.50,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:30,30,건축행정기록,단독주택,인천광역시 연수구 동춘동 동춘1구역도시개발사업 29블록 3로트,,,unmatched,multiple_parcels_or_development_block_or_unparsed_address,,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2024-11-07,2024-12-03,,단독주택,357.80,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:31,31,건축행정기록,단독주택,인천광역시 연수구 동춘동 동춘1구역 19 1,,,unmatched,multiple_parcels_or_development_block_or_unparsed_address,,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2024-10-16,2024-11-04,,단독주택,398.60,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:32,32,건축행정기록,제1종근린생활시설,인천광역시 연수구 옥련동 송도역세권 도시개발구역 문1,,,unmatched,multiple_parcels_or_development_block_or_unparsed_address,,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2024-10-08,2024-12-23,,제1종근린생활시설,2630.00,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:33,33,건축행정기록,단독주택,인천광역시 연수구 동춘동 동춘1구역도시개발구역 18블록 13로트,,,unmatched,multiple_parcels_or_development_block_or_unparsed_address,,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2024-09-20,2024-10-15,,단독주택,259.60,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:34,34,건축행정기록,업무시설,인천광역시 연수구 청학동 466-11,,,unmatched,no_exact_parcel_address_in_sbiz,인천광역시|연수구|청학동|False|466|11,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2024-08-29,2024-11-05,,업무시설,1000.30,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:36,36,건축행정기록,제2종근린생활시설,인천광역시 연수구 동춘동 1142-4 외2필지,,,unmatched,multiple_parcels_or_development_block_or_unparsed_address,,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2024-03-27,2024-05-09,2024-09-13,제2종근린생활시설,865.10,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:37,37,건축행정기록,위험물저장및처리시설,인천광역시 연수구 옥련동 송도역세권구역 위 1,,,unmatched,multiple_parcels_or_development_block_or_unparsed_address,,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2024-03-18,2024-04-12,2024-09-09,위험물저장및처리시설,1438.00,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:40,40,건축행정기록,제1종근린생활시설,인천광역시 연수구 선학동 401-1 외1필지,,,unmatched,multiple_parcels_or_development_block_or_unparsed_address,,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,대수선,2023-12-26,2024-01-17,2024-09-05,제1종근린생활시설,2510.40,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:42,42,건축행정기록,단독주택,인천광역시 연수구 동춘동 동춘1구역 24 2,,,unmatched,multiple_parcels_or_development_block_or_unparsed_address,,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2023-12-11,2024-06-12,2024-11-15,단독주택,250.00,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
