source_record_id,source_row,facility_type,facility_name,address,latitude,longitude,coordinate_status,match_reason,matched_address_key,coordinate_matching_record_count,coordinate_unique_point_count,coordinate_max_pairwise_distance_m,coordinate_source_record_ids,coordinate_source,coordinate_source_url,coordinate_source_as_of,source_url,source_as_of,retrieved_at,construction_status,construction_type,permit_date,start_date,approval_date,main_use,site_area_sqm,coordinate_limitations
15029300:1703,1703,건축행정기록,단독주택,인천광역시 미추홀구 용현동 617-73,37.4518185,126.6388366,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 용현동 617-73,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2001-12-19,2002-01-08,2002-02-21,단독주택,158.5,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1704,1704,건축행정기록,단독주택,인천광역시 미추홀구 용현동 617-67,37.4512217,126.6380316,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 용현동 617-67,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2001-12-19,2002-01-08,2002-03-20,단독주택,172.9,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1705,1705,건축행정기록,제2종근린생활시설,인천광역시 미추홀구 주안동 1563-6,37.4502892,126.6920758,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 주안동 1563-6,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2001-12-19,2001-12-20,2002-08-07,제2종근린생활시설,972.5,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1706,1706,건축행정기록,단독주택,인천광역시 미추홀구 주안동 1332-73,37.4475477,126.6757504,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 주안동 1332-73,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,신축,2001-12-17,2001-12-19,2002-11-11,단독주택,49,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1707,1707,건축행정기록,공공용시설,인천광역시 미추홀구 학익동 401-74,37.4457475,126.6513859,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 학익동 401-74,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2001-12-17,2001-12-26,2002-01-12,공공용시설,3009,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1708,1708,건축행정기록,제1종근린생활시설,인천광역시 미추홀구 주안동 130-5,37.4642430,126.6822523,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 주안동 130-5,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,용도변경,2001-12-14,2001-12-14,2001-12-27,제1종근린생활시설,571,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1709,1709,건축행정기록,제2종근린생활시설,인천광역시 미추홀구 주안동 1240-4,37.4451488,126.6812246,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 주안동 1240-4,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,신축,2001-12-10,2001-12-11,2002-01-16,제2종근린생활시설,142,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1710,1710,건축행정기록,제2종근린생활시설,인천광역시 미추홀구 주안동 1592-1,37.4588827,126.6930881,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 주안동 1592-1,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,신축,2001-12-07,2001-12-11,,제2종근린생활시설,147.2,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1711,1711,건축행정기록,단독주택,인천광역시 미추홀구 주안동 413-40,37.4565525,126.6836644,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 주안동 413-40,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2001-12-07,2001-12-21,2002-05-20,단독주택,249.7,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1712,1712,건축행정기록,숙박시설,인천광역시 미추홀구 용현동 628-54,37.4544461,126.6344924,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 용현동 628-54,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2001-12-06,2001-12-11,2002-01-14,숙박시설,481,"주소 기반 추정 위치, 공사현장 좌표 아님"
