school_name,school_level,designation_type,program_name,year,source_url,source_file,source_published_date,retrieved_at,financial_support_amount,verification_status
갑룡초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
강화초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
덕적초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인성초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천가석초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천간재울초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천개흥초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천경명초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천경서초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천고잔초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천공항초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천금곡초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천남부초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천논곡초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
