도서관명,유형,구,위도,경도,장서수,열람좌석수,평일운영,휴관일,기준일,좌표출처
인천광역시교육청 인천광역시교육청중앙도서관,공공,남동구,37.455674,126.702493,303482,360,09:00~20:00,매주 월요일+국가지정공휴일,2025-08-04,원본
인천도서관,공공,남동구,37.4470474098541,126.724870300665,727364,1169,09:00~22:00,매주금요일+법정공휴일,2026-02-09,지오코딩
중앙도서관,공공,남동구,37.4563282077476,126.703137949262,304597,888,06:00~22:00,매주월요일+법정공휴일,2026-02-09,지오코딩
꿈드림어린이영어도서관,공공,동구,37.47645272,126.6481858,23227,100,09:00~18:00,금+공휴일,2025-12-04,원본
송림도서관,공공,동구,37.47472957,126.6488089,98787,465,06:00~22:00,월+공휴일,2025-12-04,원본
이룸청소년도서관,공공,동구,37.47520498,126.6446852,7127,50,10:00~21:00,월+공휴일,2025-12-04,원본
인천광역시교육청화도진도서관,공공,동구,37.48184083,126.6283577,176709,662,09:00~20:00,매주수요일+국가지정공휴일,2025-08-06,원본
화도진도서관,공공,동구,37.4818408717906,126.628357614461,180271,662,06:00~22:00,매주수요일+법정공휴일,2026-02-09,지오코딩
관교어린이도서관,어린이,미추홀구,37.4441559,126.696806,29031,73,10:00~22:00,매주월요일+법정공휴일,2024-10-31,원본
독정골어린이도서관,어린이,미추홀구,37.456027,126.6563009,19829,62,10:00~18:00,매주월요일+법정공휴일,2024-10-31,원본
석바위어린이도서관,어린이,미추홀구,37.46127661,126.6923112,25120,35,10:00~22:00,매주월요일+법정공휴일,2024-10-31,원본
소금꽃어린이도서관,어린이,미추홀구,37.46591921,126.6870517,27041,52,10:00~18:00,매주월요일+법정공휴일,2024-10-31,원본
수봉도서관,공공,미추홀구,37.4626954812154,126.666844568769,113854,463,09:00~22:00,매주월요일+법정공휴일,2026-02-09,지오코딩
쑥골어린이도서관,어린이,미추홀구,37.4755613,126.6612852,23743,88,10:00~18:00,매주월요일+법정공휴일,2024-10-31,원본
용비도서관,공공,미추홀구,37.44931994,126.6404994,43584,98,10:00~22:00,매주월요일+법정공휴일,2024-10-31,원본
이랑도서관,공공,미추홀구,37.44923613,126.6803368,22881,32,10:00~18:00,매주월요일+법정공휴일,2024-10-31,원본
인천광역시교육청 주안도서관,공공,미추홀구,37.45550009,126.6928788,250447,835,06:00~22:00,매주목요일,2025-08-04,원본
