관리번호,공원명,공원구분,위도,경도,공원면적,gu,시설유형,park_function_class,park_function_label,park_function_basis
28185-00005,신송공원,근린공원,37.39049262,126.6584198,38919.9,연수구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28185-00004,새아침공원,근린공원,37.39613488,126.6561184,102024.0,연수구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28185-00003,미추홀공원,근린공원,37.38238888,126.6494992,160093.5,연수구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28185-00002,해돋이공원,근린공원,37.3885069,126.6547092,209509.2,연수구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28185-00001,센트럴파크,근린공원,37.39226675,126.636342,351113.9,연수구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28237-00021,부들공원,근린공원,37.5152706,126.7485482,12199.0,부평구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28200-00122,해오름공원,근린공원,37.38725249,126.7269798,34712.0,남동구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28200-00121,하늬공원,근린공원,37.39754685,126.7325644,10633.0,남동구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28200-00120,한아름공원,근린공원,37.39575224,126.7284965,34712.0,남동구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28200-00119,늘솔길공원,근린공원,37.39444172,126.7208398,561641.0,남동구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28200-00118,바람공원,어린이공원,37.39405618,126.7228194,8511.0,남동구,어린이공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상"
28200-00117,모험공원,어린이공원,37.39601681,126.7238383,1531.0,남동구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만"
28200-00116,돌섬공원,어린이공원,37.39805872,126.7281969,3231.0,남동구,어린이공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상"
28200-00115,물방울공원,어린이공원,37.39741006,126.7290785,1689.0,남동구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만"
