학교ID,학교명,gu,case_type,is_separate_bundle_tag,green_fix_protected,green_fix_manual_ratio,osm_walk_area_m2,straight_buffer_area_m2,osm_walk_area_ratio_to_buffer,connected_residential_count,apt_added_area_m2,apt_gap_ratio,adjusted_walk_area_m2,adjusted_walk_area_ratio_to_buffer,current_walk_green_area_m2,current_walk_green_ratio,apt_added_green_area_m2,apt_added_park_count,adjusted_walk_green_area_m2,adjusted_walk_park_count,apt_adjusted_walk_green_ratio,apt_adjusted_green_delta_pp,radius_green_ratio,radius_to_walk_loss_pp,radius_to_adjusted_loss_pp,apt_permeability_flag,large_apt_count_500m,large_apt_households_500m,apt_adjustment_candidate
B000003074,인천간석초등학교,남동구,3.0,0,0,0,297890.9731,784137.1226,0.379897,8,263374.4702,0.335339,561265.4434,0.715775,3416.1086,1.146765,14.4434,1,3430.552,2,0.611217,-0.535547,0.712525,-0.43424,0.101308,1,3,5291,1
B000002993,연평초등학교,옹진군,,1,0,0,16688.2642,784137.1226,0.021282,0,0.0,0.0,16688.2642,0.021282,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000025236,인천첨단초등학교,연수구,4.0,0,1,0,68499.9116,784137.1226,0.087357,0,0.0,0.0,68499.9116,0.087357,13254.8699,19.3502,0.0,0,13254.8699,6,19.3502,0.0,15.892668,-3.457532,-3.457532,0,4,7113,0
B000026470,인천이음초등학교,서구,2.0,0,0,0,89369.2523,784137.1226,0.113971,6,345491.8247,0.439894,434861.077,0.554573,0.0,0.0,3208.1198,1,3208.1198,1,0.737734,0.737734,4.138323,4.138323,3.400589,1,8,9981,1
B000003124,인천안산초등학교,계양구,2.0,0,0,0,206721.803,784137.1226,0.26363,4,72026.9673,0.091708,278748.7702,0.355485,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.597988,0.597988,0.597988,1,2,2134,1
B000003185,하점초등학교,강화군,,1,0,0,15500.1412,784137.1226,0.019767,0,0.0,0.0,15500.1412,0.019767,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000003065,인천신정초등학교,연수구,2.0,0,0,0,197770.9361,784137.1226,0.252215,15,297480.8538,0.378764,495251.7899,0.631588,1324.2893,0.669608,2258.5082,3,3582.7975,3,0.723429,0.053822,2.253013,1.583406,1.529584,1,8,4682,1
B000002962,인천영종초등학교금산분교장,중구,1.0,0,0,0,67578.6647,784137.1226,0.086182,0,0.0,0.0,67578.6647,0.086182,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000003158,인천원당초등학교,서구,3.0,0,1,0,121480.0547,784137.1226,0.154922,0,0.0,0.0,121480.0547,0.154922,3148.6415,2.5919,0.0,0,3148.6415,1,2.5919,0.0,2.328957,-0.262943,-0.262943,0,2,2675,0
B000025512,인천용학초등학교,미추홀구,2.0,0,0,0,19482.1717,784137.1226,0.024845,0,0.0,0.0,19482.1717,0.024845,0.0,0.0,0.0,0,0.0,0,0.0,0.0,5.258843,5.258843,5.258843,0,1,821,0
B000003087,인천원동초등학교,남동구,3.0,0,0,0,110902.8095,784137.1226,0.141433,7,342621.1521,0.436239,453523.9616,0.578373,1321.5847,1.19166,20556.4616,6,21878.0463,6,4.824011,3.632351,7.411322,6.219662,2.587311,1,7,6990,1
B000025222,인천현송초등학교,연수구,2.0,0,0,0,98082.8074,784137.1226,0.125084,3,98497.9078,0.125411,196580.7152,0.250697,0.0,0.0,0.0,0,0.0,0,0.0,0.0,3.85895,3.85895,3.85895,1,2,1989,1
B000003016,인천부일초등학교,부평구,3.0,0,0,0,144231.5686,784137.1226,0.183937,4,130751.118,0.166477,274982.6867,0.350682,6761.3378,4.687835,14031.8659,7,20793.2037,8,7.561641,2.873806,7.703199,3.015364,0.141558,1,5,5520,1
B000003170,인천서곶초등학교,서구,4.0,0,0,0,104956.7041,784137.1226,0.13385,0,0.0,0.0,104956.7041,0.13385,17956.7908,17.10876,0.0,0,17956.7908,2,17.10876,0.0,21.158226,4.049466,4.049466,0,0,0,0
B000026504,인천송담초등학교,연수구,4.0,0,1,1,87899.2695,784137.1226,0.112097,0,0.0,0.0,87899.2695,0.112097,18224.721,20.733643,0.0,0,18224.721,1,20.733643,0.0,7.598309,-13.135335,-13.135335,0,1,2708,0
B000003176,화도초등학교,강화군,,1,0,0,38138.0828,784137.1226,0.048637,0,0.0,0.0,38138.0828,0.048637,7220.6154,18.932822,0.0,0,7220.6154,1,18.932822,0.0,0.0,-18.932822,-18.932822,0,0,0,0
B000003139,인천청라초등학교,서구,4.0,0,0,0,322154.6006,784137.1226,0.41084,4,98530.0161,0.125452,420684.6168,0.536494,53647.6926,16.652779,0.0,0,53647.6926,4,12.752473,-3.900306,19.414704,2.761925,6.662231,1,4,3078,1
B000025210,인천연송초등학교,연수구,2.0,0,0,0,118467.8202,784137.1226,0.15108,9,225604.3534,0.287248,344072.1736,0.438791,370.1877,0.31248,3081.1015,2,3451.2891,2,1.003071,0.690592,0.444918,0.132439,-0.558153,1,6,4051,1
B000003179,강화초등학교,강화군,,1,0,0,784137.1226,784137.1226,1.0,0,0.0,0.0,784137.1226,1.0,17893.4592,2.28193,0.0,0,17893.4592,2,2.28193,0.0,2.278266,-0.003664,-0.003664,0,0,0,0
B000003101,인천인동초등학교,남동구,2.0,0,0,0,272745.4177,784137.1226,0.347829,13,133709.7298,0.170245,406455.1475,0.518347,1938.3523,0.710682,797.6078,2,2735.9601,4,0.673127,-0.037555,1.480249,0.769567,0.807122,1,3,3452,1
B000002982,인천석암초등학교,미추홀구,1.0,0,0,0,236063.3927,784137.1226,0.301049,1,48646.236,0.061938,284709.6287,0.363087,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
B000002956,인천운남초등학교,중구,4.0,0,0,0,185316.642,784137.1226,0.236332,1,55989.2976,0.071288,241305.9396,0.307734,9412.5206,5.079156,0.0,0,9412.5206,3,3.900658,-1.178497,6.384302,1.305146,2.483643,1,1,1022,1
B000003153,인천완정초등학교,서구,4.0,0,0,0,208485.2887,784137.1226,0.265879,8,103281.2967,0.131502,311766.5853,0.397592,11398.7924,5.467432,8040.5034,2,19439.2959,2,6.235208,0.767776,22.818356,17.350924,16.583148,1,3,2532,1
B000003160,인천창신초등학교,서구,3.0,0,0,0,199780.5298,784137.1226,0.254778,4,67094.0911,0.085427,266874.6209,0.340342,2857.4162,1.430278,1414.7692,1,4272.1853,2,1.600821,0.170544,2.445146,1.014868,0.844325,1,1,938,1
B000026332,인천백석초등학교,서구,4.0,0,0,0,171318.0784,784137.1226,0.21848,6,156680.269,0.199492,327998.3473,0.418292,13089.362,7.640386,6288.0736,2,19377.4356,4,5.907785,-1.732601,9.718103,2.077717,3.810318,1,2,1956,1
B000003186,명신초등학교,강화군,,1,0,0,15500.1412,784137.1226,0.019767,0,0.0,0.0,15500.1412,0.019767,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000003122,인천계양초등학교,계양구,3.0,0,0,0,250770.4576,784137.1226,0.319804,3,25972.2031,0.033069,276742.6607,0.352926,5240.838,2.089894,190.2208,1,5431.0588,4,1.962494,-0.1274,1.413188,-0.676707,-0.549307,1,1,1192,1
B000003194,서도초등학교,강화군,,1,0,0,784137.1226,784137.1226,1.0,0,0.0,0.0,784137.1226,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000003112,인천성지초등학교,계양구,3.0,0,0,0,215078.3249,784137.1226,0.274287,4,30329.7281,0.038617,245408.0531,0.312966,6752.8111,3.139699,2190.8029,2,8943.614,2,3.644385,0.504686,2.46492,-0.674779,-1.179465,1,2,1567,1
B000003120,인천당산초등학교,계양구,3.0,0,0,0,72289.5662,784137.1226,0.09219,2,22288.7759,0.028379,94578.3421,0.120615,1751.1424,2.4224,0.0,0,1751.1424,1,1.851526,-0.570874,2.611861,0.189461,0.760335,1,1,630,1
B000002967,인천서흥초등학교,동구,4.0,0,0,0,364131.6543,784137.1226,0.464372,5,68383.5292,0.087069,432515.1834,0.551581,19076.7545,5.238972,6337.1939,1,25413.9483,2,5.875851,0.636879,5.818964,0.579992,-0.056887,1,2,1075,1
B000003192,교동초등학교,강화군,,1,0,0,15500.1412,784137.1226,0.019767,0,0.0,0.0,15500.1412,0.019767,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000003134,인천경명초등학교,서구,2.0,0,0,0,81911.6595,784137.1226,0.104461,2,87196.0047,0.111021,169107.6642,0.215661,0.0,0.0,0.0,0,0.0,0,0.0,0.0,19.861496,19.861496,19.861496,1,3,2915,1
B000003184,삼성초등학교,강화군,,1,0,0,15500.1412,784137.1226,0.019767,0,0.0,0.0,15500.1412,0.019767,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000022839,인천청일초등학교,서구,4.0,0,0,0,222765.5922,784137.1226,0.28409,3,94160.6305,0.119889,316926.2227,0.404172,179433.2531,80.548011,65326.2941,1,244759.5471,1,77.229188,-3.318823,72.374996,-8.173015,-4.854192,1,2,2900,1
B000026471,인천신검단초등학교,서구,2.0,0,0,0,75751.661,784137.1226,0.096605,2,85813.4813,0.109261,161565.1423,0.206042,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1425,1
B000003141,인천양지초등학교,서구,4.0,0,0,0,170110.7401,784137.1226,0.21694,2,9630.923,0.012262,179741.663,0.229222,20185.5995,11.866152,6.9637,1,20192.5632,4,11.234214,-0.631938,18.098799,6.232647,6.864585,1,2,1602,1
B000003190,삼산초등학교,강화군,,1,0,0,13513.9293,784137.1226,0.017234,0,0.0,0.0,13513.9293,0.017234,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000026467,인천해든초등학교,서구,3.0,0,0,0,109738.8654,784137.1226,0.139949,9,345168.8654,0.439483,454907.7308,0.580138,1905.4566,1.736355,24206.6793,4,26112.1359,5,5.740095,4.00374,11.830423,10.094068,6.090328,1,9,8444,1
B000003083,인천도림초등학교,남동구,4.0,0,0,0,87446.3053,784137.1226,0.111519,3,45297.4017,0.057674,132743.707,0.169286,6870.1282,7.856396,1451.118,1,8321.2462,4,6.268656,-1.58774,2.402813,-5.453583,-3.865843,1,2,1356,1
B000003177,대월초등학교,강화군,,1,0,0,22567.6997,784137.1226,0.02878,0,0.0,0.0,22567.6997,0.02878,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000002997,북포초등학교,옹진군,,1,0,0,16688.2642,784137.1226,0.021282,0,0.0,0.0,16688.2642,0.021282,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000003094,인천신월초등학교,남동구,3.0,0,0,0,281260.273,784137.1226,0.358688,0,0.0,0.0,281260.273,0.358688,13028.06,4.63203,0.0,0,13028.06,3,4.63203,-0.0,4.961711,0.329681,0.329681,0,0,0,0
B000003171,인천검암초등학교,서구,4.0,0,0,0,179603.9281,784137.1226,0.229047,2,58304.735,0.074236,237908.6631,0.303402,10210.6328,5.685083,1238.5197,1,11449.1525,3,4.812415,-0.872668,3.079216,-2.605867,-1.733199,1,2,1668,1
B000022834,인천청람초등학교,서구,4.0,0,0,0,295108.9114,784137.1226,0.376349,6,182686.3103,0.232603,477795.2216,0.609326,70480.1632,23.882763,0.0,0,70480.1632,3,14.751123,-9.13164,15.249442,-8.633322,0.498318,1,3,3815,1
B000003169,인천신현초등학교,서구,2.0,0,0,0,404750.8399,784137.1226,0.516174,1,12265.4972,0.015617,417016.3371,0.531816,792.2588,0.19574,0.0,0,792.2588,1,0.189983,-0.005757,0.256878,0.061138,0.066895,1,1,778,1
B000003085,인천장도초등학교,남동구,2.0,0,0,0,88576.0505,784137.1226,0.11296,3,54474.5413,0.069359,143050.5919,0.182431,692.3503,0.781645,1044.8559,1,1737.2062,1,1.2144,0.432755,3.568172,2.786527,2.353772,1,6,6689,1
B000003161,인천금곡초등학교,서구,3.0,0,0,0,189091.3695,784137.1226,0.241146,5,81715.3641,0.104043,270806.7336,0.345356,4667.8682,2.468578,348.9738,1,5016.842,3,1.852554,-0.616024,1.460204,-1.008374,-0.392351,1,2,1176,1
B000025256,인천송원초등학교,연수구,4.0,0,0,0,221337.8196,784137.1226,0.282269,4,101780.5159,0.129591,323118.3354,0.412069,45891.394,20.733643,15781.2332,1,61672.6272,2,19.0867,-1.646943,27.897777,7.164134,8.811077,1,2,1281,1
B000003004,인천남부초등학교이작분교장,옹진군,,1,0,0,9895.0532,784137.1226,0.012619,0,0.0,0.0,9895.0532,0.012619,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000003183,불은초등학교,강화군,,1,0,0,15500.1412,784137.1226,0.019767,0,0.0,0.0,15500.1412,0.019767,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000003082,인천만수초등학교,남동구,3.0,0,0,0,216405.1663,784137.1226,0.275979,7,114528.2727,0.145822,330933.439,0.422035,10473.152,4.839604,0.9503,1,10474.1024,6,3.165018,-1.674586,2.141905,-2.697698,-1.023113,1,5,3445,1
B000002980,인천관교초등학교,미추홀구,3.0,0,0,0,393519.4238,784137.1226,0.50185,5,76482.4391,0.09738,470001.8628,0.599387,6578.8696,1.671803,1383.8979,2,7962.7675,6,1.694199,0.022396,1.949597,0.277794,0.255398,1,0,0,1
B000003110,인천해서초등학교,계양구,2.0,0,0,0,197434.4469,784137.1226,0.251786,2,8793.2565,0.011196,206227.7034,0.263,1150.1642,0.582555,0.0,0,1150.1642,1,0.557716,-0.024839,0.188823,-0.393732,-0.368892,1,0,0,0
B000025196,인천장서초등학교,남동구,4.0,0,0,0,80326.8148,784137.1226,0.10244,6,282694.1035,0.359937,363020.9184,0.462956,5594.1531,6.964241,6770.0316,3,12364.1848,3,3.405915,-3.558326,9.355421,2.39118,5.949506,1,7,7142,1
B000003045,인천한길초등학교,부평구,3.0,0,0,0,365653.8104,784137.1226,0.466314,8,99902.2802,0.1272,465556.0906,0.593718,14176.6558,3.87707,4374.0932,6,18550.7491,10,3.984643,0.107573,7.892339,4.015268,3.907695,1,7,6166,1
B000003167,인천석남서초등학교,서구,2.0,0,0,0,336426.9885,784137.1226,0.429041,9,29919.9519,0.038095,366346.9404,0.467198,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
B000003173,길상초등학교,강화군,,1,0,0,15500.1412,784137.1226,0.019767,0,0.0,0.0,15500.1412,0.019767,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000025206,인천새봄초등학교,연수구,4.0,0,1,0,784137.1226,784137.1226,1.0,0,0.0,0.0,784137.1226,1.0,77460.9891,9.8785,0.0,0,77460.9891,1,9.8785,0.0,0.02547,-9.85303,-9.85303,0,3,2844,0
B000003033,인천부마초등학교,부평구,1.0,0,0,0,185647.1842,784137.1226,0.236753,7,161358.3653,0.205448,347005.5495,0.442532,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,5,6693,1
B000003182,선원초등학교,강화군,,1,0,0,15500.1412,784137.1226,0.019767,0,0.0,0.0,15500.1412,0.019767,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000003009,인천대정초등학교,부평구,2.0,0,0,0,200625.2174,784137.1226,0.255855,4,178722.382,0.227556,379347.5994,0.483777,0.0,0.0,0.0,0,0.0,0,0.0,0.0,2.163765,2.163765,2.163765,1,2,3700,1
B000003000,인천삼목초등학교장봉분교장,옹진군,,1,0,0,784137.1226,784137.1226,1.0,0,0.0,0.0,784137.1226,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000003119,인천소양초등학교,계양구,3.0,0,0,0,200107.8495,784137.1226,0.255195,5,44679.1832,0.056887,244787.0328,0.312174,2549.8966,1.274261,0.0,0,2549.8966,2,1.04168,-0.232582,0.819921,-0.45434,-0.221759,1,2,1216,1
B000003111,인천안남초등학교,계양구,2.0,0,0,0,324394.3912,784137.1226,0.413696,9,52147.8954,0.066397,376542.2866,0.4802,956.9982,0.295011,0.0,0,956.9982,3,0.254154,-0.040856,0.618262,0.323251,0.364108,1,3,2770,1
B000002995,영흥초등학교,옹진군,,1,0,0,37509.7039,784137.1226,0.047836,0,0.0,0.0,37509.7039,0.047836,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000003064,인천옥련초등학교,연수구,2.0,0,0,0,352048.5055,784137.1226,0.448963,15,113649.7315,0.144703,465698.237,0.593899,1995.8723,0.566931,1253.8873,1,3249.7596,2,0.697825,0.130894,0.607669,0.040738,-0.090156,1,5,3977,1
B000003063,인천문남초등학교,연수구,4.0,0,0,0,270934.8317,784137.1226,0.34552,6,114631.7893,0.145954,385566.621,0.491708,117937.7496,43.529933,49022.8097,1,166960.5592,5,43.302649,-0.227284,41.637036,-1.892897,-1.665613,1,2,1410,1
B000003059,인천동춘초등학교,연수구,4.0,0,0,0,177572.3492,784137.1226,0.226456,7,231167.194,0.294331,408739.5432,0.52126,67620.3803,38.080467,38577.5796,4,106197.9598,4,25.981817,-12.09865,21.089194,-16.991273,-4.892623,1,3,2943,1
B000003068,인천먼우금초등학교,연수구,4.0,0,0,0,160081.8548,784137.1226,0.20415,8,282716.7397,0.359966,442798.5945,0.564695,82682.4381,51.6501,178736.2669,9,261418.705,9,59.037835,7.387735,59.906608,8.256508,0.868773,1,5,3500,1
B000003023,인천부평북초등학교,부평구,4.0,0,0,0,230077.4563,784137.1226,0.293415,6,74580.4136,0.094959,304657.8699,0.388526,14542.1162,6.320531,0.0,0,14542.1162,1,4.773261,-1.547269,5.807582,-0.512948,1.034321,1,2,1434,1
B000003097,인천논현초등학교,남동구,3.0,0,0,0,243752.9575,784137.1226,0.310855,5,151278.1595,0.192613,395031.117,0.503778,3150.9189,1.292669,1419.7982,1,4570.7171,3,1.157052,-0.135617,3.064398,1.771729,1.907346,1,5,4198,1
B000003066,인천해송초등학교,연수구,4.0,0,0,0,184696.5862,784137.1226,0.235541,3,159282.9332,0.202805,343979.5195,0.438673,97436.389,52.75484,34718.5086,4,132154.8977,5,38.419409,-14.335431,40.380461,-12.374379,1.961052,1,3,2293,1
B000003132,인천계양초등학교상야분교장,계양구,3.0,0,1,0,103139.1245,784137.1226,0.131532,0,0.0,0.0,103139.1245,0.131532,1064.0355,1.031651,0.0,0,1064.0355,1,1.031651,0.0,0.236417,-0.795234,-0.795234,0,0,0,0
B000003128,인천작전초등학교,계양구,3.0,0,0,0,206892.1842,784137.1226,0.263847,5,52952.8334,0.067422,259845.0175,0.331377,10336.2598,4.995964,0.0,0,10336.2598,1,3.977856,-1.018109,1.7048,-3.291164,-2.273055,1,2,1176,1
B000003159,인천발산초등학교,서구,4.0,0,0,0,180657.357,784137.1226,0.23039,6,112742.5286,0.143548,293399.8856,0.374169,27430.2894,15.183599,2749.3389,1,30179.6283,3,10.286176,-4.897424,5.032376,-10.151224,-5.2538,1,3,3248,1
B000003138,인천경서초등학교,서구,3.0,0,0,0,160355.1637,784137.1226,0.204499,3,47221.9429,0.060125,207577.1065,0.26472,4179.9591,2.606688,176.0555,1,4356.0146,2,2.098504,-0.508184,1.519078,-1.08761,-0.579426,1,2,1132,1
B000003079,인천만수북초등학교,남동구,2.0,0,0,0,143612.6204,784137.1226,0.183147,1,15074.299,0.019193,158686.9194,0.202371,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.507161,0.507161,0.507161,1,0,0,0
B000003157,인천단봉초등학교,서구,3.0,0,0,0,214559.5545,784137.1226,0.273625,6,153440.2146,0.195366,367999.7691,0.469305,7130.4015,3.323274,3336.5897,1,10466.9912,4,2.844293,-0.478981,1.836372,-1.486902,-1.007921,1,1,731,1
B000003067,인천신송초등학교,연수구,4.0,0,0,0,66900.3333,784137.1226,0.085317,5,238343.6756,0.303469,305244.0088,0.389274,52303.2961,78.18092,166766.9336,10,219070.2297,10,71.768888,-6.412033,75.144765,-3.036155,3.375877,1,6,3421,1
B000003041,인천용마초등학교,부평구,2.0,0,0,0,96038.0042,784137.1226,0.122476,1,10997.3184,0.014002,107035.3226,0.136501,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.669666,0.669666,0.669666,1,2,3880,1
B000003048,인천명선초등학교,연수구,4.0,0,1,1,79397.0991,784137.1226,0.101254,0,0.0,0.0,79397.0991,0.101254,16461.9113,20.733643,0.0,0,16461.9113,2,20.733643,0.0,0.508478,-20.225165,-20.225165,0,3,1613,0
B000003109,인천효성초등학교,계양구,3.0,0,0,0,148268.1593,784137.1226,0.189084,3,17938.8125,0.02284,166206.9718,0.211962,5628.3366,3.796052,0.0,0,5628.3366,1,3.386342,-0.40971,2.899596,-0.896456,-0.486746,1,3,2182,1
B000002975,인천용현남초등학교,미추홀구,2.0,0,0,0,34265.8132,784137.1226,0.043699,3,67860.6408,0.086403,102126.4541,0.130241,0.0,0.0,0.0,0,0.0,0,0.0,0.0,6.581892,6.581892,6.581892,1,3,2501,1
B000003114,인천서운초등학교,계양구,4.0,0,0,0,159316.8642,784137.1226,0.203175,5,132138.3247,0.168244,291455.1889,0.371689,10875.4626,6.82631,9473.0729,4,20348.5355,4,6.981703,0.155393,9.534731,2.708422,2.553029,1,4,4289,1
B000003054,인천연화초등학교,연수구,3.0,0,0,0,307137.6282,784137.1226,0.391689,6,127015.9222,0.161722,434153.5503,0.55367,13963.1695,4.546226,329.0641,1,14292.2336,4,3.291977,-1.254249,4.30782,-0.238405,1.015844,1,5,5976,1
B000002955,인천연안초등학교,중구,1.0,0,0,0,196543.5348,784137.1226,0.250649,1,57222.487,0.072858,253766.0218,0.323625,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,2008,1
B000002965,인천창영초등학교,동구,2.0,0,0,0,187408.7639,784137.1226,0.239,2,9514.9388,0.012115,196923.7027,0.251134,1027.1482,0.548079,0.0,0,1027.1482,1,0.521597,-0.026482,0.130781,-0.417298,-0.390816,1,0,0,0
B000003027,인천부원초등학교,부평구,1.0,0,0,0,216734.69,784137.1226,0.276399,3,128842.0015,0.164047,345576.6915,0.44071,0.0,0.0,2577.288,1,2577.288,1,0.745793,0.745793,1.829196,1.829196,1.083403,1,3,3395,1
B000003099,인천새말초등학교,남동구,3.0,0,0,0,347449.3917,784137.1226,0.443098,7,225553.9308,0.287184,573003.3225,0.730744,8191.5191,2.357615,9323.6887,3,17515.2078,5,3.056738,0.699123,2.925656,0.568041,-0.131082,1,4,6828,1
B000002960,인성초등학교,중구,4.0,0,0,0,321343.8515,784137.1226,0.409806,0,0.0,0.0,321343.8515,0.409806,59796.4002,18.608229,0.0,0,59796.4002,1,18.608229,0.0,8.658365,-9.949864,-9.949864,0,0,0,0
B000003044,인천삼산초등학교,부평구,4.0,0,0,0,297738.523,784137.1226,0.379702,11,134075.0454,0.17071,431813.5684,0.550686,16127.0823,5.416525,4692.5965,4,20819.6788,5,4.821451,-0.595074,4.469357,-0.947168,-0.352094,1,6,5164,1
B000003015,인천구산초등학교,부평구,4.0,0,0,0,285543.8704,784137.1226,0.36415,9,151926.6142,0.193439,437470.4846,0.5579,17152.8175,6.007069,7349.1901,5,24502.0075,8,5.600837,-0.406232,8.485472,2.478403,2.884635,1,6,5976,1
B000002950,인천신광초등학교,중구,1.0,0,0,0,294963.7167,784137.1226,0.376163,4,36367.3773,0.046304,331331.0941,0.422542,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.062797,0.062797,0.062797,1,0,0,0
B000002976,인천학산초등학교,미추홀구,3.0,0,0,0,207520.3204,784137.1226,0.264648,3,107552.5402,0.13694,315072.8605,0.401808,5904.9488,2.84548,4983.7374,2,10888.6863,5,3.455926,0.610447,2.701048,-0.144431,-0.754878,1,3,4277,1
B000003092,인천송천초등학교,남동구,4.0,0,0,0,176208.2562,784137.1226,0.224716,5,163135.8231,0.207711,339344.0793,0.432761,125953.7845,71.48007,64411.0849,6,190364.8694,6,56.09789,-15.382179,62.990889,-8.489181,6.892999,1,3,3756,1
B000002986,인천대화초등학교,미추홀구,2.0,0,0,0,298701.2973,784137.1226,0.38093,1,35437.7975,0.045121,334139.0948,0.426123,1849.3714,0.619137,0.0,0,1849.3714,1,0.553474,-0.065664,0.521986,-0.097152,-0.031488,1,2,1897,1
B000002992,인천연학초등학교,미추홀구,4.0,0,0,0,308350.6292,784137.1226,0.393236,12,169135.6499,0.21535,477486.2791,0.608932,21230.6788,6.885239,15355.0398,5,36585.7186,6,7.662151,0.776911,6.335661,-0.549579,-1.32649,1,6,5164,1
B000003123,인천계산초등학교,계양구,3.0,0,1,0,245426.2382,784137.1226,0.312989,0,0.0,0.0,245426.2382,0.312989,6771.5553,2.7591,0.0,0,6771.5553,4,2.7591,0.0,4.029777,1.270677,1.270677,0,0,0,0
B000002987,인천주안북초등학교,미추홀구,2.0,0,0,0,270348.8373,784137.1226,0.344772,3,15054.5845,0.019168,285403.4219,0.363971,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.267625,0.267625,0.267625,1,0,0,0
B000003144,인천석남초등학교,서구,2.0,0,1,1,211884.3872,784137.1226,0.270213,0,0.0,0.0,211884.3872,0.270213,903.3496,0.426341,0.0,0,903.3496,1,0.426341,0.0,0.805083,0.378742,0.378742,0,0,0,0
B000003168,인천가현초등학교,서구,2.0,0,0,0,155327.5762,784137.1226,0.198087,5,200396.4831,0.255153,355724.0593,0.45365,193.4617,0.124551,120.1932,1,313.6548,1,0.088174,-0.036377,0.109831,-0.01472,0.021657,1,6,9063,1
B000003142,인천심곡초등학교,서구,4.0,0,0,0,291902.9973,784137.1226,0.37226,1,1094.7198,0.001394,292997.717,0.373656,41899.2899,14.35384,1094.7198,1,42994.0097,5,14.673838,0.319998,14.850669,0.496828,0.176831,0,1,1048,0
B000002996,덕적초등학교,옹진군,,1,0,0,9895.0532,784137.1226,0.012619,0,0.0,0.0,9895.0532,0.012619,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000003025,인천부개초등학교,부평구,2.0,0,0,0,342107.2391,784137.1226,0.436285,2,24189.2096,0.030799,366296.4487,0.467133,1470.2657,0.429767,415.3792,1,1885.6449,2,0.514787,0.085019,2.697767,2.268,2.182981,1,3,2471,1
B000003103,인천담방초등학교,남동구,4.0,0,0,0,102803.8819,784137.1226,0.131104,7,110380.743,0.140541,213184.6249,0.271872,5351.8372,5.205871,0.0,0,5351.8372,1,2.510424,-2.695447,1.508647,-3.697223,-1.001776,1,7,5562,1
B000003088,인천사리울초등학교,남동구,3.0,0,0,0,149060.0694,784137.1226,0.190094,4,130623.9023,0.166316,279683.9718,0.356677,4645.5193,3.116542,11400.1844,2,16045.7037,3,5.737084,2.620542,16.589026,13.472484,10.851942,1,2,1366,1
B000002957,인천공항초등학교,중구,4.0,0,0,0,268326.7673,784137.1226,0.342194,5,110234.7876,0.140355,378561.5549,0.482775,15471.7662,5.766017,12699.7641,4,28171.5303,5,7.44173,1.675714,12.60961,6.843594,5.16788,1,2,1390,1
B000003075,인천구월서초등학교,남동구,4.0,0,0,0,305747.7279,784137.1226,0.389916,2,78669.1335,0.100165,384416.8614,0.490242,30878.3068,10.099276,8522.057,3,39400.3637,5,10.249385,0.150109,6.892324,-3.206952,-3.357061,1,1,760,1
