학교ID,학교명,gu,case_type,is_separate_bundle_tag,green_fix_protected,green_fix_manual_ratio,osm_walk_area_m2,straight_buffer_area_m2,osm_walk_area_ratio_to_buffer,connected_residential_count,apt_added_area_m2,apt_gap_ratio,adjusted_walk_area_m2,adjusted_walk_area_ratio_to_buffer,current_walk_green_area_m2,current_walk_green_ratio,apt_added_green_area_m2,apt_added_park_count,adjusted_walk_green_area_m2,adjusted_walk_park_count,apt_adjusted_walk_green_ratio,apt_adjusted_green_delta_pp,radius_green_ratio,radius_to_walk_loss_pp,radius_to_adjusted_loss_pp,apt_permeability_flag,large_apt_count_500m,large_apt_households_500m,apt_adjustment_candidate
B000002994,대청초등학교,옹진군,,1,0,0,16688.2642,784137.1226,0.021282,0,0.0,0.0,16688.2642,0.021282,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000025752,인천도담초등학교,서구,4.0,0,0,0,325634.5834,784137.1226,0.415278,5,106113.9146,0.135108,431748.498,0.550603,33000.2101,10.134123,43202.2073,1,76202.4173,2,17.649724,7.515601,13.633422,3.499299,-4.016302,1,2,2595,1
B000003135,인천공촌초등학교,서구,4.0,0,0,0,222071.4719,784137.1226,0.283205,1,8003.2164,0.01019,230074.6884,0.293411,45121.8338,20.318609,8003.2164,1,53125.0503,4,23.09035,2.771741,20.494336,0.175728,-2.596013,1,1,1048,1
B000003049,인천축현초등학교,연수구,3.0,0,0,0,230204.5919,784137.1226,0.293577,3,27054.0781,0.034446,257258.67,0.328079,4126.0086,1.792322,0.0,0,4126.0086,3,1.603837,-0.188486,0.943011,-0.849312,-0.660826,1,3,2185,1
B000002998,백령초등학교,옹진군,,1,0,0,16688.2642,784137.1226,0.021282,0,0.0,0.0,16688.2642,0.021282,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000003180,합일초등학교,강화군,,1,0,0,784137.1226,784137.1226,1.0,0,0.0,0.0,784137.1226,1.0,101724.9523,12.972852,0.0,0,101724.9523,2,12.972852,0.0,12.952023,-0.020829,-0.020829,0,0,0,0
B000002949,인천신흥초등학교,중구,1.0,0,0,0,335199.1924,784137.1226,0.427475,2,10717.2036,0.013646,345916.396,0.441143,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1.243865,1.243865,1.243865,1,0,0,0
B000002983,인천남부초등학교,미추홀구,2.0,0,0,0,395986.1079,784137.1226,0.504996,3,74724.7206,0.095142,470710.8285,0.600291,2248.9553,0.567938,9825.0011,2,12073.9564,3,2.565048,1.99711,1.990196,1.422258,-0.574852,1,3,5780,1
B000003061,인천서면초등학교,연수구,3.0,0,0,0,183197.7116,784137.1226,0.23363,5,161232.0381,0.205287,344429.7497,0.439247,5829.1243,3.181876,16500.7016,5,22329.8258,5,6.483129,3.301253,20.996644,17.814768,14.513515,1,5,6098,1
B000003129,인천작동초등학교,계양구,3.0,0,0,0,299018.0571,784137.1226,0.381334,13,162656.4094,0.207101,461674.4665,0.588768,3458.1895,1.156515,2128.0416,2,5586.2311,2,1.209994,0.053478,4.046323,2.889808,2.836329,1,7,6055,1
B000002951,인천신선초등학교,중구,1.0,0,0,0,142048.8301,784137.1226,0.181153,4,22320.0708,0.028419,164368.9009,0.209618,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,520,1
B000002952,인천송월초등학교,중구,4.0,0,0,0,186127.814,784137.1226,0.237366,3,7359.4195,0.00937,193487.2335,0.246752,12654.3983,6.798768,0.0,0,12654.3983,1,6.540172,-0.258596,6.229093,-0.569675,-0.311079,1,0,0,0
