학교ID,학교명,gu,iso_child_total,target_2029,target_2031,predicted_2029,predicted_2031,cohort_change_2029_prophet,cohort_change_2031_prophet,is_new_school
B000002949,인천신흥초등학교,중구,230,252.7346265812527,261.8779828841808,252.75575,262.0426,1.0988462025271857,1.138599925583395,0
B000002950,인천신광초등학교,중구,463,508.765791770087,527.1717655451118,508.2903,526.7239,1.0988462025271857,1.138599925583395,0
B000002951,인천신선초등학교,중구,193,212.07731708774685,219.74978563759524,212.18724,219.6626,1.0988462025271857,1.138599925583395,0
B000002952,인천송월초등학교,중구,104,114.28000506282731,118.41439226067308,114.76076,118.98877,1.0988462025271857,1.138599925583395,0
B000002953,인천운서초등학교,중구,149,163.72808417655065,169.65138891192584,163.64369,169.63847,1.0988462025271857,1.138599925583395,0
B000002954,인천용유초등학교,중구,1,1.0988462025271857,1.138599925583395,1.0694942,1.2463351,1.0988462025271857,1.138599925583395,0
B000002955,인천연안초등학교,중구,34,37.36077088592431,38.71239746983543,37.72324,39.284565,1.0988462025271857,1.138599925583395,0
B000002956,인천운남초등학교,중구,57,62.634233544049586,64.90019575825352,63.148243,65.46708,1.0988462025271857,1.138599925583395,0
B000002957,인천공항초등학교,중구,294,323.06078354299257,334.7483781215181,322.9891,334.61343,1.0988462025271857,1.138599925583395,0
B000002958,인천삼목초등학교,중구,176,193.39693164478467,200.3935869026775,193.37193,200.53862,1.0988462025271857,1.138599925583395,0
B000002959,인천영종초등학교,중구,743,816.442728477699,845.9797447084625,815.8177,845.67523,1.0988462025271857,1.138599925583395,0
B000002960,인성초등학교,중구,109,119.77423607546324,124.10739188859004,119.74832,123.965385,1.0988462025271857,1.138599925583395,0
B000002962,인천영종초등학교금산분교장,중구,3,3.296538607581557,3.415799776750185,3.160954,2.916834,1.0988462025271857,1.138599925583395,0
B000002963,인천만석초등학교,동구,201,98.4116941041641,57.782778350520786,98.52401,57.760056,0.4896104184286771,0.2874765092065711,0
B000002964,인천송현초등학교,동구,581,284.46365310706136,167.0238518490178,284.54596,166.85953,0.4896104184286771,0.2874765092065711,0
B000002965,인천창영초등학교,동구,335,164.0194901736068,96.30463058420132,163.85696,96.33211,0.4896104184286771,0.2874765092065711,0
B000002966,인천송림초등학교,동구,647,316.77794072335405,185.99730145665148,316.45117,185.73216,0.4896104184286771,0.2874765092065711,0
B000002967,인천서흥초등학교,동구,556,272.22339264634445,159.83693911885354,272.77335,159.8923,0.4896104184286771,0.2874765092065711,0
