기관명,기관유형,위도,경도,주소,정원수,출처
인천서화초등학교병설유치원,유치원_공립,37.47398641,126.6608141,미추홀구 송림로 250,,유치원
인천숭의초등학교병설유치원,유치원_공립,37.46371972,126.6557067,미추홀구 장천로 99,,유치원
인천용정초등학교병설유치원,유치원_공립,37.45943698,126.657235,미추홀구 독정안길 26,,유치원
인천용학초등학교병설유치원,유치원_공립,37.44676348,126.6434992,미추홀구 용정공원로83번길 9,,유치원
인천학익초등학교병설유치원,유치원_공립,37.44706316,126.6586364,미추홀구 한나루로403번길 122,,유치원
인천연학초등학교병설유치원,유치원_공립,37.44356467,126.6719174,미추홀구 주승로 20,,유치원
인천인주초등학교병설유치원,유치원_공립,37.44238998,126.6737257,미추홀구 매소홀로475번길 53,,유치원
인천문학초등학교병설유치원,유치원_공립,37.4398904,126.6828332,미추홀구 매소홀로 553,,유치원
인천주안초등학교병설유치원,유치원_공립,37.45465257,126.6738992,미추홀구 남주길69번길 16,,유치원
인천경원초등학교병설유치원,유치원_공립,37.46136602,126.6957692,미추홀구 경인로 511,,유치원
