학교ID,학교명,method,offset_m,reach_nodes,reach_edge_len_m,n_parts,v3_area_m2,v3_ratio,v2_osmnx_area_m2,valhalla_area_m2,v3_vs_v2,v3_vs_valhalla
B000002987,인천주안북초등학교,exact_edge_trim_v3,26.4,67,7608.6,1,405513,0.5163,270349,489465,1.5,0.828
B000003144,인천석남초등학교,exact_edge_trim_v3,10.7,34,4089.0,1,218134,0.2777,211884,250005,1.029,0.873
B000003168,인천가현초등학교,exact_edge_trim_v3,36.1,29,4305.1,1,229866,0.2927,155328,305476,1.48,0.752
B000003142,인천심곡초등학교,exact_edge_trim_v3,62.7,77,7167.7,1,334205,0.4255,291903,386012,1.145,0.866
B000002996,덕적초등학교,exact_edge_trim_v3,22.1,27,2436.8,1,132295,0.1684,9895,172925,13.37,0.765
B000003025,인천부개초등학교,exact_edge_trim_v3,45.0,80,9013.1,1,409654,0.5216,342107,488252,1.197,0.839
B000003103,인천담방초등학교,exact_edge_trim_v3,25.9,18,3470.8,1,192725,0.2454,102804,239688,1.875,0.804
B000003088,인천사리울초등학교,exact_edge_trim_v3,61.2,31,3727.5,1,195695,0.2492,149060,299817,1.313,0.653
B000002957,인천공항초등학교,exact_edge_trim_v3,41.8,111,7378.4,1,302681,0.3854,268327,409725,1.128,0.739
B000003075,인천구월서초등학교,exact_edge_trim_v3,7.6,91,9649.1,1,427985,0.5449,305748,481011,1.4,0.89
B000002964,인천송현초등학교,exact_edge_trim_v3,19.5,246,16810.0,1,453232,0.5771,223537,493087,2.028,0.919
B000003051,인천능허대초등학교,exact_edge_trim_v3,36.0,112,10010.9,1,425002,0.5411,333301,536898,1.275,0.792
B000003035,인천산곡남초등학교,exact_edge_trim_v3,60.6,64,6008.7,1,266256,0.339,230708,390230,1.154,0.682
B000003152,인천검단초등학교,exact_edge_trim_v3,60.9,14,2519.5,1,141178,0.1798,176456,228089,0.8,0.619
B000003107,인천효성동초등학교,exact_edge_trim_v3,33.3,38,4806.6,1,270160,0.344,175089,302716,1.543,0.892
B000003166,인천마전초등학교,exact_edge_trim_v3,49.0,50,3937.6,1,167427,0.2132,122423,245436,1.368,0.682
B000003105,인천서창초등학교,exact_edge_trim_v3,76.3,32,4145.9,1,248823,0.3168,220659,353800,1.128,0.703
B000002979,인천문학초등학교,exact_edge_trim_v3,59.7,57,6016.0,1,256824,0.327,250424,397017,1.026,0.647
B000003030,인천부평남초등학교,exact_edge_trim_v3,23.7,77,7534.9,1,326677,0.4159,273643,400275,1.194,0.816
B000003005,인천용현남초등학교자월분교장,exact_edge_trim_v3,20.8,102,5501.5,1,249124,0.3172,9895,273409,25.177,0.911
B000003019,인천부광초등학교,exact_edge_trim_v3,62.2,108,8409.2,1,332811,0.4237,329398,535809,1.01,0.621
B000003040,인천동암초등학교,exact_edge_trim_v3,12.5,137,9953.9,1,409811,0.5218,319720,468151,1.282,0.875
B000002984,인천승학초등학교,exact_edge_trim_v3,22.0,50,4777.4,1,192738,0.2454,160253,237717,1.203,0.811
B000003017,인천부내초등학교,exact_edge_trim_v3,26.0,42,3262.8,1,179396,0.2284,51987,201725,3.451,0.889
B000002963,인천만석초등학교,exact_edge_trim_v3,16.8,72,9473.3,1,361231,0.4599,225828,449455,1.6,0.804
B000003143,인천신석초등학교,exact_edge_trim_v3,29.0,59,5374.8,1,239323,0.3047,116022,272160,2.063,0.879
B000003100,인천조동초등학교,exact_edge_trim_v3,69.1,97,5692.9,1,259661,0.3306,246541,394833,1.053,0.658
B000025756,인천청호초등학교,exact_edge_trim_v3,45.8,167,9005.6,1,311988,0.3972,249231,396184,1.252,0.787
B000022832,인천한빛초등학교,exact_edge_trim_v3,63.3,6,1678.0,1,116411,0.1482,91111,171275,1.278,0.68
B000003106,경인교육대학교부설초등학교,exact_edge_trim_v3,63.7,47,3886.7,1,196582,0.2503,135450,252426,1.451,0.779
B000003020,인천일신초등학교,exact_edge_trim_v3,9.3,77,8002.4,1,397974,0.5067,258699,468518,1.538,0.849
B000003046,인천굴포초등학교,exact_edge_trim_v3,54.1,70,5201.7,1,237225,0.302,198697,301522,1.194,0.787
B000003042,인천마장초등학교,exact_edge_trim_v3,11.8,77,7621.2,1,379909,0.4837,250917,400004,1.514,0.95
B000002991,인천인주초등학교,exact_edge_trim_v3,36.5,116,8638.1,1,405062,0.5157,328988,495739,1.231,0.817
B000003034,인천미산초등학교,exact_edge_trim_v3,57.5,41,3439.7,1,160141,0.2039,103574,247834,1.546,0.646
B000003102,인천장수초등학교,exact_edge_trim_v3,62.6,19,2304.5,1,132508,0.1687,85236,256467,1.555,0.517
B000002989,인천주안남초등학교,exact_edge_trim_v3,11.5,91,10808.3,1,492388,0.6269,347974,509683,1.415,0.966
B000003077,상인천초등학교,exact_edge_trim_v3,7.0,74,9415.9,1,401314,0.511,304143,455538,1.319,0.881
B000003060,인천동막초등학교,exact_edge_trim_v3,58.5,61,5188.7,1,208989,0.2661,183908,257374,1.136,0.812
B000002969,인천동명초등학교,exact_edge_trim_v3,13.2,260,18375.0,1,445933,0.5678,360707,472880,1.236,0.943
B000002990,인천학익초등학교,exact_edge_trim_v3,97.8,14,1316.0,1,82787,0.1054,82994,201053,0.998,0.412
B000003104,인천남동초등학교,exact_edge_trim_v3,35.0,66,8150.5,1,369778,0.4708,305821,361347,1.209,1.023
