학교ID,학교명,gu,iso_child_total,iso_child_6_12,child_pop_quartile,expected_park_count,gap_count,expected_park_area,gap_area,case_type,priority_score,redev_완료수,redev_진행중수,redev_예정수,redev_status,trend_score,priority_rank,student_slope,is_new_school,cohort_change_2029,cohort_change_2031,cohort_change_2029_prophet,cohort_change_2031_prophet,nearest_park_dist_m,case_label,is_island_tag,is_walk_fallback_tag,iso_park_count,iso_park_area,buf_park_count,buf_park_area,access_ratio,iso_green_ratio,iso_playground_count,is_separate_bundle_tag,is_low_access_tag,is_case_conflict_tag,isochrone_area_m2,iso_park_count_raw,iso_park_area_raw,green_bucket,iso_green_ratio_raw
B000002965,인천창영초등학교,동구,335,213,Q2,1.8823529411764703,-0.8823529411764706,13001.352985294116,-11972.552985294118,2,3.0,0,1,0,진행중포함,,,15.657142857142857,0,1.05,1.08,0.4896104184286771,0.2874765092065711,43.4,접근 가능하나 녹지 부족,0,0,1,1027.1481515571525,1,1028.8,1.0,0.3127063521172746,0,0,0,0,328470.51062523347,1,1027.1481515571525,low,0.3127063521172746
B000002966,인천송림초등학교,동구,647,407,Q4,2.485294117647059,1.5147058823529411,45218.47352941177,-39575.87352941177,3,2.0,0,1,2,진행중포함,,,27.0,0,1.05,1.08,0.4896104184286771,0.2874765092065711,281.0,"접근 가능, 중간 수준",0,0,2,5633.54020214276,3,78966.3,0.6666666666666666,1.031439654907558,2,0,0,0,546182.2391003245,2,5633.54020214276,middle,1.031439654907558
B000002967,인천서흥초등학교,동구,556,374,Q3,2.544117647058824,-2.544117647058824,37061.58676470589,-37061.58676470589,2,3.0,0,0,0,없음,,,-58.14285714285715,0,1.05,1.08,0.4896104184286771,0.2874765092065711,208.0,접근 가능하나 녹지 부족,0,0,1,0.0,2,81434.7,0.5,0.0,0,0,1,0,531989.482124687,0,0.0,low,0.0
B000002968,인천서림초등학교,동구,534,354,Q3,2.544117647058824,-2.544117647058824,37061.58676470589,-37061.58676470589,1,4.0,0,0,2,예정만,0.8583025830258302,8,-36.00000000000001,0,1.05,1.08,0.4896104184286771,0.2874765092065711,728.0,공원 접근 불가,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,507063.3813425629,0,0.0,,0.0
B000002969,인천동명초등학교,동구,513,332,Q3,2.544117647058824,-2.544117647058824,37061.58676470589,-37061.58676470589,2,3.0,0,0,1,예정만,0.6478782287822877,,29.17142857142857,0,1.05,1.08,0.4896104184286771,0.2874765092065711,432.0,접근 가능하나 녹지 부족,0,0,1,0.0,2,74352.5,0.5,0.0,0,0,1,0,472879.93316728505,0,0.0,low,0.0
B000002970,영화초등학교,동구,310,197,Q2,1.8823529411764703,-0.8823529411764706,13001.352985294116,-11972.552985294118,2,3.0,0,1,1,진행중포함,,,33.542857142857144,0,1.05,1.08,0.4896104184286771,0.2874765092065711,305.1,접근 가능하나 녹지 부족,0,0,1,1027.1481515571525,1,1028.8,1.0,0.337353133866219,0,0,0,0,304472.68705809,1,1027.1481515571525,low,0.337353133866219
B000002971,인천숭의초등학교,미추홀구,414,265,Q2,1.8823529411764703,-1.8823529411764703,13001.352985294116,-13001.352985294116,2,3.0,0,1,0,진행중포함,,,-27.200000000000003,0,1.1,1.157,0.90451993467452,0.8662626373940179,54.0,접근 가능하나 녹지 부족,0,0,1,0.0,0,0.0,0.0,0.0,0,0,1,0,381064.141332051,0,0.0,low,0.0
B000002972,인천용정초등학교,미추홀구,578,375,Q3,2.544117647058824,-2.544117647058824,37061.58676470589,-37061.58676470589,2,3.0,0,0,2,예정만,,,-1.6285714285714283,0,1.1,1.157,0.90451993467452,0.8662626373940179,50.0,접근 가능하나 녹지 부족,0,0,1,0.0,0,0.0,0.0,0.0,0,0,1,0,529762.7989538372,0,0.0,low,0.0
B000002973,인천용일초등학교,미추홀구,470,283,Q3,2.544117647058824,-1.5441176470588234,37061.58676470589,-33622.28676470588,3,2.0,0,0,2,예정만,,,-44.62857142857143,0,1.1,1.157,0.90451993467452,0.8662626373940179,331.7,"접근 가능, 중간 수준",0,0,1,3433.777835966103,1,3439.3,1.0,0.6563054627134687,0,0,0,0,523198.11902361526,1,3433.777835966103,middle,0.6563054627134687
B000002974,인천용현초등학교,미추홀구,1038,652,Q4,2.485294117647059,1.5147058823529411,45218.47352941177,-13607.27352941177,3,2.0,0,0,0,없음,,,40.88571428571429,0,1.1,1.157,0.90451993467452,0.8662626373940179,299.0,"접근 가능, 중간 수준",0,0,4,13400.947446660026,7,63374.5,0.5714285714285714,3.293435692374363,0,0,0,0,406898.7130275124,4,13400.947446660026,middle,3.293435692374363
B000002975,인천용현남초등학교,미추홀구,229,131,Q2,1.8823529411764703,0.1176470588235294,13001.352985294116,20822.547014705884,4,1.0,0,0,0,없음,,,-8.142857142857142,0,1.1,1.157,0.90451993467452,0.8662626373940179,473.0,접근 양호,0,0,2,15751.273857123066,4,65948.7,0.5,18.909333427502183,0,0,1,0,83298.93762523663,2,15751.273857123066,high,18.909333427502183
B000002976,인천학산초등학교,미추홀구,476,344,Q3,2.544117647058824,2.4558823529411766,37061.58676470589,-21928.686764705883,4,1.0,0,0,0,없음,,,-35.857142857142854,0,1.1,1.157,0.90451993467452,0.8662626373940179,74.1,접근 양호,0,0,5,14935.003664561727,7,21248.1,0.7142857142857143,4.758460106566422,0,0,0,0,313862.11778789986,5,14935.003664561727,high,4.758460106566422
B000002977,인천백학초등학교,미추홀구,489,283,Q3,2.544117647058824,1.4558823529411766,37061.58676470589,-30695.886764705883,3,2.0,0,0,1,예정만,,,-19.77142857142857,0,1.1,1.157,0.90451993467452,0.8662626373940179,56.9,"접근 가능, 중간 수준",0,0,4,6355.479187745036,6,219061.7,0.6666666666666666,1.4912452152483455,0,0,0,0,426186.0573136271,4,6355.479187745036,middle,1.4912452152483455
B000002978,인천도화초등학교,미추홀구,341,211,Q2,1.8823529411764703,-1.8823529411764703,13001.352985294116,-13001.352985294116,1,4.0,0,0,0,없음,,14,-27.97142857142857,0,1.1,1.157,0.90451993467452,0.8662626373940179,605.3,공원 접근 불가,0,0,0,0.0,1,332694.0,0.0,0.0,0,0,0,0,272811.0538903964,0,0.0,,0.0
B000002979,인천문학초등학교,미추홀구,456,303,Q3,2.544117647058824,2.4558823529411766,37061.58676470589,-28355.886764705883,3,2.0,0,0,1,예정만,,,-42.11428571428572,0,1.1,1.157,0.90451993467452,0.8662626373940179,241.4,"접근 가능, 중간 수준",0,0,4,8650.16400602115,7,12902.6,0.5714285714285714,2.178788325796989,1,0,0,0,397017.1816877607,4,8650.16400602115,middle,2.178788325796989
