grid_id,cx,cy,gu,gu_assignment_method,linked_schools,linked_school_count,worst_case_type,avg_green_ratio,avg_playground_count,avg_park_dist_m,land_feasibility_level,priority_score,candidate_rank,candidate_total_pop_current,candidate_child_current,gu_predicted_2029,gu_predicted_2031,actual_2025,gu_growth_factor_2029,gu_growth_factor_2031,legacy_forecast_2029,legacy_forecast_2031,legacy_xgb_predicted_2029,legacy_xgb_predicted_2031,forecast_2029,forecast_2031,xgb_predicted_2029,xgb_predicted_2031,nearest_park_dist,nearest_pg_dist,demand_label,demand_note,demand_model_version
CG_01025,126.70689575385181,37.507153716978195,부평구,linked_school_majority,"['인천부마초등학교', '인천마장초등학교', '인천미산초등학교', '인천산곡초등학교']",4,1.0,0.0,0.0,889.2,high,298.8,56,2227.891,239.417,31630,28973,36723,0.8613130735506358,0.7889605969011246,1559,1402,1559,1402,206,189,206,189,916.1,5122.8,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01092,126.71139575385182,37.5049037169782,부평구,linked_school_majority,"['인천부곡초등학교', '인천부마초등학교', '인천마장초등학교', '인천미산초등학교']",4,1.0,0.216,0.0,801.025,high,226.2,119,2337.791,180.81,31630,28973,36723,0.8613130735506358,0.7889605969011246,1653,1352,1653,1352,156,143,156,143,943.9,4898.7,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01059,126.70914575385181,37.5049037169782,부평구,linked_school_majority,"['인천부곡초등학교', '인천부마초등학교', '인천마장초등학교', '인천미산초등학교']",4,1.0,0.216,0.0,801.025,high,142.2,245,1476.108,114.167,31630,28973,36723,0.8613130735506358,0.7889605969011246,1653,1352,1653,1352,98,90,98,90,1143.0,5097.8,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01060,126.70914575385181,37.507153716978195,부평구,linked_school_majority,"['인천부곡초등학교', '인천부마초등학교', '인천마장초등학교', '인천미산초등학교']",4,1.0,0.216,0.0,801.025,high,111.9,352,1155.621,89.378,31630,28973,36723,0.8613130735506358,0.7889605969011246,1653,1352,1653,1352,77,71,77,71,951.0,4905.8,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01244,126.72264575385184,37.5049037169782,부평구,linked_school_majority,"['인천부원초등학교', '인천개흥초등학교']",2,1.0,1.735,0.0,593.35,high,198.9,143,2254.393,159.57,31630,28973,36723,0.8613130735506358,0.7889605969011246,682,574,682,574,137,126,137,126,297.1,5094.9,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_00997,126.7046457538518,37.507153716978195,부평구,linked_school_majority,"['인천부마초등학교', '인천마장초등학교', '인천산곡초등학교']",3,1.0,0.0,0.0,804.6,high,123.3,304,916.44,98.6,31630,28973,36723,0.8613130735506358,0.7889605969011246,1417,1300,1417,1300,85,78,85,78,699.1,4898.4,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01093,126.71139575385182,37.507153716978195,부평구,linked_school_majority,"['인천부마초등학교', '인천마장초등학교', '인천미산초등학교']",3,1.0,0.0,0.0,928.033,high,321.6,47,3333.759,257.84,31630,28973,36723,0.8613130735506358,0.7889605969011246,1055,898,1055,898,222,203,222,203,1177.6,5132.4,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01455,126.73614575385186,37.48465371697823,부평구,linked_school_majority,"['인천부개초등학교', '인천동수초등학교']",2,2.0,0.903,0.0,421.35,medium,69.6,659,1009.143,83.465,31630,28973,36723,0.8613130735506358,0.7889605969011246,819,739,819,739,72,66,72,66,429.2,3293.4,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01371,126.73164575385185,37.48465371697823,부평구,linked_school_majority,"['인천부개초등학교', '인천동수초등학교']",2,2.0,0.903,0.0,421.35,medium,106.0,376,1555.389,127.307,31630,28973,36723,0.8613130735506358,0.7889605969011246,819,739,819,739,110,100,110,100,424.1,2853.8,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01454,126.73614575385186,37.48240371697823,부평구,linked_school_majority,"['인천부개초등학교', '인천동수초등학교']",2,2.0,0.903,0.0,421.35,medium,17.6,1282,304.17,21.305,31630,28973,36723,0.8613130735506358,0.7889605969011246,819,739,819,739,18,17,18,17,479.1,3503.7,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
