학교ID,학교명,gu,similarity_group,knn_k,similarity_features,selection_features,comparison_features,redev_status_simple,large_apt_flag,redev_none,redev_completed,redev_planned,large_apt_count_500m,large_apt_households_500m,current_students_2025,student_slope,recent_student_change_pct,trend_volatility,common_points,relative_strengths,relative_weaknesses,peer_avg_nearest_park_dist_m,peer_avg_iso_green_ratio,peer_avg_iso_playground_count,similar_school_1_id,similar_school_1_name,similar_school_1_gu,similar_school_1_distance,similar_school_1_nearest_park_dist_m,similar_school_1_iso_green_ratio,similar_school_1_iso_playground_count,similar_school_2_id,similar_school_2_name,similar_school_2_gu,similar_school_2_distance,similar_school_2_nearest_park_dist_m,similar_school_2_iso_green_ratio,similar_school_2_iso_playground_count,similar_school_3_id,similar_school_3_name,similar_school_3_gu,similar_school_3_distance,similar_school_3_nearest_park_dist_m,similar_school_3_iso_green_ratio,similar_school_3_iso_playground_count,similar_school_4_id,similar_school_4_name,similar_school_4_gu,similar_school_4_distance,similar_school_4_nearest_park_dist_m,similar_school_4_iso_green_ratio,similar_school_4_iso_playground_count,similar_school_5_id,similar_school_5_name,similar_school_5_gu,similar_school_5_distance,similar_school_5_nearest_park_dist_m,similar_school_5_iso_green_ratio,similar_school_5_iso_playground_count
B000003076,인천상아초등학교,남동구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",없음,1,1,0,0,4,12007,630,-55.857,-0.1334,26.803,"학교 주변 아동 규모는 208명으로, KNN 비교군 61~487명 범위와 비슷합니다 (평균 210명). | 현재 학생수는 630명으로, KNN 비교군 267~982명 범위에 가깝습니다 (평균 669명). | 학교 유형은 기존학교이며, KNN 비교군의 100%도 같은 유형입니다.",유사학교 평균 대비 두드러진 상대 강점이 크지 않습니다,유사학교 평균보다 최근접 공원 거리가 349.4m 더 멉니다 | 유사학교 평균보다 녹지 비율이 22.3%p 더 낮습니다,279.2,22.26,0.0,B000003039,인천백운초등학교,부평구,1.4675,303.2,88.18,0,B000003073,인천정각초등학교,남동구,1.9228,335.8,0.07,0,B000003093,인천석천초등학교,남동구,2.3066,180.0,0.0,0,B000003085,인천장도초등학교,남동구,2.5689,298.0,0.78,0,,,,,,,
B000003099,인천새말초등학교,남동구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",없음,1,1,0,0,4,6828,358,-30.857,-0.1072,10.052,"최근 1년 학생수 증감률은 -10.7%로, KNN 비교군 -14.8~-4.7% 범위와 유사합니다 (평균 -10.5%). | 현재 학생수는 358명으로, KNN 비교군 276~510명 범위에 가깝습니다 (평균 364명). | 재개발 상태는 '없음'이며, KNN 비교군의 100%도 같은 단계입니다.",유사학교 평균보다 최근접 공원 거리가 3.6m 더 가깝습니다,유사학교 평균보다 녹지 비율이 2.5%p 더 낮습니다,144.4,4.85,0.0,B000003015,인천구산초등학교,부평구,1.2747,105.0,6.01,0,B000003074,인천간석초등학교,남동구,1.3376,185.4,1.15,0,B000003016,인천부일초등학교,부평구,1.4516,0.0,4.69,0,B000003100,인천조동초등학교,남동구,1.5006,287.3,7.57,0,,,,,,,
B000003105,인천서창초등학교,남동구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",없음,1,1,0,0,5,2896,735,-94.686,-0.1373,23.295,"현재 학생수는 735명으로, KNN 비교군 474~1,019명 범위에 가깝습니다 (평균 735명). | 학교 주변 아동 규모는 448명으로, KNN 비교군 269~500명 범위와 비슷합니다 (평균 363명). | 재개발 상태는 '없음'이며, KNN 비교군의 100%도 같은 단계입니다.",유사학교 평균 대비 두드러진 상대 강점이 크지 않습니다,유사학교 평균보다 녹지 비율이 4.8%p 더 낮습니다 | 유사학교 평균보다 최근접 공원 거리가 8.9m 더 멉니다,270.0,7.79,0.0,B000003165,인천당하초등학교,서구,1.2209,169.4,3.57,0,B000025193,인천만월초등학교,남동구,1.2515,310.1,7.25,0,B000003046,인천굴포초등학교,부평구,1.2885,342.5,5.17,0,B000003024,인천갈월초등학교,부평구,1.2933,257.9,15.17,0,,,,,,,
B000003078,인천석정초등학교,남동구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",계획·진행,1,0,0,1,1,1050,793,-13.743,-0.0927,69.301,"최근 1년 학생수 증감률은 -9.3%로, KNN 비교군 -16.5~-2.8% 범위와 유사합니다 (평균 -8.6%). | 현재 학생수는 793명으로, KNN 비교군 454~902명 범위에 가깝습니다 (평균 710명). | 학교 유형은 기존학교이며, KNN 비교군의 100%도 같은 유형입니다.",유사학교 평균보다 도보권 놀이터 수가 1개 더 많습니다 | 유사학교 평균보다 최근접 공원 거리가 276.7m 더 가깝습니다,유사학교 평균보다 녹지 비율이 42.2%p 더 낮습니다,384.5,43.98,0.0,B000002982,인천석암초등학교,미추홀구,1.2129,947.1,0.0,0,B000003055,인천함박초등학교,연수구,1.3893,271.8,86.18,0,B000003090,인천약산초등학교,남동구,1.3958,319.0,11.19,0,B000025202,인천장아초등학교,남동구,1.648,0.0,78.57,0,,,,,,,
B000003093,인천석천초등학교,남동구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",계획·진행,1,0,0,1,3,9241,982,-7.2,-0.0814,52.06,"현재 학생수는 982명으로, KNN 비교군 478~1,582명 범위에 가깝습니다 (평균 966명). | 최근 1년 학생수 증감률은 -8.1%로, KNN 비교군 -13.3~-5.2% 범위와 유사합니다 (평균 -7.7%). | 학교 유형은 기존학교이며, KNN 비교군의 100%도 같은 유형입니다.",유사학교 평균보다 최근접 공원 거리가 101.7m 더 가깝습니다,유사학교 평균보다 녹지 비율이 22.1%p 더 낮습니다,281.7,22.11,0.0,B000025189,인천송명초등학교,연수구,2.1143,95.0,0.27,0,B000003039,인천백운초등학교,부평구,2.1352,303.2,88.18,0,B000025236,인천첨단초등학교,연수구,2.2688,100.0,0.0,0,B000003076,인천상아초등학교,남동구,2.3066,628.6,0.0,0,,,,,,,
B000003071,인천성리초등학교,남동구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",계획·진행,1,0,0,1,3,2307,557,-50.343,-0.1364,26.843,"최근 1년 학생수 증감률은 -13.6%로, KNN 비교군 -16.5~-10.3% 범위와 유사합니다 (평균 -13.4%). | 학교 주변 아동 규모는 571명으로, KNN 비교군 374~677명 범위와 비슷합니다 (평균 540명). | 학교 유형은 기존학교이며, KNN 비교군의 100%도 같은 유형입니다.",유사학교 평균보다 도보권 놀이터 수가 18개 더 많습니다 | 유사학교 평균보다 녹지 비율이 0.8%p 더 높습니다,유사학교 평균보다 최근접 공원 거리가 85.3m 더 멉니다,215.6,0.67,0.25,B000003080,인천동부초등학교,남동구,1.199,147.6,0.45,1,B000002989,인천주안남초등학교,미추홀구,1.3282,60.5,0.43,0,B000003020,인천일신초등학교,부평구,1.3799,218.4,1.51,0,B000003111,인천안남초등학교,계양구,1.4644,436.0,0.3,0,,,,,,,
B000003096,인천소래초등학교,남동구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",없음,1,1,0,0,7,6628,505,-1.4,-0.0251,29.904,"학교 주변 아동 규모는 257명으로, KNN 비교군 98~427명 범위와 비슷합니다 (평균 235명). | 현재 학생수는 505명으로, KNN 비교군 190~608명 범위에 가깝습니다 (평균 409명). | 재개발 상태는 '없음'이며, KNN 비교군의 100%도 같은 단계입니다.",유사학교 평균 대비 두드러진 상대 강점이 크지 않습니다,유사학교 평균보다 녹지 비율이 2.0%p 더 낮습니다 | 유사학교 평균보다 최근접 공원 거리가 41.8m 더 멉니다,300.9,4.05,0.0,B000003060,인천동막초등학교,연수구,1.2304,360.8,2.65,0,B000003116,인천길주초등학교,계양구,1.3101,69.6,4.99,0,B000003054,인천연화초등학교,연수구,1.3504,413.5,4.55,0,B000003011,인천갈산초등학교,부평구,1.352,359.8,4.01,0,,,,,,,
B000003092,인천송천초등학교,남동구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",없음,1,1,0,0,3,3756,320,-44.257,-0.1444,9.646,"500m 안 대단지 아파트는 3개로, KNN 비교군도 2~4개 범위에 몰려 있습니다 (세대수 평균 3,456세대). | 학교 주변 아동 규모는 381명으로, KNN 비교군 257~538명 범위와 비슷합니다 (평균 398명). | 재개발 상태는 '없음'이며, KNN 비교군의 100%도 같은 단계입니다.",유사학교 평균보다 녹지 비율이 68.1%p 더 높습니다 | 유사학교 평균보다 최근접 공원 거리가 416.7m 더 가깝습니다,유사학교 평균 대비 두드러진 상대 약점이 크지 않습니다,597.4,3.33,0.0,B000003100,인천조동초등학교,남동구,0.7191,287.3,7.57,0,B000003153,인천완정초등학교,서구,0.87,379.2,5.47,0,B000003111,인천안남초등학교,계양구,0.9212,436.0,0.3,0,B000003009,인천대정초등학교,부평구,0.9799,1287.1,0.0,0,,,,,,,
B000003094,인천신월초등학교,남동구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",계획·진행,0,0,0,1,0,0,223,-39.229,-0.1357,11.461,"500m 안 대단지 아파트는 0개로, KNN 비교군도 0~0개 범위에 몰려 있습니다 (세대수 평균 0세대). | 학생수 추세는 연간 -39.2명 수준으로, KNN 비교군 평균 -39.4명과 비슷한 학생 수가 줄어드는 흐름입니다. | 재개발 상태는 '계획·진행'이며, KNN 비교군의 100%도 같은 단계입니다.",유사학교 평균보다 녹지 비율이 3.3%p 더 높습니다,유사학교 평균보다 최근접 공원 거리가 63.5m 더 멉니다,184.8,1.37,0.0,B000003125,인천부평초등학교,계양구,0.4283,144.2,0.66,0,B000003040,인천동암초등학교,부평구,0.6252,152.1,1.14,0,B000002980,인천관교초등학교,미추홀구,0.9389,201.4,1.67,0,B000002979,인천문학초등학교,미추홀구,1.0481,241.4,2.01,0,,,,,,,
B000003090,인천약산초등학교,남동구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",계획·진행,0,0,0,1,0,0,587,-6.086,-0.0281,24.05,"500m 안 대단지 아파트는 0개로, KNN 비교군도 0~0개 범위에 몰려 있습니다 (세대수 평균 0세대). | 학생수 추세는 연간 -6.1명 수준으로, KNN 비교군 평균 -4.9명과 비슷한 학생 수가 줄어드는 흐름입니다. | 재개발 상태는 '계획·진행'이며, KNN 비교군의 100%도 같은 단계입니다.",유사학교 평균보다 녹지 비율이 10.4%p 더 높습니다 | 유사학교 평균보다 최근접 공원 거리가 178.7m 더 가깝습니다,유사학교 평균 대비 두드러진 상대 약점이 크지 않습니다,497.7,0.83,0.0,B000002979,인천문학초등학교,미추홀구,1.0039,241.4,2.01,0,B000002969,인천동명초등학교,동구,1.0577,650.3,0.15,0,B000003040,인천동암초등학교,부평구,1.1421,152.1,1.14,0,B000002982,인천석암초등학교,미추홀구,1.1557,947.1,0.0,0,,,,,,,
B000003087,인천원동초등학교,남동구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",없음,1,1,0,0,7,6990,850,-115.2,-0.1246,29.682,"500m 안 대단지 아파트는 7개로, KNN 비교군도 5~8개 범위에 몰려 있습니다 (세대수 평균 5,926세대). | 학교 주변 아동 규모는 229명으로, KNN 비교군 175~390명 범위와 비슷합니다 (평균 267명). | 재개발 상태는 '없음'이며, KNN 비교군의 100%도 같은 단계입니다.",유사학교 평균 대비 두드러진 상대 강점이 크지 않습니다,유사학교 평균보다 녹지 비율이 5.9%p 더 낮습니다 | 유사학교 평균보다 최근접 공원 거리가 32.9m 더 멉니다,225.8,7.07,0.0,B000003058,인천연성초등학교,연수구,1.183,238.2,8.88,0,B000003127,인천부현동초등학교,계양구,1.6678,285.4,7.18,0,B000025193,인천만월초등학교,남동구,1.7092,310.1,7.25,0,B000003116,인천길주초등학교,계양구,1.7132,69.6,4.99,0,,,,,,,
B000003084,인천은봉초등학교,남동구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",없음,1,1,0,0,2,1661,362,-24.429,-0.104,35.21,"500m 안 대단지 아파트는 2개로, KNN 비교군도 2~2개 범위에 몰려 있습니다 (세대수 평균 1,327세대). | 학생수 추세는 연간 -24.4명 수준으로, KNN 비교군 평균 -27.1명과 비슷한 학생 수가 줄어드는 흐름입니다. | 재개발 상태는 '없음'이며, KNN 비교군의 100%도 같은 단계입니다.",유사학교 평균보다 녹지 비율이 11.8%p 더 높습니다,유사학교 평균보다 도보권 놀이터 수가 1개 더 적습니다 | 유사학교 평균보다 최근접 공원 거리가 43.4m 더 멉니다,328.8,4.09,1.0,B000002957,인천공항초등학교,중구,0.555,49.8,5.77,4,B000003112,인천성지초등학교,계양구,0.5812,430.2,3.14,0,B000003128,인천작전초등학교,계양구,0.6854,420.7,5.0,0,B000003161,인천금곡초등학교,서구,0.7215,414.5,2.47,0,,,,,,,
B000003101,인천인동초등학교,남동구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",없음,1,1,0,0,3,3452,771,-69.886,-0.1189,29.87,"학교 주변 아동 규모는 736명으로, KNN 비교군 443~891명 범위와 비슷합니다 (평균 709명). | 500m 안 대단지 아파트는 3개로, KNN 비교군도 2~5개 범위에 몰려 있습니다 (세대수 평균 3,362세대). | 재개발 상태는 '없음'이며, KNN 비교군의 100%도 같은 단계입니다.",유사학교 평균보다 최근접 공원 거리가 98.7m 더 가깝습니다,유사학교 평균보다 도보권 놀이터 수가 1개 더 적습니다 | 유사학교 평균보다 녹지 비율이 22.3%p 더 낮습니다,314.6,23.05,1.0,B000025752,인천도담초등학교,서구,1.0102,215.1,10.13,0,B000003051,인천능허대초등학교,연수구,1.1229,204.8,0.94,2,B000003064,인천옥련초등학교,연수구,1.2883,242.4,0.57,2,B000022839,인천청일초등학교,서구,1.5709,596.1,80.55,0,,,,,,,
B000003081,인천인수초등학교,남동구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",없음,1,1,0,0,2,2580,252,-21.086,-0.1544,21.433,"500m 안 대단지 아파트는 2개로, KNN 비교군도 2~2개 범위에 몰려 있습니다 (세대수 평균 1,838세대). | 학교 주변 아동 규모는 136명으로, KNN 비교군 61~189명 범위와 비슷합니다 (평균 124명). | 재개발 상태는 '없음'이며, KNN 비교군의 100%도 같은 단계입니다.",유사학교 평균보다 도보권 놀이터 수가 2개 더 많습니다 | 유사학교 평균보다 최근접 공원 거리가 18.5m 더 가깝습니다,유사학교 평균보다 녹지 비율이 3.3%p 더 낮습니다,347.0,5.82,0.0,B000003141,인천양지초등학교,서구,0.4787,230.3,11.87,0,B000003171,인천검암초등학교,서구,0.6555,150.6,5.69,0,B000003102,인천장수초등학교,남동구,0.6874,592.8,3.27,0,B000003161,인천금곡초등학교,서구,0.6926,414.5,2.47,0,,,,,,,
B000003085,인천장도초등학교,남동구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",없음,1,1,0,0,6,6689,267,-24.257,-0.1682,23.44,"학교 주변 아동 규모는 149명으로, KNN 비교군 51~240명 범위와 비슷합니다 (평균 128명). | 현재 학생수는 267명으로, KNN 비교군 190~384명 범위에 가깝습니다 (평균 304명). | 재개발 상태는 '없음'이며, KNN 비교군의 100%도 같은 단계입니다.",유사학교 평균 대비 두드러진 상대 강점이 크지 않습니다,유사학교 평균보다 녹지 비율이 2.2%p 더 낮습니다 | 유사학교 평균보다 최근접 공원 거리가 19.2m 더 멉니다,278.8,2.97,0.0,B000003062,인천연수초등학교,연수구,0.7217,373.0,0.0,0,B000003103,인천담방초등학교,남동구,0.8638,21.6,5.21,0,B000003011,인천갈산초등학교,부평구,0.9344,359.8,4.01,0,B000003060,인천동막초등학교,연수구,0.9868,360.8,2.65,0,,,,,,,
B000025196,인천장서초등학교,남동구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",없음,1,1,0,0,7,7142,1358,25.8,-0.0628,99.102,"학교 주변 아동 규모는 195명으로, KNN 비교군 109~559명 범위와 비슷합니다 (평균 355명). | 현재 학생수는 1,358명으로, KNN 비교군 1,251~1,582명 범위에 가깝습니다 (평균 1,493명). | 재개발 상태는 '없음'이며, KNN 비교군의 100%도 같은 단계입니다.",유사학교 평균보다 최근접 공원 거리가 300.6m 더 가깝습니다,유사학교 평균보다 도보권 놀이터 수가 1개 더 적습니다 | 유사학교 평균보다 녹지 비율이 17.4%p 더 낮습니다,300.6,24.41,0.5,B000002959,인천영종초등학교,중구,1.5263,235.0,1.72,1,B000027505,인천중산초등학교,중구,1.7996,55.7,95.92,1,B000026333,인천가원초등학교,서구,1.8811,811.7,0.0,0,B000025236,인천첨단초등학교,연수구,1.9863,100.0,0.0,0,,,,,,,
B000003102,인천장수초등학교,남동구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",없음,1,1,0,0,2,2906,103,-24.057,-0.189,7.277,"학생수 추세는 연간 -24.1명 수준으로, KNN 비교군 평균 -25.4명과 비슷한 학생 수가 줄어드는 흐름입니다. | 학교 주변 아동 규모는 61명으로, KNN 비교군 18~136명 범위와 비슷합니다 (평균 66명). | 재개발 상태는 '없음'이며, KNN 비교군의 100%도 같은 단계입니다.",유사학교 평균 대비 두드러진 상대 강점이 크지 않습니다,유사학교 평균보다 최근접 공원 거리가 278.8m 더 멉니다 | 유사학교 평균보다 도보권 놀이터 수가 1개 더 적습니다,313.9,5.56,0.5,B000003081,인천인수초등학교,남동구,0.6874,328.5,2.53,2,B000003141,인천양지초등학교,서구,0.8302,230.3,11.87,0,B000002955,인천연안초등학교,중구,1.0198,416.6,0.0,0,B000003083,인천도림초등학교,남동구,1.0337,280.4,7.86,0,,,,,,,
B000025202,인천장아초등학교,남동구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",없음,1,1,0,0,1,835,896,5.114,-0.1102,70.571,"500m 안 대단지 아파트는 1개로, KNN 비교군도 0~2개 범위에 몰려 있습니다 (세대수 평균 1,302세대). | 현재 학생수는 896명으로, KNN 비교군 680~996명 범위에 가깝습니다 (평균 849명). | 재개발 상태는 '없음'이며, KNN 비교군의 100%도 같은 단계입니다.",유사학교 평균보다 녹지 비율이 70.9%p 더 높습니다 | 유사학교 평균보다 최근접 공원 거리가 266.4m 더 가깝습니다,유사학교 평균 대비 두드러진 상대 약점이 크지 않습니다,266.4,7.65,0.0,B000026504,인천송담초등학교,연수구,0.9642,59.0,20.73,0,B000003152,인천검단초등학교,서구,1.2921,544.3,0.1,0,B000026332,인천백석초등학교,서구,1.2964,159.3,7.64,0,B000003137,인천간재울초등학교,서구,1.3298,303.1,2.11,0,,,,,,,
B000003073,인천정각초등학교,남동구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",없음,1,1,0,0,3,9575,950,-83.2,-0.1113,34.322,"최근 1년 학생수 증감률은 -11.1%로, KNN 비교군 -15.2~-8.0% 범위와 유사합니다 (평균 -12.1%). | 학생수 추세는 연간 -83.2명 수준으로, KNN 비교군 평균 -69.2명과 비슷한 학생 수가 줄어드는 흐름입니다. | 재개발 상태는 '없음'이며, KNN 비교군의 100%도 같은 단계입니다.",유사학교 평균 대비 두드러진 상대 강점이 크지 않습니다,유사학교 평균보다 녹지 비율이 2.3%p 더 낮습니다 | 유사학교 평균보다 최근접 공원 거리가 42.0m 더 멉니다,293.8,2.4,0.0,B000003076,인천상아초등학교,남동구,1.9228,628.6,0.0,0,B000003086,인천동방초등학교,남동구,2.1293,34.6,0.87,0,B000003046,인천굴포초등학교,부평구,2.1622,342.5,5.17,0,B000003165,인천당하초등학교,서구,2.2878,169.4,3.57,0,,,,,,,
B000003100,인천조동초등학교,남동구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",없음,1,1,0,0,4,4822,387,-57.257,-0.1476,14.555,"500m 안 대단지 아파트는 4개로, KNN 비교군도 3~5개 범위에 몰려 있습니다 (세대수 평균 4,954세대). | 현재 학생수는 387명으로, KNN 비교군 276~511명 범위에 가깝습니다 (평균 349명). | 재개발 상태는 '없음'이며, KNN 비교군의 100%도 같은 단계입니다.",유사학교 평균 대비 두드러진 상대 강점이 크지 않습니다,유사학교 평균보다 최근접 공원 거리가 160.7m 더 멉니다 | 유사학교 평균보다 도보권 놀이터 수가 1개 더 적습니다,126.6,19.45,0.25,B000003117,인천병방초등학교,계양구,0.6771,291.1,0.75,0,B000003092,인천송천초등학교,남동구,0.7191,180.7,71.48,1,B000003086,인천동방초등학교,남동구,0.7811,34.6,0.87,0,B000003016,인천부일초등학교,부평구,0.9145,0.0,4.69,0,,,,,,,
