grid_id,cx,cy,linked_school_count,forecast_2029_x,forecast_2031_x,worst_case_type,avg_green_ratio,avg_playground_count,avg_park_dist_m,land_feasibility_level,priority_score,candidate_rank,xgb_predicted_2029_x,xgb_predicted_2031_x,forecast_2029_y,forecast_2031_y,xgb_predicted_2029_y,xgb_predicted_2031_y,original_forecast_2029,original_forecast_2031,original_xgb_predicted_2029,original_xgb_predicted_2031,forecast_2029,forecast_2031,xgb_predicted_2029,xgb_predicted_2031,nearest_park_dist,nearest_pg_dist,linked_schools
CG_01025,126.7068957538518,37.5071537169782,4,1483,1518,1.0,0.0,0.0,889.2,high,2245.5,12,474,271,1559,1402,1559,1402,,,,,1559,1402,1559,1402,916.1,5122.8,"['인천부마초등학교', '인천마장초등학교', '인천미산초등학교', '인천산곡초등학교']"
CG_01092,126.71139575385182,37.5049037169782,4,1459,1478,1.0,0.216,0.0,801.025,high,2199.9,13,525,336,1653,1352,1653,1352,,,,,1653,1352,1653,1352,943.9,4898.7,"['인천부곡초등학교', '인천부마초등학교', '인천마장초등학교', '인천미산초등학교']"
CG_01059,126.7091457538518,37.5049037169782,4,1459,1478,1.0,0.216,0.0,801.025,high,2199.9,14,519,351,1653,1352,1653,1352,,,,,1653,1352,1653,1352,1143.0,5097.8,"['인천부곡초등학교', '인천부마초등학교', '인천마장초등학교', '인천미산초등학교']"
CG_01060,126.7091457538518,37.5071537169782,4,1459,1478,1.0,0.216,0.0,801.025,high,2199.9,15,554,310,1653,1352,1653,1352,,,,,1653,1352,1653,1352,951.0,4905.8,"['인천부곡초등학교', '인천부마초등학교', '인천마장초등학교', '인천미산초등학교']"
CG_01244,126.72264575385184,37.5049037169782,2,1403,1501,1.0,1.735,0.0,593.35,high,2163.3,16,427,590,682,574,682,574,,,,,682,574,682,574,297.1,5094.9,"['인천부원초등학교', '인천개흥초등학교']"
CG_00997,126.7046457538518,37.5071537169782,3,1297,1337,1.0,0.0,0.0,804.6,high,1969.5,17,355,281,1417,1300,1417,1300,,,,,1417,1300,1417,1300,699.1,4898.4,"['인천부마초등학교', '인천마장초등학교', '인천산곡초등학교']"
CG_01093,126.71139575385182,37.5071537169782,3,1300,1323,1.0,0.0,0.0,928.033,high,1963.8,18,571,228,1055,898,1055,898,,,,,1055,898,1055,898,1177.6,5132.4,"['인천부마초등학교', '인천마장초등학교', '인천미산초등학교']"
CG_01455,126.73614575385186,37.48465371697823,2,1879,2012,2.0,0.903,0.0,421.35,medium,1932.2,19,829,754,819,739,819,739,,,,,819,739,819,739,429.2,3293.4,"['인천부개초등학교', '인천동수초등학교']"
CG_01371,126.73164575385184,37.48465371697823,2,1879,2012,2.0,0.903,0.0,421.35,medium,1932.2,20,833,779,819,739,819,739,,,,,819,739,819,739,424.1,2853.8,"['인천부개초등학교', '인천동수초등학교']"
CG_01454,126.73614575385186,37.48240371697823,2,1879,2012,2.0,0.903,0.0,421.35,medium,1932.2,21,615,556,819,739,819,739,,,,,819,739,819,739,479.1,3503.7,"['인천부개초등학교', '인천동수초등학교']"
CG_01415,126.73389575385184,37.48690371697823,2,1879,2012,2.0,0.903,0.0,421.35,medium,1932.2,22,854,831,819,739,819,739,,,,,819,739,819,739,719.0,3155.0,"['인천부개초등학교', '인천동수초등학교']"
CG_01414,126.73389575385184,37.48465371697823,2,1879,2012,2.0,0.903,0.0,421.35,medium,1932.2,23,833,780,819,739,819,739,,,,,819,739,819,739,559.9,2989.5,"['인천부개초등학교', '인천동수초등학교']"
CG_01024,126.7068957538518,37.5049037169782,3,1273,1297,1.0,0.288,0.0,687.033,high,1923.9,24,399,281,1511,1250,1511,1250,,,,,1511,1250,1511,1250,779.6,4734.4,"['인천부곡초등학교', '인천부마초등학교', '인천마장초등학교']"
CG_01336,126.72939575385185,37.49815371697821,2,1819,1865,2.0,0.701,0.0,285.55,medium,1837.4,25,1095,985,1744,1667,1744,1667,,,,,1744,1667,1744,1667,408.4,4058.8,"['인천부흥초등학교', '인천부평동초등학교']"
CG_01299,126.72714575385184,37.493653716978216,2,1819,1865,2.0,0.558,0.0,233.05,medium,1837.4,26,873,866,1551,1486,1551,1486,,,,,1551,1486,1551,1486,469.0,3587.5,"['인천부흥초등학교', '인천부평서초등학교']"
CG_01170,126.71814575385184,37.45990371697827,3,1817,1769,2.0,0.732,0.0,245.7,medium,1797.8,27,463,228,1411,995,1411,995,,,,,1411,995,1411,995,136.0,768.1,"['인천간석초등학교', '인천인동초등학교', '인천정각초등학교']"
CG_01303,126.72714575385184,37.5026537169782,2,1687,1723,2.0,2.024,0.0,421.75,medium,1701.4,28,686,636,976,881,976,881,,,,,976,881,976,881,378.7,4735.5,"['인천개흥초등학교', '인천부평동초등학교']"
CG_00335,126.65289575385172,37.42615371697832,4,1715,1678,2.0,0.757,1.0,300.625,medium,1700.2,29,523,469,1478,1228,1478,1228,,,,,1478,1228,1478,1228,205.3,629.9,"['인천옥련초등학교', '인천능허대초등학교', '인천축현초등학교', '인천송도초등학교']"
CG_00998,126.7046457538518,37.50940371697819,3,1113,1157,1.0,0.387,0.0,642.0,high,1695.9,30,406,352,1554,1518,1554,1518,,,,,1554,1518,1554,1518,644.5,5094.6,"['인천부마초등학교', '인천산곡초등학교', '인천산곡북초등학교']"
