구명,구역명,위치,면적,사업유형,진행단계,출처,위도,경도
부평구,하하골마을,부평동 767-23 일원,45363.0,주거환경개선(현지개량),착공,도시정비,37.4861004173433,126.712926773218
부평구,동암중서측,십정동 499-1번지 일원,38942.0,정비구역지정(후보지 1차),정비구역지정(후보지 1차),도시정비,37.4733922608715,126.704590643734
부평구,동소정사거리북동측,부평동 614번지 일원,52490.0,정비구역지정(후보지 2차),정비구역지정(후보지 2차),도시정비,37.4887941279133,126.731105627005
부평구,동수초북측,부평동 623-1번지 일원,67599.0,정비구역지정(후보지 2차),정비구역지정(후보지 2차),도시정비,37.4864493295348,126.731175201692
부평구,부광초교서측,부개동 65-1번지 일원,80347.0,정비구역지정(후보지 2차),정비구역지정(후보지 2차),도시정비,37.4994344476624,126.735494776419
부평구,부평아울렛남측,청천동 16-8번지 일원,42385.0,정비구역지정(후보지 2차),정비구역지정(후보지 2차),도시정비,37.5179655770205,126.7033462967
부평구,부흥초동측,부평동 156-1번지 일원,118943.0,정비구역지정(후보지 2차),정비구역지정(후보지 2차),도시정비,37.4972667914062,126.733321235094
부평구,신트리공원남측,부평동 886-19번지 일원,31104.0,정비구역지정(후보지 2차),정비구역지정(후보지 2차),도시정비,37.5052095061801,126.723681763061
부평구,십정초주변,십정동 355-1번지 일원,205088.0,정비구역지정(후보지 2차),정비구역지정(후보지 2차),도시정비,37.4723608251834,126.695518679791
부평구,하정초동측(십정6),십정동 397번지 일원,80723.0,정비구역지정(후보지 2차),정비구역지정(후보지 2차),도시정비,37.4740923013765,126.700174070558
계양구,계양1,작전동 765번지 일원,122432.5,재개발,착공,도시정비,,
계양구,작전현대A,작전동 439-7번지 일원,64004.9,재개발,착공,도시정비,37.5282157509364,126.719818996408
계양구,작전우영A,작전동 869-17번지 일원,11007.5,재건축,사업시행계획인가,도시정비,37.5289745708005,126.725768198703
계양구,효성뉴서울A,효성동 99-11번지,17713.0,재건축,조합설립인가,도시정비,37.5365357261345,126.709590278542
계양구,효성새사미A,효성동 623-16번지,15034.0,재건축,조합설립인가,도시정비,37.5277035272939,126.697958110514
계양구,작전구역,작전동 646번지 일원,43930.0,주거환경개선(현지개량),착공,도시정비,37.5278363353824,126.73432034073
계양구,계산역남측,계산동 951-6번지 일원,27597.0,정비구역지정(후보지 1차),정비구역지정(후보지 1차),도시정비,37.5420734258931,126.726802987729
계양구,효성,효성동 273-1번지 일원,23316.0,정비구역지정(후보지 1차),정비구역지정(후보지 1차),도시정비,37.5266581799804,126.711099710137
계양구,계산역북측,계산동 925-19번지 일원,92146.0,정비구역지정(후보지 2차),정비구역지정(후보지 2차),도시정비,37.5454404710201,126.725529555997
계양구,임학역서측,임학동 47번지 일원,247803.0,정비구역지정(후보지 2차),정비구역지정(후보지 2차),도시정비,37.546381979747,126.732225588589
계양구,작전동870번지일원,작전동 870번지 일원,40069.0,정비구역지정(후보지 2차),정비구역지정(후보지 2차),도시정비,37.5297435023547,126.726475753097
