관리번호,공원명,공원구분,위도,경도,공원면적,gu,nearest_school,nearest_school_dist_m
28245-00009,오조산공원,근린공원,37.540075,126.738621,18314.4,계양구,인천길주초등학교,422.61
28245-00005,하야공원,소공원,37.583303,126.78108,359.3,계양구,인천계양초등학교상야분교장,457.04
28245-00004,살나리공원,소공원,37.537913,126.745137,669.0,계양구,인천신대초등학교,179.8
28245-00003,용종5공원,소공원,37.5429066687,126.7428221178,360.3,계양구,인천길주초등학교,98.7
28245-00002,동양공원,소공원,37.561633,126.757908,837.6,계양구,인천당산초등학교,356.05
28245-00001,하마리공원,소공원,37.529764,126.729214,291.0,계양구,인천화전초등학교,251.88
28245-00033,안골공원,어린이공원,37.569792,126.746641,2089.8,계양구,인천귤현초등학교,141.94
28245-00032,샘터공원,어린이공원,37.567828,126.74514,1599.9,계양구,인천귤현초등학교,183.49
28245-00031,계산4공원,어린이공원,37.537914,126.733553,2143.4,계양구,인천부현초등학교,215.29
28245-00030,개나리공원,어린이공원,37.538514,126.732612,625.7,계양구,인천부현초등학교,241.99
28245-00029,도두리공원,어린이공원,37.53136,126.738459,3000.2,계양구,인천작동초등학교,319.95
28245-00028,은행공원,어린이공원,37.537515,126.739268,2500.6,계양구,인천부현동초등학교,343.53
28245-00027,초정공원,어린이공원,37.540964,126.741689,2368.1,계양구,인천길주초등학교,149.12
28245-00026,학마을공원,어린이공원,37.544163,126.74203,6634.0,계양구,인천길주초등학교,245.76
28245-00025,임학공원,어린이공원,37.548389,126.733413,8339.9,계양구,인천안산초등학교,498.85
28245-00024,병방공원,어린이공원,37.54814,126.738034,1667.5,계양구,인천병방초등학교,259.94
28245-00023,방축공원,어린이공원,37.550528,126.740316,1810.0,계양구,인천양촌초등학교,358.62
28245-00022,고향골공원,어린이공원,37.540569,126.719511,1485.4,계양구,인천해서초등학교,165.42
28245-00021,낙원공원,어린이공원,37.546462,126.737528,900.8,계양구,인천병방초등학교,246.97
28245-00020,안남공원,어린이공원,37.54123,126.727323,1449.2,계양구,인천부평초등학교,395.58
28245-00019,부일공원,어린이공원,37.544808,126.723221,1171.3,계양구,인천부평초등학교,299.51
28245-00018,작전공원,어린이공원,37.525675,126.725359,9427.1,계양구,인천성지초등학교,476.54
28245-00017,효성공원,어린이공원,37.526738,126.715671,10877.0,계양구,인천효성남초등학교,159.7
28245-00016,갈개공원,근린공원,37.535545,126.720468,7437.0,계양구,인천효성동초등학교,510.2
28245-00037,동산공원,어린이공원,37.579498,126.730646,4845.9,계양구,인천계양초등학교,267.01
