grid_id,cx,cy,linked_schools,linked_school_count,forecast_2029,forecast_2031,worst_case_type,avg_green_ratio,avg_playground_count,avg_park_dist_m,land_feasibility_level,priority_score,candidate_rank,xgb_predicted_2029,xgb_predicted_2031
CG_00795,126.72067830000049,37.49837889999981,"['인천부원초등학교', '인천부평동초등학교', '인천부평서초등학교']",3,3287,3290,1.0,0.232,0.0,488.4,high,4932.3,1,1060,884
CG_00815,126.72292830000049,37.49837889999981,"['인천부원초등학교', '인천부평동초등학교', '인천부평서초등학교']",3,3287,3290,1.0,0.232,0.0,488.4,high,4932.3,2,1076,1000
CG_00850,126.7274283000005,37.49612889999981,"['인천부흥초등학교', '인천부평동초등학교', '인천부평서초등학교']",3,3969,4022,2.0,0.44,0.0,291.7,medium,3990.2,3,1218,1038
CG_00408,126.6689283000004,37.518628899999776,"['인천신현초등학교', '인천가현초등학교', '인천신현북초등학교']",3,2581,2545,1.0,0.0,0.333,351.367,high,3849.9,4,602,627
CG_00382,126.6666783000004,37.518628899999776,"['인천신현초등학교', '인천가현초등학교', '인천신현북초등학교']",3,2581,2545,1.0,0.0,0.333,351.367,high,3849.9,5,621,630
CG_00682,126.70717830000046,37.50737889999979,"['인천부마초등학교', '인천마장초등학교', '인천미산초등학교']",3,2202,2233,1.0,0.0,0.0,928.033,high,3321.6,6,439,204
CG_00681,126.70717830000046,37.5051288999998,"['인천부마초등학교', '인천마장초등학교', '인천미산초등학교']",3,2202,2233,1.0,0.0,0.0,928.033,high,3321.6,7,383,245
CG_00702,126.70942830000047,37.50737889999979,"['인천부마초등학교', '인천마장초등학교', '인천미산초등학교']",3,2202,2233,1.0,0.0,0.0,928.033,high,3321.6,8,569,246
CG_00701,126.70942830000047,37.5051288999998,"['인천부마초등학교', '인천마장초등학교', '인천미산초등학교']",3,2202,2233,1.0,0.0,0.0,928.033,high,3321.6,9,513,287
CG_00668,126.70492830000046,37.50737889999979,"['인천부마초등학교', '인천마장초등학교', '인천산곡초등학교']",3,2066,2139,1.0,0.0,0.0,613.7,high,3142.8,10,339,258
CG_00667,126.70492830000046,37.5051288999998,"['인천부마초등학교', '인천마장초등학교', '인천산곡초등학교']",3,2066,2139,1.0,0.0,0.0,613.7,high,3142.8,11,304,299
CG_00837,126.7251783000005,37.5028788999998,"['인천부원초등학교', '인천부평동초등학교']",2,2080,2114,1.0,0.222,0.0,580.6,high,3140.4,12,906,750
CG_00817,126.72292830000049,37.5028788999998,"['인천부원초등학교', '인천부평동초등학교']",2,2080,2114,1.0,0.222,0.0,580.6,high,3140.4,13,902,745
CG_00796,126.72067830000049,37.5006288999998,"['인천부원초등학교', '인천부평동초등학교']",2,2080,2114,1.0,0.222,0.0,580.6,high,3140.4,14,883,709
CG_00816,126.72292830000049,37.5006288999998,"['인천부원초등학교', '인천부평동초등학교']",2,2080,2114,1.0,0.222,0.0,580.6,high,3140.4,15,902,745
CG_00836,126.7251783000005,37.5006288999998,"['인천부원초등학교', '인천부평동초등학교']",2,2080,2114,1.0,0.222,0.0,580.6,high,3140.4,16,907,750
CG_00380,126.6666783000004,37.51412889999978,"['인천신현초등학교', '인천신석초등학교', '인천신현북초등학교']",3,1972,1963,1.0,0.0,0.0,492.967,high,2952.6,17,501,685
CG_00873,126.7296783000005,37.5006288999998,"['인천부흥초등학교', '인천부평동초등학교']",2,2762,2846,2.0,0.535,0.0,285.55,medium,2795.6,18,961,824
CG_00851,126.7274283000005,37.49837889999981,"['인천부흥초등학교', '인천부평동초등학교']",2,2762,2846,2.0,0.535,0.0,285.55,medium,2795.6,19,1225,1056
CG_00852,126.7274283000005,37.5006288999998,"['인천부흥초등학교', '인천부평동초등학교']",2,2762,2846,2.0,0.535,0.0,285.55,medium,2795.6,20,992,848
CG_00849,126.7274283000005,37.493878899999814,"['인천부흥초등학교', '인천부평서초등학교']",2,2762,2846,2.0,0.439,0.0,233.05,medium,2795.6,21,999,920
CG_00872,126.7296783000005,37.49837889999981,"['인천부흥초등학교', '인천부평동초등학교']",2,2762,2846,2.0,0.535,0.0,285.55,medium,2795.6,22,1194,1039
CG_00195,126.64192830000036,37.473628899999845,"['인천서림초등학교', '인천창영초등학교', '인천동명초등학교', '영화초등학교']",4,1770,1820,1.0,0.163,0.0,377.125,high,2685.0,23,182,140
CG_00194,126.64192830000036,37.47137889999985,"['인천서림초등학교', '인천창영초등학교', '인천동명초등학교', '영화초등학교']",4,1770,1820,1.0,0.163,0.0,377.125,high,2685.0,24,182,140
CG_00208,126.64417830000036,37.47137889999985,"['인천서림초등학교', '인천창영초등학교', '인천동명초등학교', '영화초등학교']",4,1770,1820,1.0,0.163,0.0,377.125,high,2685.0,25,180,134
CG_00435,126.6711783000004,37.51637889999978,"['인천신현초등학교', '인천신현북초등학교']",2,1684,1671,1.0,0.0,0.0,407.05,high,2518.2,26,518,665
CG_00356,126.6644283000004,37.51637889999978,"['인천신현초등학교', '인천신현북초등학교']",2,1684,1671,1.0,0.0,0.0,407.05,high,2518.2,27,531,676
CG_00407,126.6689283000004,37.51637889999978,"['인천신현초등학교', '인천신현북초등학교']",2,1684,1671,1.0,0.0,0.0,407.05,high,2518.2,28,522,680
CG_00436,126.6711783000004,37.518628899999776,"['인천신현초등학교', '인천신현북초등학교']",2,1684,1671,1.0,0.0,0.0,407.05,high,2518.2,29,564,665
CG_00406,126.6689283000004,37.51412889999978,"['인천신현초등학교', '인천신현북초등학교']",2,1684,1671,1.0,0.0,0.0,407.05,high,2518.2,30,490,681
CG_00381,126.6666783000004,37.51637889999978,"['인천신현초등학교', '인천신현북초등학교']",2,1684,1671,1.0,0.0,0.0,407.05,high,2518.2,31,531,672
CG_00920,126.73417830000051,37.532128899999755,"['인천화전초등학교', '인천작동초등학교', '인천부현초등학교']",3,2464,2478,2.0,0.222,0.0,388.0,medium,2469.6,32,430,240
