candidate_id,excluded_by_school,exclude_reason,matched_inst_name,matched_inst_type,matched_distance_m,polygon_used,radius_rule_applied
CG_00554,False,,,,,False,
CG_01476,False,,,,,False,
CG_01509,False,,,,,False,
CG_01477,True,inside_polygon,인천안남초등학교,학교,0.0,True,
CG_01410,False,,,,,False,
CG_01452,False,,,,,False,
CG_01453,False,,,,,False,
CG_00566,False,,,,,False,
CG_00613,False,,,,,False,
CG_00936,False,,,,,False,
CG_00968,False,,,,,False,
CG_01006,False,,,,,False,
CG_00064,False,,,,,False,
CG_00071,False,,,,,False,
CG_01168,False,,,,,False,
CG_01223,False,,,,,False,
CG_01196,True,inside_polygon,명현중학교,학교,0.0,True,
CG_01197,False,,,,,False,
CG_01129,False,,,,,False,
CG_00599,False,,,,,False,
CG_00551,False,,,,,False,
CG_00550,False,,,,,False,
CG_00643,False,,,,,False,
CG_00601,True,inside_polygon,인주초등학교,학교,0.0,True,
CG_00642,False,,,,,False,
CG_00600,False,,,,,False,
CG_01175,False,,,,,False,
CG_01176,True,inside_polygon,인천이음중학교,학교,0.0,True,
CG_01527,False,,,,,False,
CG_01529,False,,,,,False,
CG_00334,False,,,,,False,
CG_00685,False,,,,,False,
CG_00684,False,,,,,False,
CG_00161,False,,,,,False,
CG_01295,False,,,,,False,
CG_01258,False,,,,,False,
CG_01257,False,,,,,False,
CG_01296,False,,,,,False,
CG_01259,False,,,,,False,
CG_01256,False,,,,,False,
CG_01400,False,,,,,False,
CG_01263,False,,,,,False,
CG_01264,False,,,,,False,
CG_01435,True,inside_polygon,작전여자고등학교,학교,0.0,True,
CG_01478,False,,,,,False,
CG_01440,False,,,,,False,
CG_01511,False,,,,,False,
CG_01300,False,,,,,False,
CG_01262,False,,,,,False,
CG_01299,False,,,,,False,
CG_01219,False,,,,,False,
CG_01220,False,,,,,False,
CG_01261,False,,,,,False,
CG_00804,False,,,,,False,
CG_00805,False,,,,,False,
CG_00803,False,,,,,False,
CG_00829,False,,,,,False,
CG_00828,True,inside_polygon,석암초등학교,학교,0.0,True,
CG_00806,False,,,,,False,
CG_00843,False,,,,,False,
CG_00773,False,,,,,False,
CG_00774,False,,,,,False,
CG_00827,False,,,,,False,
CG_00826,False,,,,,False,
CG_00844,False,,,,,False,
CG_00845,False,,,,,False,
CG_00152,True,inside_polygon,국제학교,학교,0.0,True,
CG_00507,False,,,,,False,
CG_00201,False,,,,,False,
CG_01475,True,within_point_radius,인천부현초등학교,초등학교,30.5,False,50m_school
CG_01436,False,,,,,False,
CG_01437,False,,,,,False,
CG_01398,False,,,,,False,
CG_00572,False,,,,,False,
CG_00521,False,,,,,False,
CG_00571,False,,,,,False,
CG_00618,False,,,,,False,
CG_00616,False,,,,,False,
CG_00617,False,,,,,False,
CG_00664,False,,,,,False,
CG_01413,False,,,,,False,
CG_01414,False,,,,,False,
CG_01346,False,,,,,False,
CG_01378,True,inside_polygon,인천동부초등학교,학교,0.0,True,
CG_01379,False,,,,,False,
CG_01380,False,,,,,False,
CG_01320,False,,,,,False,
CG_01321,False,,,,,False,
CG_01350,False,,,,,False,
CG_01349,False,,,,,False,
CG_01255,False,,,,,False,
CG_01254,False,,,,,False,
CG_01291,False,,,,,False,
CG_01290,False,,,,,False,
CG_01080,False,,,,,False,
CG_01077,True,inside_polygon,인천부곡초등학교,학교,0.0,True,
CG_01120,False,,,,,False,
CG_01123,False,,,,,False,
CG_01164,False,,,,,False,
CG_01192,False,,,,,False,
CG_01130,False,,,,,False,
CG_01085,False,,,,,False,
CG_01552,False,,,,,False,
CG_00934,False,,,,,False,
CG_00901,False,,,,,False,
CG_00903,False,,,,,False,
CG_00967,False,,,,,False,
CG_00966,False,,,,,False,
CG_00859,False,,,,,False,
CG_00858,False,,,,,False,
CG_00879,False,,,,,False,
CG_00902,False,,,,,False,
CG_00881,False,,,,,False,
CG_00880,False,,,,,False,
CG_00997,False,,,,,False,
CG_00935,False,,,,,False,
CG_01304,False,,,,,False,
CG_01303,False,,,,,False,
CG_01268,False,,,,,False,
