학교ID,학교명,nearest_park_name,nearest_park_dist_m
B000002975,인천용현남초등학교,미추홀_학익,992.7
B000003114,인천서운초등학교,도두머리공원,323.5
B000003054,인천연화초등학교,샘말공원,413.5
B000002955,인천연안초등학교,비취맨션3단지아파트10동앞놀이터,416.6
B000002965,인천창영초등학교,창영공원,43.4
B000003027,인천부원초등학교,신트리공원,752.2
B000003099,인천새말초등학교,향촌소공원,140.8
B000002960,인성초등학교,인천 중부경찰서 직장어린이집 도담놀이터,182.1
B000003044,인천삼산초등학교,사랑샘공원,337.0
B000003015,인천구산초등학교,부개공원,105.0
B000002950,인천신광초등학교,한별프라이빌 놀이터,61.3
B000002976,인천학산초등학교,모리포공원,74.1
B000003092,인천송천초등학교,고잔,180.7
B000002986,인천대화초등학교,쑥골공원,254.6
B000002992,인천연학초등학교,물방울어린이공원,121.4
B000003123,인천계산초등학교,고향골어린이공원,444.0
B000002987,인천주안북초등학교,염창공원,279.4
B000003144,인천석남초등학교,석곶체육공원,444.0
B000003168,인천가현초등학교,수차공원,240.0
B000003142,인천심곡초등학교,절골공원,163.0
B000002996,덕적초등학교,파라다이스시티 호텔 내 어린이놀이시설물,12865.0
B000003025,인천부개초등학교,마분놀이공원,305.9
B000003103,인천담방초등학교,골마루공원,21.6
B000003088,인천사리울초등학교,해오름공원,404.2
B000002957,인천공항초등학교,금호베스트빌 2차아파트 놀이터(202동 옆),49.8
B000003075,인천구월서초등학교,수봉,45.2
B000002964,인천송현초등학교,화수13공원,182.0
B000003051,인천능허대초등학교,새싹공원,204.8
B000003035,인천산곡남초등학교,마장공원,1002.6
B000003152,인천검단초등학교,마전지구2호 어린이공원,544.3
B000003107,인천효성동초등학교,꿈나무공원,691.3
B000003166,인천마전초등학교,검단2지구 3호 어린이공원,386.8
B000003105,인천서창초등학교,걸재공원,278.9
B000002979,인천문학초등학교,관청공원,241.4
B000003030,인천부평남초등학교,이야기꽃어린이공원,629.1
B000003005,인천용현남초등학교자월분교장,파라다이스시티 호텔 내 어린이놀이시설물,12865.0
B000003019,인천부광초등학교,세영공원,117.6
B000003040,인천동암초등학교,약산놀이공원,152.1
B000002984,인천승학초등학교,중앙공원,346.7
B000003017,인천부내초등학교,대촌공원,263.6
B000002963,인천만석초등학교,화수3공원,110.6
B000003143,인천신석초등학교,원신공원,664.8
B000003100,인천조동초등학교,돌골공원,287.3
B000025756,인천청호초등학교,물병자리공원,366.2
B000022832,인천한빛초등학교,누리공원,116.7
B000003106,경인교육대학교부설초등학교,이촌공원,53.9
B000003020,인천일신초등학교,일신놀이공원,218.4
B000003046,인천굴포초등학교,무지개공원,342.5
B000003042,인천마장초등학교,마장공원,839.7
B000002991,인천인주초등학교,나리공원,222.5
B000003034,인천미산초등학교,마장공원,1143.0
B000003102,인천장수초등학교,골마루근린공원,592.8
B000002989,인천주안남초등학교,미니공원,60.5
B000003077,상인천초등학교,소공원,473.0
B000003060,인천동막초등학교,동막공원,360.8
B000002969,인천동명초등학교,창영공원,650.3
B000002990,인천학익초등학교,꿈나래 어린이공원,50.0
B000003104,인천남동초등학교,남동공원,36.5
B000003047,한일초등학교,숲속어린이공원,67.0
B000003091,인천주원초등학교,간석육교어린이공원,513.7
B000003032,인천산곡초등학교,산곡소공원,772.7
B000003076,인천상아초등학교,용광공원,628.6
B000003055,인천함박초등학교,장미공원,271.8
B000003052,인천선학초등학교,선학공원,302.1
B000002953,인천운서초등학교,용샘공원,76.3
B000003069,인천박문초등학교,동춘5공원,0.0
B000003022,인천상정초등학교,한마음어린이공원,465.2
B000002973,인천용일초등학교,용남공원,331.7
B000003155,인천목향초등학교,불로5호소공원,969.1
B000003089,인천고잔초등학교,푸른공원,80.4
B000003096,인천소래초등학교,소래공원,342.7
B000002977,인천백학초등학교,묵동공원,56.9
B000003056,인천청학초등학교,하나공원,131.3
B000003073,인천정각초등학교,장다리공원,335.8
B000003130,인천명현초등학교,꿈나무공원,368.6
B000002974,인천용현초등학교,용정공원,299.0
B000003151,인천능내초등학교,검단2지구 2호근린공원,204.8
B000003058,인천연성초등학교,부수지공원,238.2
B000003062,인천연수초등학교,두리공원,373.0
B000003080,인천동부초등학교,화교공원,147.6
B000003154,인천불로초등학교,불로지구5호 어린이공원,65.0
B000003181,송해초등학교,갑룡공원,0.0
B000003145,인천천마초등학교,석곶체육공원,435.0
B000003018,인천부개서초등학교,한가람공원,576.8
B000003188,내가초등학교,백석공원(마),4242.4
B000002954,인천용유초등학교,인스파이어호텔 패밀리파크 어린이놀이터,4482.3
B000002978,인천도화초등학교,수봉공원,605.3
B000003043,인천개흥초등학교,신복공원,434.5
B000003090,인천약산초등학교,산밑말근린공원,319.0
B000003146,인천봉수초등학교,애두름공원,446.5
B000003084,인천은봉초등학교,논현중앙공원,372.2
B000003174,양도초등학교,백석공원(마),4242.4
B000025193,인천만월초등학교,찬우물공원,310.1
B000025226,인천송일초등학교,송도  16호 어린이공원,441.4
B000003014,인천진산초등학교,새싹공원,152.0
B000002972,인천용정초등학교,주인공원,887.7
B000003070,인천남촌초등학교,소촌공원,148.9
B000003115,인천신대초등학교,은행공원,473.3
B000002958,인천삼목초등학교,풍림아이원 3-1-1단지 놀이터,303.7
B000003011,인천갈산초등학교,상꾸지놀이공원,359.8
B000003156,인천왕길초등학교,왕길새싹공원,0.0
B000003093,인천석천초등학교,하늘공원,180.0
B000002966,인천송림초등학교,솔마루공원,354.2
B000003036,인천신촌초등학교,함봉공원(1단계),389.6
B000003028,인천부흥초등학교,부흥놀이공원,162.1
B000002971,인천숭의초등학교,주인공원,1115.2
B000003029,인천부평동초등학교,꿈나무어린이공원,409.0
B000026468,인천아람초등학교,동글동글나이테공원,78.9
B000025690,인천별빛초등학교,영종하늘도시 29호,457.0
B000003038,인천십정초등학교,하동놀이공원,304.9
B000003117,인천병방초등학교,낙원공원,291.1
B000002994,대청초등학교,인스파이어호텔 패밀리파크 어린이놀이터,2553.0
B000025752,인천도담초등학교,포리공원,215.1
B000003135,인천공촌초등학교,서곶공원,248.8
B000003049,인천축현초등학교,청룡공원,295.5
B000002998,백령초등학교,인스파이어호텔 패밀리파크 어린이놀이터,2553.0
B000003180,합일초등학교,갑룡공원,0.0
B000002949,인천신흥초등학교,답동로얄맨션 놀이터,121.0
B000002983,인천남부초등학교,사미공원,305.0
B000003061,인천서면초등학교,봉재공원,594.5
B000003129,인천작동초등학교,도두리공원,353.7
B000002951,인천신선초등학교,인천유림노르웨이숲 에듀오션 103동부 놀이터,579.7
B000002952,인천송월초등학교,동화마을 어린이놀이터,374.4
B000003086,인천동방초등학교,논현공원(논현2택지),34.6
B000003010,인천청천초등학교,어울림어린이공원,113.7
B000003006,인천부평서초등학교,서부동놀이공원,304.0
B000002999,인천공항초등학교신도분교장,창포공원,6831.7
B000003031,인천산곡북초등학교,성벽어린이공원,351.9
B000003126,인천부현초등학교,계산4공원,432.5
B000003050,인천송도초등학교,향나무공원,459.8
B000003053,인천중앙초등학교,솔밭공원,355.5
B000002985,인천서화초등학교,궁현,218.1
B000003125,인천부평초등학교,계산1호공원,144.2
B000003121,인천귤현초등학교,귤현공원,134.7
B000003147,인천신현북초등학교,원신공원,512.9
B000003116,인천길주초등학교,용종5공원,69.6
B000002981,인천경원초등학교,비선거리공원,73.2
