유치원명,설립유형,주소,위도,경도,인가총정원수,만3세원아수,만4세원아수,만5세원아수,혼합원아수,총원아수
인천장서초등학교병설유치원,공립(병설),인천광역시 남동구 서창남순환로 109,37.42921718,126.745328,79,24,11,28,0,63
인천장수초등학교병설유치원,공립(병설),인천광역시 남동구 담방로 121,37.45051198,126.7417111,38,0,0,6,1,7
인천장아초등학교병설유치원,공립(병설),인천광역시 남동구 서창방산로 93,37.42451149,126.7536905,65,5,23,13,0,41
인천정각초등학교병설유치원,공립(병설),인천광역시 남동구 구월로 228,37.45560093,126.7155989,67,12,16,22,0,50
인천주원초등학교병설유치원,공립(병설),인천광역시 남동구 주안로259번길 28,37.4646833,126.7003232,34,0,0,14,11,25
인천첨단초등학교병설유치원,공립(병설),인천광역시 연수구 송도교육로 20,37.37314427,126.6549363,84,12,34,38,0,84
인천청학초등학교병설유치원,공립(병설),인천광역시 연수구 함박뫼로 25,37.41993023,126.6704681,34,0,0,4,4,8
인천축현초등학교병설유치원,공립(병설),인천광역시 연수구 청량로 176,37.42288473,126.6545728,36,0,11,11,0,22
인천한빛초등학교병설유치원,공립(병설),인천광역시 남동구 서창남순환로 190-28,37.4241953,126.7441352,67,5,17,23,0,45
인천해송초등학교병설유치원,공립(병설),인천광역시 연수구 인천타워대로54번길 46,37.38091123,126.649285,52,12,16,16,0,44
인천현송초등학교병설유치원,공립(병설),인천광역시 연수구 아카데미로312번길 96,37.39389185,126.6203812,67,12,15,36,0,63
자연발도르프유치원,사립(사인),인천광역시 남동구 백범로297번길 26,37.46154495,126.7159467,151,33,43,40,0,116
작은꽃예능유치원,사립(사인),인천광역시 연수구 먼우금로 123,37.41137984,126.6695893,149,21,21,57,0,99
제니스유치원,사립(사인),인천광역시 남동구 서창방산로 99,37.42436733,126.7550469,532,70,65,136,0,271
참아름유치원,사립(사인),인천광역시 연수구 능허대로79번길 30,37.42428936,126.6440623,210,46,54,56,0,156
참조은유치원,사립(사인),인천광역시 남동구 구월로137번길 65 ,37.45972928,126.7052359,155,20,67,68,0,155
청담숲유치원,사립(사인),인천광역시 남동구 만경로8번길 33,37.45608833,126.7291235,176,30,35,51,0,116
청송유치원,사립(사인),인천광역시 연수구 원인재로 88,37.40735321,126.6797414,270,18,36,20,0,74
청학숲유치원,사립(사인),인천광역시 연수구 청학로 49,37.43126789,126.6654373,390,78,111,83,0,272
큰별유치원,사립(사인),인천광역시 연수구 원인재로 81,37.408568,126.6759455,220,50,54,56,0,160
키즈월드유치원,사립(사인),인천광역시 연수구 원인재로 180,37.41267098,126.6859646,120,6,27,14,0,47
푸른마을유치원,사립(사인),인천광역시 남동구 용천로4번길 9-9,37.4502933,126.7145775,210,33,49,40,0,122
프라임명지유치원,사립(사인),인천광역시 남동구 방축로 482,37.4679297,126.6923339,268,41,41,48,0,130
프라임예지유치원,사립(사인),인천광역시 남동구 에코중앙로 192,37.39353883,126.7285925,491,66,131,124,0,321
하늘땅유치원,사립(사인),인천광역시 연수구 함박안로156번길 15-12,37.42603551,126.6838929,266,80,103,83,0,266
해나라유치원,사립(사인),인천광역시 연수구 새말로 21,37.42432459,126.6741376,210,50,51,56,0,157
해돋이유치원,사립(사인),인천광역시 남동구 백범로281번길 3,37.46170439,126.7182447,111,0,0,0,9,9
해승유치원,사립(사인),인천광역시 남동구 석정로539번길 41,37.46770286,126.6954164,159,41,55,52,0,148
해와달유치원,사립(사인),인천광역시 남동구 호구포로535번길 67,37.42923903,126.7146449,210,9,15,15,0,39
행복한유치원,사립(사인),인천광역시 남동구 포구로 64 -14,37.40482255,126.7377017,122,11,17,23,0,51
The큰빛유치원,사립(사인),인천광역시 부평구 장제로195번길 42,37.50330095,126.7284326,247,67,74,106,0,247
경인여자대학교부속유치원,사립(법인),인천광역시 계양구 계양산로 63,37.54792332,126.7235678,140,0,54,67,0,121
계양유치원,사립(사인),인천광역시 계양구 계양산로193번길 20,37.54888181,126.7382215,134,20,19,19,0,58
근산유치원,사립(사인),인천광역시 부평구 영성중로 53,37.52121572,126.7449774,375,20,41,58,0,119
꿈나라유치원,사립(사인),인천광역시 부평구 안남로 272,37.50782698,126.7098106,170,24,36,56,0,116
꿈나무유치원,사립(사인),인천광역시 부평구 동수로120번길 11,37.48468006,126.732448,60,0,0,0,44,44
노틀담유치원,사립(법인),인천광역시 계양구 계양산로35번길 12-37,37.5452484,126.7174622,120,0,0,0,57,57
동심유치원,사립(사인),인천광역시 부평구 원적로416번길 38,37.50225952,126.7122607,252,31,57,52,0,140
드림유치원,사립(사인),인천광역시 부평구 충선로 158,37.50324803,126.7366212,283,70,89,101,0,260
마리아유치원,사립(법인),인천광역시 계양구 임학서로42번길 17,37.54679452,126.7338668,150,0,0,0,85,85
무지개유치원,사립(사인),인천광역시 부평구 안남로41번길 3,37.48709369,126.7141859,201,54,72,75,0,201
미래유치원,사립(사인),인천광역시 계양구 주부토로363번길 27,37.52575051,126.7282651,170,23,38,26,0,87
밀알유치원,사립(사인),인천광역시 계양구 임학서로45번길 5,37.54691613,126.7313595,220,29,49,56,0,134
보나유치원,사립(사인),인천광역시 계양구 효서로 393,37.52968564,126.7403402,276,62,38,54,0,154
보람유치원,사립(사인),인천광역시 계양구 장제로928번길 23,37.54795196,126.7439535,164,44,41,49,0,134
산곡유치원,사립(사인),인천광역시 부평구 마장로 121,37.48946598,126.7056873,212,51,57,75,0,183
산들유치원,사립(사인),인천광역시 계양구 역골로119번길 17,37.56918927,126.7260751,170,52,53,56,0,161
삼산유치원,공립(단설),인천광역시 부평구 충선로311번길 25-14,37.51628195,126.7335304,65,8,30,14,0,52
상아유치원,사립(사인),인천광역시 계양구 장제로 878,37.54436534,126.7408336,167,28,33,12,0,73
새빛솔금유치원,사립(사인),인천광역시 부평구 주부토로 146,37.50828169,126.726076,170,17,42,45,0,104
서해유치원,사립(사인),인천광역시 계양구 계산로 152,37.53695921,126.7290353,129,18,18,19,0,55
성심유치원,사립(법인),인천광역시 부평구 부흥로 323,37.49861995,126.7281082,150,0,0,0,43,43
성아유치원,사립(법인),인천광역시 부평구 마장로 48,37.48312812,126.708973,100,0,0,12,13,25
숲속유치원,사립(사인),인천광역시 부평구 산청로17번길 77-1,37.5102261,126.6968116,177,21,33,52,0,106
아란유치원,사립(사인),인천광역시 부평구 안남로 91,37.49181183,126.7092632,154,39,58,50,0,147
엄지유치원,사립(사인),인천광역시 부평구 부일로 111,37.48885067,126.7422329,83,10,10,15,0,35
에코프라임유치원,사립(사인),인천광역시 부평구 갈월동로 45,37.51158608,126.7267738,93,4,8,12,0,24
연세유치원,사립(사인),인천광역시 부평구 세월천로 16,37.51483705,126.7094806,228,33,42,46,0,121
열림유치원,사립(사인),인천광역시 부평구 일신로14번길 23,37.48217716,126.7440146,136,30,40,39,0,109
열우물유치원,사립(사인),인천광역시 부평구 아트센터로 118,37.47534723,126.7043404,107,0,1,10,0,11
영광유치원,사립(사인),인천광역시 계양구 안남로 596,37.53597401,126.7114223,260,29,81,90,0,200
