유치원명,설립유형,주소,위도,경도,인가총정원수,만3세원아수,만4세원아수,만5세원아수,혼합원아수,총원아수
인천가림초등학교병설유치원,공립(병설),인천광역시 서구 장고개로293번길 29,37.49058307,126.6810497,34,0,0,10,7,17
인천가석초등학교병설유치원,공립(병설),인천광역시 서구 서달로 174,37.51475728,126.6796755,38,0,0,10,5,15
인천가원초등학교병설유치원,공립(병설),인천광역시 서구 청중로478번길 6,37.52921835,126.6641201,88,12,33,38,0,83
인천가정초등학교병설유치원,공립(병설),인천광역시 서구 장고개로 336-1,37.49166426,126.6884331,36,0,12,9,0,21
인천가현초등학교병설유치원,공립(병설),인천광역시 서구 염곡로 417,37.52237749,126.668351,48,12,17,19,0,48
인천간재울초등학교병설유치원,공립(병설),인천광역시 서구 승학로 433,37.56002883,126.6723052,36,0,2,5,0,7
인천건지초등학교병설유치원,공립(병설),인천광역시 서구 건지로318번길 39,37.49530976,126.6779423,60,2,8,6,0,16
인천검단꿈유치원,공립(단설),인천광역시 서구 이음1로 350,37.59195531,126.7189451,240,56,81,91,0,228
인천검단나래유치원,공립(단설),인천광역시 서구 고산후로310번길 16,37.61075392,126.6991162,240,56,81,91,0,228
인천검단초등학교병설유치원,공립(병설),인천광역시 서구 마전로115번길 24,37.61078278,126.6696256,48,12,13,19,0,44
인천검암유치원,공립(단설),인천광역시 서구 승학로599번길 45,37.56785518,126.6785109,79,24,13,30,0,67
인천경명초등학교병설유치원,공립(병설),인천광역시 서구 크리스탈로 130,37.53699997,126.6373308,65,12,24,19,0,55
인천경서초등학교병설유치원,공립(병설),인천광역시 서구 경서로31번길 31,37.55664075,126.6509849,67,12,13,16,0,41
인천경연초등학교병설유치원,공립(병설),인천광역시 서구 차오름로 64,37.53849651,126.6262363,48,12,17,18,0,47
인천공촌초등학교병설유치원,공립(병설),인천광역시 서구 심곡로188번길 21,37.54890626,126.6839434,34,0,0,7,4,11
인천금곡초등학교병설유치원,공립(병설),인천광역시 서구 완정로228번길 19,37.60564087,126.6509005,52,4,11,11,0,26
인천능내초등학교병설유치원,공립(병설),인천광역시 서구 검단로540번길 23,37.60289492,126.6658687,19,0,0,7,0,7
인천단봉초등학교병설유치원,공립(병설),인천광역시 서구 단봉로 122,37.59831924,126.6384415,79,18,16,25,0,59
인천당하초등학교병설유치원,공립(병설),인천광역시 서구 청마로 144,37.59022988,126.6780023,19,0,0,7,0,7
인천도담초등학교병설유치원,공립(병설),인천광역시 서구 청라커낼로 217,37.52786383,126.6439917,79,18,17,27,0,62
인천마전초등학교병설유치원,공립(병설),인천광역시 서구 완정로34번길 23,37.59768793,126.6704679,15,0,0,0,5,5
인천목향초등학교병설유치원,공립(병설),인천광역시 서구 고산후로 377,37.61642408,126.6944461,36,0,13,12,0,25
인천발산초등학교병설유치원,공립(병설),인천광역시 서구 고산후로78번길 6,37.59017039,126.6987106,48,12,13,19,0,44
인천백석초등학교병설유치원,공립(병설),인천광역시 서구 청마로 55,37.589804,126.6717497,48,10,17,19,0,46
인천봉수초등학교병설유치원,공립(병설),인천광역시 서구 봉오대로267번길 11-4,37.52600899,126.6781382,48,12,17,19,0,48
인천봉화초등학교병설유치원,공립(병설),인천광역시 서구 건지로250번길 43,37.49567311,126.6703504,36,0,4,9,0,13
인천불로초등학교병설유치원,공립(병설),인천광역시 서구 검단로744번1길 50,37.61393978,126.6894096,36,0,13,19,0,32
인천서곶초등학교병설유치원,공립(병설),인천광역시 서구 대평로56번길 9,37.54784271,126.6694055,34,0,0,6,9,15
인천서로꿈유치원,공립(단설),인천광역시 서구 당곡로24번안길 22,37.60229215,126.7146549,240,56,81,91,0,228
인천서현유치원,공립(단설),인천광역시 서구 새오개로111번안길 7,37.52145256,126.6644083,144,32,47,53,0,132
인천석남초등학교병설유치원,공립(병설),인천광역시 서구 서달로130번길 4,37.51039045,126.6803242,15,0,0,0,8,8
인천신석초등학교병설유치원,공립(병설),인천광역시 서구 새오개로 9,37.51121084,126.664398,16,0,0,0,4,4
인천신현북초등학교병설유치원,공립(병설),인천광역시 서구 원창로 147,37.51875553,126.6662524,15,0,0,0,6,6
인천아라꿈유치원,공립(단설),인천광역시 서구 서로2로 28,37.58429148,126.7028614,338,82,115,129,0,326
인천아라초등학교병설유치원,공립(병설),인천광역시 서구 서로2로 42,37.58508291,126.7035431,71,12,17,35,0,64
인천아람초등학교병설유치원,공립(병설),인천광역시 서구 이음1로 289,37.58723924,126.7164112,67,12,15,36,0,63
인천양지초등학교병설유치원,공립(병설),인천광역시 서구 승학로197번길 11,37.54002493,126.6711942,34,0,0,11,6,17
인천완정초등학교병설유치원,공립(병설),인천광역시 서구 완정로 99,37.59849819,126.6643304,48,4,13,5,0,22
인천왕길초등학교병설유치원,공립(병설),인천광역시 서구 봉수대로1440번길 20,37.60197813,126.651059,53,7,8,14,0,29
인천원당초등학교병설유치원,공립(병설),인천광역시 서구 원당대로820번길 16,37.59258543,126.6912342,48,12,6,7,0,25
인천은지초등학교병설유치원,공립(병설),인천광역시 서구 승학로572번길 22,37.56470036,126.6849903,48,4,13,11,0,28
인천이음초등학교병설유치원,공립(병설),인천광역시 서구 이음1로 447,37.59878792,126.7121218,96,24,33,35,0,92
인천창신초등학교병설유치원,공립(병설),인천광역시 서구 고산후로161번길 6,37.59892253,126.6982138,48,9,11,18,0,38
인천청라초등학교병설유치원,공립(병설),인천광역시 서구 청라에메랄드로 139,37.53774832,126.6556962,67,12,17,36,0,65
인천청람초등학교병설유치원,공립(병설),인천광역시 서구 청라커낼로 336,37.53869664,126.6453131,67,10,15,14,0,39
인천청일초등학교병설유치원,공립(병설),인천광역시 서구 크리스탈로 46,37.52925864,126.6373634,67,11,14,19,0,44
인천초은초등학교병설유치원,공립(병설),인천광역시 서구 청라에메랄드로 33,37.52842328,126.6558481,60,23,17,19,0,59
인천푸른빛유치원,공립(단설),인천광역시 서구 청라한내로 145,37.53819812,126.6279825,144,32,47,53,0,132
인천한들초등학교병설유치원,공립(병설),인천광역시 서구 한중로 25,37.57958495,126.6728024,96,24,33,35,0,92
인천한별초등학교병설유치원,공립(병설),인천광역시 서구 서로3로 201,37.59761635,126.7066281,67,11,17,35,0,63
인천해든초등학교병설유치원,공립(병설),인천광역시 서구 서로3로 60,37.58541807,126.7076937,67,12,16,35,0,63
인천해원초등학교병설유치원,공립(병설),인천광역시 서구 청라사파이어로140번길 6,37.52660162,126.62634,71,12,15,28,0,55
일영유치원,사립(사인),인천광역시 서구 고산로45번길 4,37.5970951,126.7002753,196,50,78,54,0,182
재은유치원,사립(사인),인천광역시 서구 완정로34번길 20,37.59741384,126.6719051,123,48,37,27,0,112
청라새싹유치원,사립(사인),인천광역시 서구 용두산로26번길 14-5,37.54646678,126.6704245,350,113,108,127,0,348
청라유치원,공립(단설),인천광역시 서구 솔빛로 68,37.52491368,126.6285764,144,32,47,51,0,130
큰사랑유치원,사립(사인),인천광역시 서구 완정로64번길 7,37.59832408,126.6676246,224,73,52,82,0,207
프라임청라유치원,사립(사인),인천광역시 서구 청라한울로59번길 5,37.5393445,126.6429231,337,76,86,103,0,265
한샘유치원,사립(사인),인천광역시 서구 율도로15번길 26-9,37.5163642,126.6649651,172,33,50,58,0,141
한울유치원,사립(사인),인천광역시 서구 서곶로 818,37.58893023,126.6756855,210,45,54,55,0,154
해나라유치원,사립(사인),인천광역시 서구 고산후로161번안길 35,37.60119643,126.6977944,310,108,99,102,0,309
희망찬유치원,사립(사인),인천광역시 서구 단봉로139번길 3-2,37.596843,126.6366085,230,56,69,45,0,170
