학교ID,학교명,gu,case_type,priority_score,child_pop_quartile,redev_total,outlier_type,rule_based_case_type,ml_case_type,ml_prob_case1,ml_prob_case2,ml_prob_case3,ml_prob_case4,mismatch_flag,mismatch_type
B000002982,인천석암초등학교,미추홀구,1.0,4.0,Q4,1,normal,1,3,0.2789,0.2806,0.2904,0.1501,1,rule_case_vs_ml_case
B000002983,인천남부초등학교,미추홀구,2.0,3.0,Q4,1,normal,2,1,0.4245,0.2952,0.1317,0.1486,1,rule_case_vs_ml_case
B000002984,인천승학초등학교,미추홀구,4.0,1.0,Q2,0,normal,4,4,0.1705,0.1917,0.2823,0.3556,0,match
B000002985,인천서화초등학교,미추홀구,4.0,1.0,Q3,0,normal,4,4,0.1015,0.1643,0.3478,0.3864,0,match
B000002986,인천대화초등학교,미추홀구,2.0,3.0,Q4,4,normal,2,3,0.3115,0.2512,0.3991,0.0381,1,rule_case_vs_ml_case
B000002987,인천주안북초등학교,미추홀구,2.0,3.0,Q3,2,normal,2,3,0.0234,0.2877,0.6415,0.0474,1,rule_case_vs_ml_case
B000002989,인천주안남초등학교,미추홀구,2.0,3.0,Q4,2,normal,2,1,0.3746,0.2561,0.3393,0.03,1,rule_case_vs_ml_case
B000002990,인천학익초등학교,미추홀구,1.0,4.0,Q1,0,normal,1,1,0.5084,0.1689,0.1611,0.1616,0,match
B000002991,인천인주초등학교,미추홀구,3.0,2.0,Q4,1,normal,3,2,0.1678,0.4262,0.2029,0.2031,1,rule_case_vs_ml_case
B000002992,인천연학초등학교,미추홀구,4.0,1.0,Q4,1,normal,4,1,0.3752,0.3087,0.2055,0.1106,1,rule_case_vs_ml_case
B000003006,인천부평서초등학교,부평구,2.0,3.0,Q4,0,normal,2,2,0.0269,0.3832,0.2524,0.3375,0,match
B000003007,인천부곡초등학교,부평구,2.0,3.0,Q2,0,normal,2,4,0.2639,0.2042,0.2037,0.3281,1,rule_case_vs_ml_case
B000003008,인천마곡초등학교,부평구,2.0,3.0,Q3,0,normal,2,4,0.0844,0.1292,0.382,0.4044,1,rule_case_vs_ml_case
B000003009,인천대정초등학교,부평구,2.0,3.0,Q3,0,normal,2,4,0.1033,0.1422,0.2895,0.465,1,rule_case_vs_ml_case
B000003010,인천청천초등학교,부평구,3.0,2.0,Q3,1,normal,3,2,0.0563,0.4368,0.1505,0.3564,1,rule_case_vs_ml_case
B000003011,인천갈산초등학교,부평구,3.0,2.0,Q1,0,normal,3,1,0.4974,0.1784,0.1233,0.2009,1,rule_case_vs_ml_case
B000003012,인천후정초등학교,부평구,3.0,2.0,Q2,0,normal,3,4,0.2639,0.2042,0.2037,0.3281,1,rule_case_vs_ml_case
B000003013,인천영선초등학교,부평구,3.0,2.0,Q3,2,normal,3,1,0.3209,0.2781,0.313,0.088,1,rule_case_vs_ml_case
B000003014,인천진산초등학교,부평구,4.0,1.0,Q1,0,normal,4,1,0.5084,0.1689,0.1611,0.1616,1,rule_case_vs_ml_case
B000003015,인천구산초등학교,부평구,4.0,1.0,Q4,0,normal,4,2,0.1338,0.3596,0.256,0.2507,1,rule_case_vs_ml_case
B000003016,인천부일초등학교,부평구,4.0,1.0,Q3,0,normal,4,4,0.1033,0.1422,0.2895,0.465,0,match
B000003017,인천부내초등학교,부평구,4.0,1.0,Q2,0,normal,4,4,0.2639,0.2042,0.2037,0.3281,0,match
B000003018,인천부개서초등학교,부평구,2.0,3.0,Q4,0,normal,2,4,0.1357,0.212,0.3187,0.3337,1,rule_case_vs_ml_case
B000003019,인천부광초등학교,부평구,3.0,2.0,Q4,3,normal,3,1,0.3746,0.2561,0.3393,0.03,1,rule_case_vs_ml_case
B000003020,인천일신초등학교,부평구,2.0,3.0,Q3,1,normal,2,3,0.0967,0.3184,0.338,0.2469,1,rule_case_vs_ml_case
B000003021,인천금마초등학교,부평구,2.0,3.0,Q1,0,normal,2,1,0.556,0.1177,0.1631,0.1633,1,rule_case_vs_ml_case
B000003022,인천상정초등학교,부평구,4.0,1.0,Q3,1,normal,4,3,0.0967,0.3184,0.338,0.2469,1,rule_case_vs_ml_case
B000003023,인천부평북초등학교,부평구,2.0,3.0,Q3,1,normal,2,2,0.0462,0.4367,0.3449,0.1722,0,match
B000003024,인천갈월초등학교,부평구,4.0,1.0,Q4,0,normal,4,2,0.1374,0.3385,0.2822,0.2419,1,rule_case_vs_ml_case
B000003025,인천부개초등학교,부평구,2.0,3.0,Q4,1,normal,2,3,0.2789,0.2806,0.2904,0.1501,1,rule_case_vs_ml_case
B000003026,인천동수초등학교,부평구,2.0,3.0,Q4,1,normal,2,1,0.3752,0.3087,0.2055,0.1106,1,rule_case_vs_ml_case
B000003027,인천부원초등학교,부평구,1.0,4.0,Q4,2,normal,1,3,0.1225,0.3223,0.5009,0.0542,1,rule_case_vs_ml_case
B000003028,인천부흥초등학교,부평구,2.0,3.0,Q4,1,normal,2,3,0.2789,0.2806,0.2904,0.1501,1,rule_case_vs_ml_case
B000003029,인천부평동초등학교,부평구,2.0,3.0,Q4,0,normal,2,2,0.1374,0.3385,0.2822,0.2419,0,match
B000003030,인천부평남초등학교,부평구,2.0,3.0,Q4,0,normal,2,4,0.1357,0.212,0.3187,0.3337,1,rule_case_vs_ml_case
B000003031,인천산곡북초등학교,부평구,2.0,3.0,Q3,0,normal,2,4,0.0121,0.1613,0.3538,0.4728,1,rule_case_vs_ml_case
B000003032,인천산곡초등학교,부평구,2.0,3.0,Q2,1,normal,2,2,0.3862,0.4685,0.0802,0.0651,0,match
B000003033,인천부마초등학교,부평구,1.0,4.0,Q4,1,normal,1,2,0.1678,0.4262,0.2029,0.2031,1,rule_case_vs_ml_case
B000003034,인천미산초등학교,부평구,1.0,4.0,Q2,0,normal,1,4,0.1631,0.2369,0.2608,0.3392,1,rule_case_vs_ml_case
B000003035,인천산곡남초등학교,부평구,2.0,3.0,Q3,2,normal,2,3,0.3137,0.2916,0.329,0.0657,1,rule_case_vs_ml_case
B000003036,인천신촌초등학교,부평구,4.0,1.0,Q3,1,normal,4,2,0.11,0.4176,0.2624,0.21,1,rule_case_vs_ml_case
B000003037,인천하정초등학교,부평구,3.0,2.0,Q3,2,normal,3,3,0.1845,0.3581,0.3609,0.0965,0,match
B000003038,인천십정초등학교,부평구,3.0,2.0,Q4,2,normal,3,3,0.2628,0.2797,0.4054,0.0522,0,match
B000003039,인천백운초등학교,부평구,4.0,1.0,Q2,0,normal,4,4,0.2603,0.2594,0.1831,0.2973,0,match
B000003040,인천동암초등학교,부평구,2.0,3.0,Q4,1,normal,2,1,0.4067,0.3108,0.1711,0.1114,1,rule_case_vs_ml_case
B000003041,인천용마초등학교,부평구,2.0,3.0,Q2,1,normal,2,2,0.2574,0.4343,0.1538,0.1545,0,match
B000003042,인천마장초등학교,부평구,1.0,4.0,Q4,0,normal,1,2,0.0269,0.3832,0.2524,0.3375,1,rule_case_vs_ml_case
B000003043,인천개흥초등학교,부평구,3.0,2.0,Q4,2,normal,3,1,0.3746,0.2561,0.3393,0.03,1,rule_case_vs_ml_case
B000003044,인천삼산초등학교,부평구,3.0,2.0,Q4,5,normal,3,3,0.2703,0.3015,0.3863,0.042,0,match
B000003045,인천한길초등학교,부평구,3.0,2.0,Q4,1,normal,3,1,0.4067,0.3108,0.1711,0.1114,1,rule_case_vs_ml_case
B000003046,인천굴포초등학교,부평구,3.0,2.0,Q3,0,normal,3,4,0.1033,0.1422,0.2895,0.465,1,rule_case_vs_ml_case
B000003047,한일초등학교,부평구,2.0,3.0,Q1,0,normal,2,1,0.4543,0.1975,0.1349,0.2133,1,rule_case_vs_ml_case
B000003048,인천명선초등학교,연수구,1.0,4.0,Q1,0,normal,1,1,0.4543,0.1975,0.1349,0.2133,0,match
B000003049,인천축현초등학교,연수구,2.0,3.0,Q2,0,normal,2,4,0.2639,0.2042,0.2037,0.3281,1,rule_case_vs_ml_case
