학교ID,학교명,gu,case_type,priority_score,child_pop_quartile,redev_total,outlier_type,rule_based_case_type,ml_case_type,ml_prob_case1,ml_prob_case2,ml_prob_case3,ml_prob_case4,mismatch_flag,mismatch_type
B000003094,인천신월초등학교,남동구,3.0,2.0,Q3,1,normal,3,2,0.135,0.4057,0.173,0.2863,1,rule_case_vs_ml_case
B000003095,인천구월초등학교,남동구,3.0,2.0,Q4,0,normal,3,2,0.1317,0.371,0.1882,0.3091,1,rule_case_vs_ml_case
B000003096,인천소래초등학교,남동구,3.0,2.0,Q3,0,normal,3,4,0.1015,0.1643,0.3478,0.3864,1,rule_case_vs_ml_case
B000003097,인천논현초등학교,남동구,4.0,1.0,Q3,0,normal,4,4,0.1015,0.1643,0.3478,0.3864,0,match
B000003098,인천논곡초등학교,남동구,4.0,1.0,Q1,0,normal,4,1,0.556,0.1177,0.1631,0.1633,1,rule_case_vs_ml_case
B000003099,인천새말초등학교,남동구,3.0,2.0,Q4,0,normal,3,2,0.1338,0.3596,0.256,0.2507,1,rule_case_vs_ml_case
B000003100,인천조동초등학교,남동구,4.0,1.0,Q4,0,normal,4,2,0.1338,0.3596,0.256,0.2507,1,rule_case_vs_ml_case
B000003101,인천인동초등학교,남동구,2.0,3.0,Q4,0,normal,2,4,0.1357,0.212,0.3187,0.3337,1,rule_case_vs_ml_case
B000003102,인천장수초등학교,남동구,2.0,3.0,Q1,0,normal,2,1,0.5033,0.1717,0.1314,0.1936,1,rule_case_vs_ml_case
B000003103,인천담방초등학교,남동구,3.0,2.0,Q2,0,normal,3,4,0.2639,0.2042,0.2037,0.3281,1,rule_case_vs_ml_case
B000003104,인천남동초등학교,남동구,3.0,2.0,Q3,0,normal,3,4,0.1033,0.1422,0.2895,0.465,1,rule_case_vs_ml_case
B000003105,인천서창초등학교,남동구,3.0,2.0,Q4,0,normal,3,2,0.0269,0.3832,0.2524,0.3375,1,rule_case_vs_ml_case
B000003106,경인교육대학교부설초등학교,계양구,4.0,1.0,Q2,2,normal,4,1,0.5399,0.2751,0.1556,0.0294,1,rule_case_vs_ml_case
B000003107,인천효성동초등학교,계양구,2.0,3.0,Q3,1,normal,2,2,0.11,0.4176,0.2624,0.21,0,match
B000003108,인천효성남초등학교,계양구,3.0,2.0,Q4,4,normal,3,3,0.1225,0.3223,0.5009,0.0542,0,match
B000003109,인천효성초등학교,계양구,2.0,3.0,Q2,1,normal,2,1,0.4197,0.339,0.1391,0.1022,1,rule_case_vs_ml_case
