학교ID,학교명,gu,current_students_2025,forecast_2029,forecast_2031,predicted_2029,predicted_2031,cohort_change_2029,cohort_change_2031,selected_model,model_version,validation_scheme,one_year_r2,one_year_mae,mid_term_r2,mid_term_mae
B000003106,경인교육대학교부설초등학교,계양구,560,453,411,453.0,411.0,0.5621287687784734,0.3873498368195425,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003123,인천계산초등학교,계양구,162,105,80,105.0,80.0,0.5621287687784734,0.3873498368195425,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003122,인천계양초등학교,계양구,307,142,72,142.0,72.0,0.5621287687784734,0.3873498368195425,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003132,인천계양초등학교상야분교장,계양구,6,2,1,2.0,1.0,0.5621287687784734,0.3873498368195425,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003121,인천귤현초등학교,계양구,498,284,177,284.0,177.0,0.5621287687784734,0.3873498368195425,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003116,인천길주초등학교,계양구,454,286,207,286.0,207.0,0.5621287687784734,0.3873498368195425,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003120,인천당산초등학교,계양구,721,286,121,286.0,121.0,0.5621287687784734,0.3873498368195425,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003130,인천명현초등학교,계양구,223,169,130,169.0,130.0,0.5621287687784734,0.3873498368195425,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003117,인천병방초등학교,계양구,290,179,165,179.0,165.0,0.5621287687784734,0.3873498368195425,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003125,인천부평초등학교,계양구,245,152,124,152.0,124.0,0.5621287687784734,0.3873498368195425,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003127,인천부현동초등학교,계양구,430,204,116,204.0,116.0,0.5621287687784734,0.3873498368195425,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003126,인천부현초등학교,계양구,342,206,159,206.0,159.0,0.5621287687784734,0.3873498368195425,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003114,인천서운초등학교,계양구,510,513,507,513.0,507.0,0.5621287687784734,0.3873498368195425,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003112,인천성지초등학교,계양구,291,178,143,178.0,143.0,0.5621287687784734,0.3873498368195425,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003119,인천소양초등학교,계양구,346,229,157,229.0,157.0,0.5621287687784734,0.3873498368195425,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003115,인천신대초등학교,계양구,529,289,173,289.0,173.0,0.5621287687784734,0.3873498368195425,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003111,인천안남초등학교,계양구,288,169,132,169.0,132.0,0.5621287687784734,0.3873498368195425,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003124,인천안산초등학교,계양구,265,161,149,161.0,149.0,0.5621287687784734,0.3873498368195425,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003118,인천양촌초등학교,계양구,186,80,35,80.0,35.0,0.5621287687784734,0.3873498368195425,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003129,인천작동초등학교,계양구,400,275,229,275.0,229.0,0.5621287687784734,0.3873498368195425,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003128,인천작전초등학교,계양구,311,178,154,178.0,154.0,0.5621287687784734,0.3873498368195425,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003110,인천해서초등학교,계양구,141,31,15,31.0,15.0,0.5621287687784734,0.3873498368195425,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003113,인천화전초등학교,계양구,688,441,325,441.0,325.0,0.5621287687784734,0.3873498368195425,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003108,인천효성남초등학교,계양구,633,550,501,550.0,501.0,0.5621287687784734,0.3873498368195425,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003107,인천효성동초등학교,계양구,454,420,469,420.0,469.0,0.5621287687784734,0.3873498368195425,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003131,인천효성서초등학교,계양구,341,186,111,186.0,111.0,0.5621287687784734,0.3873498368195425,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003109,인천효성초등학교,계양구,272,147,95,147.0,95.0,0.5621287687784734,0.3873498368195425,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003077,상인천초등학교,남동구,395,215,150,215.0,150.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003074,인천간석초등학교,남동구,510,417,371,417.0,371.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003089,인천고잔초등학교,남동구,826,594,469,594.0,469.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003075,인천구월서초등학교,남동구,924,755,653,755.0,653.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003095,인천구월초등학교,남동구,299,158,133,158.0,133.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003104,인천남동초등학교,남동구,312,149,122,149.0,122.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003070,인천남촌초등학교,남동구,309,155,89,155.0,89.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003098,인천논곡초등학교,남동구,551,333,234,333.0,234.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003097,인천논현초등학교,남동구,591,373,280,373.0,280.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003103,인천담방초등학교,남동구,369,189,110,189.0,110.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003083,인천도림초등학교,남동구,320,155,83,155.0,83.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
