도서관명,주소,위도,경도,geocode_source,geocode_status
자월도서관,"인천광역시 옹진군 자월면 자원리 1116-2, 2층",,,nominatim,failed
연평도서관,인천광역시 옹진군 연평면 연평로 184,,,nominatim,failed
영흥도서관,인천광역시 옹진군 영흥면 영흥로 283-31,37.2585262,126.49393,nominatim,resolved
대청도서관,인천광역시 옹진군 대청면 대청리 750,,,nominatim,failed
백령도서관,인천광역시 옹진군 백령면 백령로260,,,nominatim,failed
지혜의숲도서관,인천광역시 강화군 선원면 대문고개로 131,37.7184735,126.4838053,nominatim,resolved
내가도서관,인천광역시 강화군 내가면 강화서로249,,,nominatim,failed
강화도서관,인천광역시 강화군 강화읍 북문길 9번길 18,,,nominatim,failed
단봉늘봄도서관,인천광역시 서구 오동로 25,,,nominatim,failed
마전도서관,인천광역시 서구 원당대로 563,,,nominatim,failed
검암도서관,인천광역시 서구 검암로 20번길 20,,,nominatim,failed
청라호수도서관,인천광역시 서구 크리스탈로 59,37.5278934,126.6367992,nominatim,resolved
청라국제도서관,인천광역시 서구 담지로 24,37.5314076,126.6599107,nominatim,resolved
신석도서관,인천광역시 서구 염곡로 299,37.5374944,126.6696171,nominatim,resolved
석남도서관,인천광역시 서구 서달로 137번길6-12,,,nominatim,failed
검단도서관,인천광역시 서구 완정로 92번길 18,,,nominatim,failed
심곡도서관,인천광역시 서구 심곡로 31,37.5424043,126.6729298,nominatim,resolved
가재울꿈어린이도서관,인천광역시 서구 건지로334번길 45,37.4956651,126.6788699,nominatim,resolved
서구도서관,인천광역시 서구 건지로334번길 45,37.4956651,126.6788699,nominatim,resolved
별똥별어린이도서관,인천광역시 계양구 봉오대로 510,37.5313191,126.7573064,nominatim,resolved
임학도서관,인천광역시 계양구 임학동로 26-1,37.5447683,126.7363071,nominatim,resolved
동양도서관,인천광역시 계양구 당미길 31,37.5628049,126.7602531,nominatim,resolved
서운도서관,인천광역시 계양구 아나지로457번길 16,37.5265063,126.7427737,nominatim,resolved
효성도서관,인천광역시 계양구 봉오대로600번길 14,37.5292383,126.7150704,nominatim,resolved
작전도서관,인천광역시 계양구 오조산로21번길 4,37.5327823,126.7372943,nominatim,resolved
계양도서관,인천광역시 계양구 계양산로134번길 18,37.5459123,126.7305868,nominatim,resolved
청천도서관,인천광역시 부평구 원길로 23,37.5057629,126.7145819,nominatim,resolved
부개어린이도서관,인천광역시 부평구 동수로 166,37.4858309,126.7373111,nominatim,resolved
삼산도서관,인천광역시 부평구 부평북로 445,37.5224832,126.698743,nominatim,resolved
갈산도서관,인천광역시 부평구 주부토로 254,37.517607,126.7271499,nominatim,resolved
부개도서관,인천광역시 부평구 부일로83번길 46,37.490335,126.7390838,nominatim,resolved
부평기적의도서관,인천광역시 부평구 길주남로 166,37.5046852,126.7245143,nominatim,resolved
신트리도서관,인천광역시 부평구 신트리로 21,37.5062783,126.7219453,nominatim,resolved
부평도서관,인천광역시 부평구 경원대로 1191,37.4912917,126.7255792,nominatim,resolved
논현도서관,인천광역시 남동구 청능대로 611번길 15,,,nominatim,failed
만수2동어린이도서관,인천광역시 남동구 만수서로46(2층),,,nominatim,failed
소래도서관,인천광역시 남동구 앵고개로 793,37.3899914,126.720265,nominatim,resolved
서창도서관,인천광역시 남동구 독곡로 16번길 15,,,nominatim,failed
간석3동어린이도서관,인천광역시 남동구 용천로 186,37.4661374,126.7145968,nominatim,resolved
중앙도서관,인천광역시 남동구 정각로9 (인천광역시교육청),,,nominatim,failed
인천도서관,인천광역시 남동구 인주대로 776번길 53,,,nominatim,failed
송도국제도서관,인천광역시 연수구 아카데미로 166,37.4101915,126.616322,nominatim,resolved
함박비류도서관,인천광역시 연수구 함박안로 217,37.4267866,126.6789671,nominatim,resolved
동춘나래도서관,인천광역시 연수구 봉재산로54번길 30,37.4078237,126.6640528,nominatim,resolved
선학별빛도서관,인천광역시 연수구 넘말로30,,,nominatim,failed
해돋이도서관,인천광역시 연수구 해돋이로 51,37.3869848,126.6578834,nominatim,resolved
송도국제기구도서관,인천광역시 연수구 아트센터대로 175,37.3960888,126.6342817,nominatim,resolved
연수청학도서관,인천광역시 연수구 솔샘로 146,37.4255593,126.6609502,nominatim,resolved
송도국제어린이도서관,인천광역시 연수구 컨벤시아대로 43,37.3980209,126.6536351,nominatim,resolved
연수꿈담도서관,인천광역시 연수구 먼우금로 164,37.412337,126.6747411,nominatim,resolved
연수도서관,인천광역시 연수구 함박뫼로 152번길 96,,,nominatim,failed
용비도서관,인천광역시 미추홀구 토금남로 82,37.4515436,126.6362598,nominatim,resolved
학나래도서관,인천광역시 미추홀구 한나루로 444,37.4466342,126.6674737,nominatim,resolved
수봉도서관,인천광역시 미추홀구 경인로 218,37.459579,126.6937951,nominatim,resolved
주안도서관,인천광역시 미추홀구 구월남로 27,37.453724,126.6969971,nominatim,resolved
꿈드림어린이영어도서관,인천광역시 동구 새천년로 93,37.4700027,126.6487232,nominatim,resolved
이룸청소년도서관,인천광역시 동구 샛골로 144,37.4743145,126.6443235,nominatim,resolved
송림도서관,인천광역시 동구 새천년로 72,37.4747265,126.6488218,nominatim,resolved
화도진도서관,인천광역시 동구 화도진로 122,37.4851128,126.623746,nominatim,resolved
영종국제도서관,인천광역시 중구 찬들로 151,,,nominatim,failed
영종하늘도서관,인천광역시 중구 하늘중앙로 132,,,nominatim,failed
꿈벗도서관,인천광역시 중구 홍예문로 32,37.4727407,126.6244391,nominatim,resolved
영종도서관,인천광역시 중구 영종대로 85,37.4956787,126.4885783,nominatim,resolved
율목도서관,인천광역시 중구 답동로24번길 17,,,nominatim,failed
가정 행복 작은도서관,인천광역시 서구 행복2로 40,37.5386641,126.6654441,nominatim,resolved
소담터 불로작은도서관,"인천광역시 서구 용해로 17, 3~4층",,,nominatim,failed
당하마루 작은도서관,"인천광역시 서구 독정로 111, 인천검단LH36단지 아파트",,,nominatim,failed
단봉늘봄도서관,인천광역시 서구 오동로 25,,,nominatim,failed
