격자코드,총인구,남성인구,여성인구,격자구분
다사098613,5,5,5,다사
다사098614,5,0,5,다사
다사098616,5,0,5,다사
다사098619,8,5,8,다사
다사098620,8,5,5,다사
다사098621,13,8,8,다사
다사098622,5,5,0,다사
다사098625,5,0,0,다사
다사098629,5,0,5,다사
다사098631,5,0,5,다사
다사098636,5,0,0,다사
다사098637,5,0,0,다사
다사098639,5,0,0,다사
다사098640,5,0,0,다사
다사098642,8,8,0,다사
다사098654,13,8,8,다사
다사098655,8,5,5,다사
다사098659,8,5,8,다사
다사098666,5,0,5,다사
다사098676,5,5,0,다사
다사098678,5,0,5,다사
다사098679,5,0,5,다사
다사098681,5,5,0,다사
다사098684,13,8,8,다사
다사098685,5,5,5,다사
다사098688,0,0,0,다사
다사098703,5,5,0,다사
다사098707,23,13,8,다사
다사098708,8,5,5,다사
다사098709,23,8,13,다사
다사098710,18,8,8,다사
다사098711,5,0,0,다사
다사098721,23,13,8,다사
다사098722,213,99,117,다사
다사098723,75,38,40,다사
다사098725,23,13,8,다사
다사098726,72,36,39,다사
다사098728,8,5,5,다사
다사098729,5,5,5,다사
다사098736,8,8,5,다사
다사098737,8,8,8,다사
다사098738,18,8,8,다사
다사098739,13,8,8,다사
다사098740,18,13,8,다사
다사098742,5,5,0,다사
다사098762,5,5,0,다사
다사098763,8,5,5,다사
다사098764,5,0,0,다사
다사098767,18,8,13,다사
다사098770,5,0,0,다사
다사098771,5,5,5,다사
다사098772,8,8,5,다사
다사098773,8,0,8,다사
다사098774,5,0,0,다사
다사099178,5,5,0,다사
다사099181,18,8,8,다사
다사099182,13,8,5,다사
다사099183,13,8,8,다사
다사099192,5,5,0,다사
다사099193,8,5,5,다사
다사099196,5,0,5,다사
다사099197,8,5,8,다사
다사099198,8,5,8,다사
다사099199,5,5,0,다사
다사099201,8,5,5,다사
다사099202,18,8,8,다사
다사099203,5,0,5,다사
다사099207,0,0,0,다사
다사099442,23,8,13,다사
다사099443,43,28,18,다사
다사099444,208,97,109,다사
다사099445,97,49,51,다사
다사099446,196,99,95,다사
다사099447,68,30,36,다사
다사099448,66,36,28,다사
다사099449,58,30,31,다사
다사099450,28,18,13,다사
다사099567,8,5,5,다사
다사099568,8,5,5,다사
다사099569,5,0,5,다사
다사099570,8,5,5,다사
다사099571,5,5,5,다사
다사099572,5,0,5,다사
다사099583,5,5,0,다사
다사099584,13,5,8,다사
다사099585,8,5,5,다사
다사099587,5,0,5,다사
다사099593,5,5,5,다사
다사099602,8,5,5,다사
다사099604,8,5,5,다사
다사099609,0,0,0,다사
다사099611,5,5,0,다사
다사099612,0,0,0,다사
다사099614,8,5,5,다사
다사099615,5,0,5,다사
다사099623,5,0,0,다사
다사099624,0,0,0,다사
다사099627,5,5,5,다사
다사099628,8,5,5,다사
다사099629,8,5,5,다사
다사099630,8,5,5,다사
다사099631,8,0,5,다사
다사099632,5,5,5,다사
다사099633,8,5,5,다사
다사099636,5,5,5,다사
다사099638,8,5,5,다사
다사099643,245,78,165,다사
다사099645,5,5,0,다사
다사099652,8,5,8,다사
다사099654,0,0,0,다사
다사099656,8,5,8,다사
다사099657,5,5,5,다사
다사099658,8,5,5,다사
다사099659,5,0,5,다사
다사099663,8,5,5,다사
다사099665,5,0,0,다사
다사099668,5,5,5,다사
다사099669,33,18,13,다사
다사099670,5,5,0,다사
다사099676,5,0,0,다사
다사099677,5,5,0,다사
다사099678,5,5,5,다사
다사099682,5,0,0,다사
다사099683,5,5,0,다사
다사099684,5,5,5,다사
다사099685,18,8,8,다사
다사099686,8,8,8,다사
다사099688,0,0,0,다사
다사099689,18,13,8,다사
다사099690,5,0,0,다사
다사099696,0,0,0,다사
다사099698,366,183,183,다사
다사099699,190,89,104,다사
다사099700,5,0,0,다사
다사099701,5,0,5,다사
다사099706,5,5,0,다사
다사099707,5,5,0,다사
다사099708,8,5,5,다사
다사099709,8,5,5,다사
다사099710,13,8,5,다사
다사099719,8,5,5,다사
다사099721,53,18,33,다사
다사099722,92,45,45,다사
다사099723,48,23,23,다사
다사099724,13,8,8,다사
다사099725,38,18,23,다사
다사099727,23,8,18,다사
다사099728,8,5,0,다사
다사099729,94,45,47,다사
다사099730,28,13,18,다사
다사099731,13,8,8,다사
다사099738,5,0,5,다사
다사099739,13,8,8,다사
다사099740,8,5,5,다사
다사099763,8,5,5,다사
다사099764,13,5,8,다사
다사099765,0,0,0,다사
다사099766,13,8,8,다사
다사099767,5,5,5,다사
다사099768,5,5,0,다사
다사099769,8,5,5,다사
다사099772,13,5,8,다사
다사099773,8,5,5,다사
다사099774,0,0,0,다사
다사100177,5,5,0,다사
다사100178,8,5,5,다사
다사100179,18,8,8,다사
다사100184,8,5,5,다사
다사100190,8,8,5,다사
다사100191,8,5,5,다사
다사100197,5,0,0,다사
다사100198,8,8,5,다사
다사100200,8,5,8,다사
다사100201,5,5,0,다사
다사100202,13,8,8,다사
다사100203,13,8,8,다사
다사100204,5,0,0,다사
다사100206,0,0,0,다사
다사100207,8,8,5,다사
다사100440,5,0,5,다사
다사100441,29,14,13,다사
다사100442,73,43,28,다사
다사100443,33,18,18,다사
다사100444,68,33,38,다사
다사100445,364,190,172,다사
다사100446,276,136,143,다사
다사100447,150,71,82,다사
다사100448,58,33,23,다사
다사100449,101,48,51,다사
다사100450,76,38,36,다사
다사100567,5,5,5,다사
다사100569,5,0,0,다사
다사100570,5,5,0,다사
다사100571,5,0,5,다사
다사100583,5,5,0,다사
다사100584,5,0,0,다사
다사100586,5,5,0,다사
다사100588,5,5,0,다사
다사100589,23,13,8,다사
다사100602,5,0,0,다사
다사100604,33,18,13,다사
다사100605,18,8,8,다사
다사100608,5,5,0,다사
다사100609,53,28,28,다사
다사100610,18,8,8,다사
다사100611,0,0,0,다사
다사100614,0,0,0,다사
다사100616,5,5,0,다사
다사100617,8,5,5,다사
다사100620,5,5,5,다사
다사100623,8,5,5,다사
다사100625,5,0,0,다사
다사100627,5,0,5,다사
다사100629,13,8,8,다사
다사100631,8,5,5,다사
다사100632,8,8,0,다사
다사100637,8,5,5,다사
다사100638,5,0,5,다사
다사100645,5,5,0,다사
다사100651,5,0,5,다사
다사100652,8,5,5,다사
다사100654,5,5,0,다사
다사100655,18,13,8,다사
다사100656,0,0,0,다사
다사100657,0,0,0,다사
다사100658,5,5,0,다사
다사100663,5,0,5,다사
다사100664,5,5,0,다사
다사100665,5,5,5,다사
다사100666,5,0,0,다사
다사100669,8,5,5,다사
다사100676,5,0,0,다사
다사100677,5,5,0,다사
다사100678,5,0,0,다사
다사100679,5,5,0,다사
다사100681,13,8,5,다사
다사100684,5,0,5,다사
다사100686,13,8,5,다사
다사100688,48,28,23,다사
다사100689,28,13,13,다사
다사100690,13,8,5,다사
다사100698,684,330,356,다사
다사100700,13,8,8,다사
다사100706,13,8,5,다사
다사100707,8,5,5,다사
다사100708,8,8,5,다사
다사100709,18,8,13,다사
다사100710,8,8,8,다사
다사100719,50,30,23,다사
다사100720,28,13,18,다사
다사100721,90,43,45,다사
다사100722,133,61,70,다사
다사100723,23,13,13,다사
다사100724,13,8,8,다사
다사100725,23,13,13,다사
다사100726,8,0,8,다사
다사100727,54,23,29,다사
다사100728,96,48,46,다사
다사100729,53,23,28,다사
다사100730,8,5,5,다사
다사100739,5,5,0,다사
다사100740,8,5,5,다사
다사100766,5,0,0,다사
다사100767,0,0,0,다사
다사100768,13,8,5,다사
다사100773,8,5,5,다사
다사101180,5,5,0,다사
다사101189,8,5,5,다사
다사101191,8,8,5,다사
다사101192,5,0,0,다사
다사101197,13,8,8,다사
다사101198,5,0,0,다사
다사101199,5,5,5,다사
다사101201,13,8,5,다사
다사101202,5,0,0,다사
다사101203,8,8,5,다사
다사101205,18,8,8,다사
다사101439,13,8,8,다사
다사101440,33,18,13,다사
다사101441,91,56,33,다사
다사101442,64,28,34,다사
다사101443,61,35,29,다사
다사101444,18,8,8,다사
다사101445,321,160,159,다사
다사101446,183,89,92,다사
다사101447,58,23,38,다사
다사101448,188,97,94,다사
다사101449,96,47,47,다사
다사101450,134,60,72,다사
다사101451,28,13,13,다사
다사101566,5,5,5,다사
다사101567,8,5,5,다사
다사101568,5,0,0,다사
다사101571,5,0,0,다사
다사101585,5,5,0,다사
다사101587,0,0,0,다사
다사101588,5,5,5,다사
다사101589,5,5,5,다사
다사101602,23,8,13,다사
다사101604,5,5,0,다사
다사101605,28,18,13,다사
다사101606,5,5,0,다사
다사101607,5,5,0,다사
다사101608,13,8,5,다사
다사101609,13,13,8,다사
다사101610,8,5,8,다사
다사101611,5,5,5,다사
다사101613,5,5,0,다사
다사101619,8,5,5,다사
다사101621,8,5,5,다사
다사101622,5,0,5,다사
다사101629,13,5,8,다사
다사101631,5,5,0,다사
다사101636,5,0,5,다사
다사101638,0,0,0,다사
다사101639,5,0,0,다사
다사101640,5,0,5,다사
다사101646,5,5,5,다사
다사101647,5,0,5,다사
다사101652,5,5,0,다사
다사101653,5,5,0,다사
다사101654,5,0,0,다사
다사101655,5,0,0,다사
다사101659,0,0,0,다사
다사101665,8,8,5,다사
다사101666,8,5,5,다사
다사101667,5,0,5,다사
다사101668,13,8,8,다사
다사101669,8,5,5,다사
다사101672,5,5,0,다사
다사101676,8,5,8,다사
다사101677,5,5,5,다사
다사101678,8,5,8,다사
다사101679,13,8,5,다사
다사101680,0,0,0,다사
다사101682,5,0,5,다사
다사101687,8,5,8,다사
다사101688,5,0,5,다사
다사101690,5,0,0,다사
다사101691,5,5,5,다사
다사101698,5,5,5,다사
다사101699,153,76,80,다사
다사101700,0,0,0,다사
다사101701,0,0,0,다사
다사101704,5,0,5,다사
다사101707,8,5,5,다사
다사101709,48,23,23,다사
다사101710,8,5,5,다사
다사101711,8,5,5,다사
다사101712,5,0,5,다사
다사101719,38,18,18,다사
다사101720,60,28,35,다사
다사101721,85,40,48,다사
다사101722,75,33,40,다사
다사101723,63,33,28,다사
다사101724,8,5,8,다사
다사101725,18,8,13,다사
다사101726,23,8,13,다사
다사101727,105,50,58,다사
다사101728,99,46,51,다사
다사101729,63,28,38,다사
다사101730,38,23,18,다사
다사101731,28,0,28,다사
다사101739,8,5,5,다사
다사101740,18,8,8,다사
다사101741,13,8,8,다사
다사101742,5,5,0,다사
다사101744,5,0,0,다사
다사101768,8,5,8,다사
다사101769,5,0,5,다사
다사101772,5,5,0,다사
다사101773,5,0,0,다사
다사102188,5,0,0,다사
다사102189,8,5,5,다사
다사102190,8,5,5,다사
다사102197,13,8,5,다사
다사102198,0,0,0,다사
다사102199,5,0,0,다사
다사102200,5,5,0,다사
다사102201,8,5,5,다사
다사102207,0,0,0,다사
다사102438,106,56,48,다사
다사102439,39,24,13,다사
다사102440,23,8,13,다사
다사102441,8,5,5,다사
다사102442,23,13,8,다사
다사102443,18,8,8,다사
다사102444,13,8,8,다사
다사102445,119,58,59,다사
다사102446,133,66,65,다사
다사102448,183,90,91,다사
다사102449,152,77,73,다사
다사102450,365,191,172,다사
다사102451,133,65,66,다사
다사102565,5,0,5,다사
다사102566,5,0,0,다사
다사102567,13,8,8,다사
다사102568,5,0,5,다사
다사102569,5,0,5,다사
다사102602,5,5,5,다사
다사102604,5,5,5,다사
다사102605,8,5,5,다사
다사102608,8,5,8,다사
다사102609,8,5,5,다사
다사102610,5,5,5,다사
다사102613,5,0,5,다사
다사102614,5,5,0,다사
다사102616,5,5,0,다사
다사102617,8,8,0,다사
다사102618,8,8,5,다사
다사102619,8,5,5,다사
다사102628,8,5,5,다사
다사102631,13,8,5,다사
다사102633,8,5,5,다사
다사102635,5,5,0,다사
다사102636,0,0,0,다사
다사102639,5,5,0,다사
다사102640,18,13,8,다사
다사102647,5,5,0,다사
다사102648,0,0,0,다사
다사102652,5,5,0,다사
다사102654,5,5,5,다사
다사102657,5,5,5,다사
다사102658,13,8,8,다사
다사102659,5,5,0,다사
다사102665,5,0,0,다사
다사102666,8,5,5,다사
다사102667,8,5,8,다사
다사102669,5,0,0,다사
다사102673,5,0,5,다사
다사102676,13,8,5,다사
다사102677,13,8,5,다사
다사102678,8,5,8,다사
다사102681,5,5,0,다사
다사102682,5,0,0,다사
다사102683,5,5,5,다사
다사102684,5,0,0,다사
다사102687,13,5,8,다사
다사102688,13,8,5,다사
다사102689,8,5,8,다사
다사102697,183,84,97,다사
다사102698,200,96,102,다사
다사102699,5,0,5,다사
다사102700,18,8,13,다사
다사102701,0,0,0,다사
다사102702,33,18,18,다사
다사102703,13,8,8,다사
다사102704,8,5,5,다사
다사102705,5,5,5,다사
다사102706,5,0,5,다사
다사102709,5,5,5,다사
다사102710,8,5,5,다사
다사102711,23,13,13,다사
다사102712,5,5,0,다사
다사102713,5,0,5,다사
다사102714,5,0,5,다사
다사102718,48,28,18,다사
다사102719,149,72,80,다사
다사102720,67,34,31,다사
다사102721,110,59,49,다사
다사102722,38,18,18,다사
다사102723,78,37,44,다사
다사102724,53,23,28,다사
다사102725,5,5,5,다사
다사102726,74,34,38,다사
다사102727,48,23,23,다사
다사102728,123,55,66,다사
다사102729,103,58,43,다사
다사102730,65,31,37,다사
다사102731,5,0,0,다사
다사102740,5,5,5,다사
다사102741,13,5,8,다사
다사102742,13,5,8,다사
다사102743,5,5,0,다사
다사102771,8,5,5,다사
다사103187,0,0,0,다사
다사103188,5,5,0,다사
다사103190,5,5,5,다사
다사103193,5,0,5,다사
다사103197,5,0,0,다사
다사103200,13,5,8,다사
다사103201,5,5,0,다사
다사103204,5,5,0,다사
다사103205,5,0,5,다사
다사103206,0,0,0,다사
다사103207,5,0,5,다사
다사103437,69,38,34,다사
다사103438,93,45,46,다사
다사103439,377,189,191,다사
다사103440,229,124,108,다사
다사103442,511,238,276,다사
다사103443,330,168,165,다사
다사103444,170,78,95,다사
다사103445,299,150,152,다사
다사103446,68,28,43,다사
다사103449,229,115,112,다사
다사103450,89,48,44,다사
다사103451,218,117,99,다사
다사103452,111,59,50,다사
다사103564,5,0,0,다사
다사103565,5,0,0,다사
다사103566,5,0,5,다사
다사103567,8,5,5,다사
다사103568,5,0,0,다사
다사103596,14,14,5,다사
다사103603,100,52,46,다사
다사103604,5,5,5,다사
다사103605,5,0,0,다사
다사103608,5,0,0,다사
다사103609,8,5,5,다사
다사103616,0,0,0,다사
다사103617,5,0,0,다사
다사103618,5,0,0,다사
다사103619,8,5,8,다사
다사103620,8,8,5,다사
다사103624,8,5,5,다사
다사103628,0,0,0,다사
다사103629,0,0,0,다사
다사103630,8,5,5,다사
다사103631,8,5,5,다사
다사103633,5,5,5,다사
다사103634,5,5,5,다사
다사103638,0,0,0,다사
다사103639,0,0,0,다사
다사103640,8,8,0,다사
다사103644,5,5,0,다사
다사103647,5,5,0,다사
다사103648,5,0,0,다사
다사103652,8,8,5,다사
다사103655,18,8,8,다사
다사103659,8,8,5,다사
다사103665,13,8,8,다사
다사103666,5,5,5,다사
다사103667,5,0,5,다사
다사103668,5,5,5,다사
다사103669,5,0,0,다사
다사103676,5,0,5,다사
다사103677,5,0,5,다사
다사103679,8,5,5,다사
다사103680,8,5,8,다사
다사103681,5,5,5,다사
다사103683,5,5,0,다사
다사103684,0,0,0,다사
다사103685,5,5,0,다사
다사103686,5,0,5,다사
다사103687,8,5,5,다사
다사103688,8,5,5,다사
다사103690,5,5,5,다사
다사103696,315,144,174,다사
다사103697,564,289,275,다사
다사103699,18,8,8,다사
다사103700,8,5,5,다사
다사103701,13,8,8,다사
다사103702,23,8,13,다사
다사103703,38,13,23,다사
다사103704,8,8,5,다사
다사103705,5,0,5,다사
다사103706,8,8,5,다사
다사103708,5,0,5,다사
다사103709,28,13,13,다사
다사103710,8,8,5,다사
다사103711,8,5,8,다사
다사103712,53,28,28,다사
다사103713,8,5,5,다사
다사103714,8,5,5,다사
다사103715,18,8,8,다사
다사103716,5,0,0,다사
다사103719,34,18,14,다사
다사103720,23,8,13,다사
다사103721,102,45,55,다사
다사103722,53,28,23,다사
다사103723,176,84,90,다사
다사103724,38,23,18,다사
다사103725,165,74,89,다사
다사103726,64,28,34,다사
다사103727,23,13,13,다사
다사103728,128,65,66,다사
다사103729,84,40,47,다사
다사103731,5,0,5,다사
다사103740,18,13,8,다사
다사103741,5,5,5,다사
다사103742,8,5,5,다사
다사103744,5,0,0,다사
다사103745,5,5,0,다사
다사104192,8,5,5,다사
다사104193,0,0,0,다사
다사104199,5,5,5,다사
다사104200,5,5,0,다사
다사104201,0,0,0,다사
다사104203,5,5,0,다사
다사104204,8,5,5,다사
다사104205,5,5,0,다사
다사104437,144,65,77,다사
다사104438,94,42,55,다사
다사104439,197,108,87,다사
다사104440,351,165,179,다사
다사104441,109,57,55,다사
다사104442,275,132,141,다사
다사104443,332,167,163,다사
다사104444,170,85,88,다사
다사104445,75,34,39,다사
다사104446,72,33,37,다사
다사104448,254,131,121,다사
다사104449,563,297,268,다사
다사104450,177,86,89,다사
다사104451,298,159,142,다사
다사104452,142,72,73,다사
다사104564,8,5,5,다사
다사104566,5,0,0,다사
다사104589,5,0,0,다사
다사104590,5,0,0,다사
다사104602,38,18,23,다사
다사104603,70,35,38,다사
다사104604,74,34,43,다사
다사104609,8,5,5,다사
다사104615,0,0,0,다사
다사104617,5,0,5,다사
다사104618,5,0,0,다사
다사104620,5,5,5,다사
다사104621,8,0,8,다사
다사104623,5,5,0,다사
다사104627,5,5,0,다사
다사104628,5,0,5,다사
다사104629,5,0,5,다사
다사104630,5,0,0,다사
다사104634,5,0,0,다사
다사104635,5,0,0,다사
다사104645,8,5,5,다사
다사104646,5,0,0,다사
다사104647,5,0,5,다사
다사104648,13,8,8,다사
다사104653,25,20,5,다사
다사104655,23,8,13,다사
다사104660,5,0,0,다사
다사104661,0,0,0,다사
다사104662,8,5,5,다사
다사104663,5,5,5,다사
다사104664,5,0,5,다사
다사104665,5,0,5,다사
다사104666,5,5,0,다사
다사104667,0,0,0,다사
다사104668,5,5,0,다사
다사104684,5,5,0,다사
다사104685,28,18,13,다사
다사104687,8,5,5,다사
다사104689,8,5,5,다사
다사104690,5,5,5,다사
다사104691,8,5,5,다사
다사104692,5,0,5,다사
다사104696,5,0,0,다사
다사104699,8,8,5,다사
다사104700,8,5,8,다사
다사104702,8,5,5,다사
다사104703,64,28,34,다사
다사104704,40,18,25,다사
다사104709,68,38,28,다사
다사104710,13,5,8,다사
다사104711,8,5,5,다사
다사104712,23,13,8,다사
다사104713,24,24,5,다사
다사104714,70,33,35,다사
다사104715,8,5,5,다사
다사104716,13,8,5,다사
다사104719,8,5,5,다사
다사104720,114,53,64,다사
다사104721,8,5,5,다사
다사104722,44,23,24,다사
다사104723,18,8,8,다사
다사104724,35,18,15,다사
다사104725,13,5,8,다사
다사104726,49,18,29,다사
다사104727,58,28,28,다사
다사104728,43,23,23,다사
다사104729,91,44,50,다사
다사104730,5,5,5,다사
다사104739,8,5,5,다사
다사104740,8,5,8,다사
다사104741,0,0,0,다사
다사105188,13,5,8,다사
다사105189,5,5,5,다사
다사105199,13,8,8,다사
다사105200,13,5,8,다사
다사105201,8,5,5,다사
다사105202,8,5,5,다사
다사105204,5,5,0,다사
다사105437,126,55,74,다사
다사105438,90,45,43,다사
다사105439,110,56,52,다사
다사105440,261,130,134,다사
다사105441,106,44,60,다사
다사105442,67,37,28,다사
다사105443,13,8,5,다사
다사105444,144,87,60,다사
다사105448,39,24,18,다사
다사105449,23,8,13,다사
다사105450,5,5,5,다사
다사105451,23,13,8,다사
다사105452,86,45,39,다사
다사105453,48,23,28,다사
다사105562,5,5,0,다사
다사105564,8,5,5,다사
다사105565,8,5,5,다사
다사105566,0,0,0,다사
다사105589,8,8,5,다사
다사105602,5,5,0,다사
다사105603,13,8,5,다사
다사105604,120,64,59,다사
다사105605,5,5,0,다사
다사105606,8,8,5,다사
다사105607,8,5,5,다사
다사105608,13,5,8,다사
다사105611,5,0,5,다사
다사105615,5,5,5,다사
다사105616,13,8,8,다사
다사105620,8,5,5,다사
다사105621,8,5,8,다사
다사105627,5,0,5,다사
다사105629,13,8,8,다사
다사105630,13,8,8,다사
다사105632,5,5,0,다사
다사105635,5,5,5,다사
다사105644,8,5,5,다사
다사105645,5,0,0,다사
다사105646,5,0,0,다사
다사105651,0,0,0,다사
다사105653,5,5,0,다사
다사105654,5,5,5,다사
다사105655,8,5,8,다사
다사105663,8,0,8,다사
다사105666,8,5,8,다사
다사105667,0,0,0,다사
다사105668,5,5,0,다사
다사105679,5,5,0,다사
다사105682,5,0,0,다사
다사105683,8,5,5,다사
다사105684,5,5,5,다사
다사105685,8,8,5,다사
다사105686,18,8,8,다사
다사105687,8,5,5,다사
다사105688,13,8,8,다사
다사105689,8,5,8,다사
다사105690,13,8,8,다사
다사105696,13,8,0,다사
다사105698,8,5,5,다사
다사105699,23,8,13,다사
다사105700,5,5,5,다사
다사105701,5,5,5,다사
다사105702,8,8,8,다사
다사105704,72,34,41,다사
다사105711,13,5,8,다사
다사105713,13,8,8,다사
다사105714,73,33,38,다사
다사105715,13,8,8,다사
다사105716,44,24,18,다사
다사105717,5,0,0,다사
다사105720,0,0,0,다사
다사105721,43,18,23,다사
다사105722,174,89,88,다사
다사105723,34,18,14,다사
다사105724,13,5,8,다사
다사105725,68,28,38,다사
다사105726,114,54,58,다사
다사105727,95,47,46,다사
다사105728,28,13,13,다사
다사105729,8,8,5,다사
다사105730,5,0,0,다사
다사105735,8,5,5,다사
다사105736,8,5,5,다사
다사106188,5,5,0,다사
다사106189,13,5,8,다사
다사106190,23,13,13,다사
다사106191,18,8,8,다사
다사106192,5,0,5,다사
다사106198,5,0,5,다사
다사106200,8,5,5,다사
다사106201,18,13,8,다사
다사106202,13,8,8,다사
다사106422,5,5,0,다사
다사106437,66,35,29,다사
다사106438,168,78,88,다사
다사106439,147,66,79,다사
다사106440,257,125,135,다사
다사106441,60,33,30,다사
다사106442,184,118,64,다사
다사106443,122,55,70,다사
다사106444,140,96,47,다사
다사106445,43,18,23,다사
다사106446,79,38,44,다사
다사106447,28,13,18,다사
다사106448,76,29,45,다사
다사106449,33,18,18,다사
다사106450,38,18,18,다사
다사106451,23,13,13,다사
다사106452,43,23,23,다사
다사106453,38,23,18,다사
다사106454,8,5,8,다사
다사106562,5,5,5,다사
다사106563,18,8,8,다사
다사106564,8,0,5,다사
다사106565,0,0,0,다사
다사106589,5,5,0,다사
다사106590,5,0,5,다사
다사106591,5,0,5,다사
다사106597,5,5,0,다사
다사106602,8,8,5,다사
다사106603,8,5,8,다사
다사106604,97,52,48,다사
다사106606,8,5,5,다사
다사106610,5,0,5,다사
다사106612,8,5,5,다사
다사106613,8,8,5,다사
다사106614,5,5,5,다사
다사106615,5,5,0,다사
다사106616,8,8,5,다사
다사106617,5,5,0,다사
다사106618,13,8,5,다사
다사106620,5,5,0,다사
다사106621,5,5,0,다사
다사106627,5,0,0,다사
다사106629,5,5,0,다사
다사106633,0,0,0,다사
다사106636,5,0,5,다사
다사106639,5,0,5,다사
다사106646,5,0,0,다사
다사106651,0,0,0,다사
다사106652,5,5,0,다사
다사106654,13,8,8,다사
다사106655,18,8,8,다사
다사106656,5,0,5,다사
다사106666,5,0,5,다사
다사106667,0,0,0,다사
다사106679,5,5,5,다사
다사106680,18,8,8,다사
다사106683,5,0,5,다사
다사106685,5,0,5,다사
다사106687,0,0,0,다사
다사106688,8,5,5,다사
다사106690,8,5,5,다사
다사106691,8,5,5,다사
다사106698,5,0,0,다사
다사106699,33,18,13,다사
다사106700,0,0,0,다사
다사106701,5,5,5,다사
다사106703,101,49,50,다사
다사106704,62,30,30,다사
다사106712,18,13,5,다사
다사106713,63,28,33,다사
다사106714,13,8,8,다사
다사106715,38,18,18,다사
다사106716,74,38,39,다사
다사106717,48,18,28,다사
다사106718,23,13,8,다사
다사106719,38,18,18,다사
다사106720,5,0,5,다사
다사106721,38,13,23,다사
다사106722,58,38,23,다사
다사106723,38,18,18,다사
다사106724,53,28,28,다사
다사106725,5,0,5,다사
다사106726,13,8,5,다사
다사106728,5,5,0,다사
다사106736,8,5,8,다사
다사106737,5,0,5,다사
다사106738,8,8,8,다사
다사106741,5,5,5,다사
다사106742,0,0,0,다사
다사106743,13,8,8,다사
다사107188,5,0,5,다사
다사107189,13,8,8,다사
다사107190,23,13,8,다사
다사107195,0,0,0,다사
다사107196,5,0,5,다사
다사107197,5,5,0,다사
다사107198,28,18,8,다사
다사107440,72,28,47,다사
다사107441,129,62,65,다사
다사107443,33,23,8,다사
다사107444,179,93,84,다사
다사107445,23,13,13,다사
다사107446,23,13,13,다사
다사107447,33,13,18,다사
다사107448,45,18,30,다사
다사107449,33,13,18,다사
다사107450,34,19,13,다사
다사107451,38,18,18,다사
다사107452,48,28,23,다사
다사107453,43,28,18,다사
다사107454,8,8,5,다사
다사107563,5,0,5,다사
다사107565,5,0,0,다사
다사107590,0,0,0,다사
다사107597,5,0,5,다사
다사107602,5,0,0,다사
다사107604,13,5,8,다사
다사107607,8,8,5,다사
다사107610,13,5,8,다사
다사107612,8,5,5,다사
다사107613,18,8,8,다사
다사107614,5,0,0,다사
다사107616,0,0,0,다사
다사107617,0,0,0,다사
다사107618,8,5,5,다사
다사107624,5,5,0,다사
다사107626,0,0,0,다사
다사107627,8,5,5,다사
다사107628,5,5,5,다사
다사107629,5,5,5,다사
다사107634,5,0,0,다사
다사107636,8,5,5,다사
다사107638,13,13,0,다사
다사107652,5,5,5,다사
다사107653,8,5,5,다사
다사107654,18,8,13,다사
다사107655,13,5,8,다사
다사107656,0,0,0,다사
다사107673,0,0,0,다사
다사107674,8,5,5,다사
다사107675,8,8,5,다사
다사107676,0,0,0,다사
다사107679,5,0,5,다사
다사107680,13,8,8,다사
다사107681,8,8,5,다사
다사107683,18,8,8,다사
다사107684,5,5,5,다사
다사107685,5,5,5,다사
다사107686,5,5,5,다사
다사107687,18,8,8,다사
다사107689,8,5,5,다사
다사107690,8,5,5,다사
다사107692,5,0,5,다사
다사107698,8,5,5,다사
다사107700,5,0,5,다사
다사107701,5,0,0,다사
다사107702,8,5,5,다사
다사107703,93,40,51,다사
다사107704,118,57,59,다사
다사107705,98,50,46,다사
다사107711,5,5,5,다사
다사107712,13,8,5,다사
다사107713,8,5,8,다사
다사107715,38,18,18,다사
다사107716,103,51,50,다사
다사107717,134,65,67,다사
다사107718,44,24,18,다사
다사107719,44,24,23,다사
다사107720,5,5,5,다사
다사107721,23,13,8,다사
다사107722,18,13,8,다사
다사107723,76,36,38,다사
다사107724,33,13,18,다사
다사107725,33,13,18,다사
다사107726,45,25,18,다사
다사107727,18,8,8,다사
다사107728,5,5,0,다사
다사107737,8,5,5,다사
다사107738,8,8,5,다사
다사107739,5,5,0,다사
다사107740,5,5,0,다사
다사107741,5,0,5,다사
다사107742,5,5,5,다사
다사107743,5,0,0,다사
다사107744,8,5,5,다사
다사107745,18,8,8,다사
다사107746,18,8,13,다사
다사107747,13,8,8,다사
다사108180,5,5,0,다사
다사108181,28,13,13,다사
다사108182,55,35,23,다사
다사108183,5,0,5,다사
다사108189,23,13,13,다사
다사108190,5,0,5,다사
다사108192,5,5,5,다사
다사108193,0,0,0,다사
다사108194,5,0,0,다사
다사108195,8,8,0,다사
다사108199,8,5,5,다사
다사108200,5,5,5,다사
다사108436,5,5,0,다사
다사108442,356,198,156,다사
다사108443,8,8,5,다사
다사108444,137,80,55,다사
다사108445,38,18,23,다사
다사108446,48,23,28,다사
다사108447,53,28,23,다사
다사108448,43,28,18,다사
다사108449,5,5,0,다사
다사108450,33,13,18,다사
다사108451,43,18,23,다사
다사108452,13,8,8,다사
다사108454,8,8,5,다사
다사108561,5,5,0,다사
다사108562,5,5,5,다사
다사108563,5,5,5,다사
다사108591,8,5,5,다사
다사108595,5,0,5,다사
다사108602,5,0,0,다사
다사108603,8,5,5,다사
다사108604,43,23,23,다사
